R,b1
0.058091286,0.746848382
0.066390041,0.579216354
0.539419087,0.429301533
0.543568465,0.606473595
0.780082988,0.438841567
0.784232365,0.376149915
1.522821577,0.228960818
1.626556017,0.201703578
1.788381743,0.249403748
1.929460581,0.130834753
1.950207469,0.139011925
2.10373444,0.111754685
2.356846473,0.219420784
2.854771784,0.111754685
3.190871369,0.418398637
3.630705394,0.198977853
