S,b2
0.001350482,1.96369637
0.001800643,1.582508251
0.002625938,1.98679868
0.002700965,2.795379538
0.009453376,2.298679868
0.009528403,1.98679868
0.014480171,4.077557756
0.014480171,2.887788779
0.014855305,3.892739274
0.014855305,2.587458746
0.027459807,4.597359736
0.027534834,5.255775578
0.032411576,2.344884488
0.034962487,5.98349835
0.04494105,2.402640264
0.057245445,3.661716172
