z/z1,Horizontal Distance ( Multiple of D),Run,Avg_udefect
1.497492,4,1,0.033906
1.747074,4,1,-0.18448
1.996656,4,1,-0.28768
2.246238,4,1,-0.32994
2.49582,4,1,-0.36323
2.745401,4,1,-0.36126
3.244565,4,1,-0.3448
3.743729,4,1,-0.31456
4.242893,4,1,-0.27928
4.742057,4,1,-0.28681
5.241221,4,1,-0.26371
5.740385,4,1,-0.25764
6.114758,4,1,-0.24837
0.076779,4,2,0.991211
0.127966,4,2,0.925229
0.179152,4,2,0.999999
0.230338,4,2,0.996709
0.307117,4,2,0.939226
0.383897,4,2,0.887433
0.511862,4,2,0.838688
0.639828,4,2,0.797933
0.767794,4,2,0.625209
0.895759,4,2,0.616818
1.023725,4,2,0.473411
1.15169,4,2,0.369913
1.279656,4,2,0.311978
1.535587,4,2,0.04158
1.791518,4,2,-0.13794
2.04745,4,2,-0.24625
2.303381,4,2,-0.31108
2.559312,4,2,-0.2762
2.815243,4,2,-0.30635
3.327106,4,2,-0.28732
3.838968,4,2,-0.28883
4.35083,4,2,-0.26673
4.862693,4,2,-0.23453
5.374555,4,2,-0.22636
5.886418,4,2,-0.21114
6.270315,4,2,-0.21173
0.027435,4,3,0.122655
0.045724,4,3,0.210304
0.064014,4,3,0.191343
0.082304,4,3,0.259043
0.109738,4,3,0.224778
0.137173,4,3,0.392639
0.182897,4,3,0.44718
0.228622,4,3,0.551211
0.274346,4,3,0.489068
0.32007,4,3,0.676604
0.365795,4,3,0.614608
0.411519,4,3,0.711389
0.457243,4,3,0.725618
0.548692,4,3,0.785969
0.64014,4,3,0.998456
0.731589,4,3,0.930967
0.823038,4,3,0.890445
0.914486,4,3,0.704779
1.005935,4,3,0.484961
1.188832,4,3,0.277585
1.37173,4,3,0.11463
1.554627,4,3,0.032304
1.737524,4,3,0.037527
1.920421,4,3,0.01816
2.103319,4,3,0.008988
2.240492,4,3,0.004393
0.045902,4,4,0.958003
0.076504,4,4,0.973916
0.107106,4,4,0.894435
0.137707,4,4,0.999999
0.18361,4,4,0.965518
0.229512,4,4,0.98708
0.306016,4,4,0.91911
0.38252,4,4,0.928017
0.459024,4,4,0.884738
0.535528,4,4,0.828946
0.612033,4,4,0.81461
0.688537,4,4,0.733497
0.765041,4,4,0.646679
0.918049,4,4,0.60964
1.071057,4,4,0.40495
1.224065,4,4,0.315736
1.377073,4,4,0.10761
1.530081,4,4,-0.03509
1.68309,4,4,-0.214
1.989106,4,4,-0.38312
2.295122,4,4,-0.42932
2.601138,4,4,-0.41848
2.907155,4,4,-0.43332
3.213171,4,4,-0.43708
3.519187,4,4,-0.43738
3.748699,4,4,-0.4543
0.075641,6,1,0.987438
0.126068,6,1,0.991501
0.176495,6,1,1
0.226922,6,1,0.972317
0.302563,6,1,0.949284
0.378204,6,1,0.924903
0.504272,6,1,0.85366
0.63034,6,1,0.786095
0.756408,6,1,0.74117
0.882476,6,1,0.626288
1.008544,6,1,0.490819
1.134612,6,1,0.372064
1.26068,6,1,0.223742
1.512816,6,1,0.057181
1.764952,6,1,-0.07832
2.017088,6,1,-0.16366
2.269224,6,1,-0.26942
2.52136,6,1,-0.2933
2.773496,6,1,-0.32945
