S,a1
0.001577253,-0.604395604
0.001877682,-1.071428571
0.002628755,-1.692307692
0.00277897,-1.774725275
0.009613734,-1.824175824
0.009688841,-2.016483516
0.014495708,-1.56043956
0.014495708,-2.313186813
0.015021459,-2.708791209
0.015096567,-1.576923077
0.027564378,-1.813186813
0.027564378,-2.115384615
0.032596567,-2.604395604
0.035075107,-1.505494505
0.045139485,-3.126373626
0.057306867,-1.510989011
