subdistrict,pincode,Population Density(people per square kilometer),Forecasted Future Population Growth rate(Exponential Decay),Nearest Airport Distance in km,Nearest Railway Station Distance in km,Overall Rating(Ratings*Reviews),Num_ATMS,Num_hospitals,Num_restaurants,Num_supermarket,Num_schools,Num_shopping_malls,Num_night_clubs,Num_cafe,Num_train_stations,Num_taxi_stands,Num of Competitor stores
Delisle Road,400013,43308.48329,-41.1,8.73,0.3,4132.8,20,16,-1,3,24,25,21,-1,7,2,2
Khar Delivery,400052,57514.42056,2.59,3.37,0.71,27465.9,22,37,20,12,12,14,30,18,4,0,0
Mumbai G.P.O.,400001,25984.6875,-82.97,12.33,3.09,92764.6,30,30,40,5,31,26,14,-1,5,9,1
Mumbai Central,400008,53377.33391,-34.25,11.05,0.75,16052,13,28,28,25,33,38,10,39,15,2,0
Bhawani Shankar,400028,53044.19134,-33.75,6.54,0.54,36052.8,21,-1,18,28,-1,27,7,29,7,4,1
Haji Ali,400034,42926.35315,-39.9,10.84,0.45,15854.1,15,16,24,11,29,13,7,11,8,2,0
Vileparle(West),400056,55460.199,2.58,2.45,0.28,38019.6,11,26,1,5,18,13,12,27,2,2,0
Sharma Estate,400063,46775.31207,2.34,6.19,0.62,47755.7,28,22,14,11,23,12,4,28,2,0,2
Chakala Midc,400093,52891.63763,1.71,3.22,1.61,28299.6,11,19,30,14,25,10,7,11,0,0,0
Andheri East,400069,60579.30698,2.5,2.95,0.33,28802.5,18,20,15,15,15,13,10,15,0,4,2
Marine Lines,400020,49293.79157,-38.2,13.67,1.08,6023.6,12,5,7,4,20,6,12,21,4,11,1
Tilak Nagar,400089,54855.94512,2.22,3.03,0.57,26808.6,10,20,18,11,14,10,7,23,6,3,0
Nariman Point,400021,47473.14949,29.65,14.63,1.95,10741.4,26,21,18,3,10,9,11,15,2,8,0
Vihar Road,400072,47579.12032,2.19,2.32,2.25,26489.4,13,32,35,19,23,22,5,33,0,4,1
Bhandup West,400078,36436.33803,2.14,7.34,0.66,19626.6,5,16,7,9,8,6,3,5,2,0,0
Bandra West,400050,53555.99336,2.57,4.28,0.87,19034.4,12,40,28,13,25,22,18,31,3,1,3
Borivali West,400092,7267.022901,1.75,13.59,4.35,50799,2,3,5,0,3,0,0,1,0,0,1
Kopri Colony,400603,35624.73423,16.2,11.96,0.57,11492.3,16,19,27,9,34,13,4,18,2,0,0
Ghatkopar West,400086,51203.09883,2.28,3.12,0.44,19764.9,10,-1,19,24,24,25,5,17,3,0,1
Andheri,400053,33929.40476,2.1,5.92,2.06,33375.4,14,22,22,9,12,6,8,19,1,3,3
Vileeparle (East),400057,61196.07843,2.58,1.87,0.44,16905,33,37,9,12,15,20,10,40,1,4,0
Vidyanagari,400098,39747.66355,2.26,1.54,1.59,23469.6,7,4,22,6,7,5,8,4,3,1,1
Borivali,400091,42421.17647,1.6,12.14,1.51,5174.4,7,12,5,7,9,9,8,7,1,2,1
S.B. Road,400080,52696.47059,8.63,9.73,0.77,47883.4,6,-1,6,8,31,5,5,13,3,4,1
Airport,400099,39855.09615,1.94,0.75,1.92,578.1,0,0,1,3,1,0,11,1,0,5,2
Nehru Nagar,400024,49330.72165,2.31,2.74,0.49,92.4,7,33,16,9,17,15,1,16,6,2,1
Orlem,400064,59065.39017,2.04,8.67,0.59,22075.5,14,40,19,16,20,9,22,13,1,3,4
Chembur,400071,54507.11864,2.19,3.89,1.42,7442.4,20,16,-1,13,13,5,12,15,3,3,2
Kandivali East,400101,31565.28302,1.87,9.67,1.32,23136.3,14,22,15,15,11,6,8,5,2,0,2
Kandivali RS,400067,36242.5,2.21,10.98,2.19,15123.1,15,-1,26,20,19,14,6,16,2,2,0
Motilal Nagar,400104,46222.15686,1.95,7.03,0.82,27178.2,6,34,23,24,28,20,8,16,2,1,0
Mazgaon Dock,400010,36924.81203,-36.99,10.37,0.94,1091.2,8,10,7,9,12,10,8,3,9,0,0
Oshiwara,400102,55420.31098,2.09,5.13,0.82,15254.1,22,32,27,16,27,26,39,34,1,1,0
Dahisar,400068,34506.04396,10.21,14.54,0.46,47539.8,1,0,0,0,1,0,1,0,0,0,0
H.M.P. School,400058,56694.65649,2.51,3.68,0.67,24753.7,4,9,14,7,15,6,11,8,1,0,0
Jacob Circle,400011,54208.63309,-39.35,9.96,0.35,159.6,15,7,30,10,19,9,7,10,12,1,0
Transit Camp,400022,47632.27069,1.91,3.96,0.52,144.4,24,-1,21,-1,34,6,7,24,7,2,0
Airoli,400708,8141.729323,13.99,12.53,2.71,36801.6,18,33,-1,9,19,7,3,26,1,2,1
Jekegram,400606,53277.2651,11.62,13.17,2.52,10784.4,11,-1,27,15,24,2,4,8,0,4,4
Naupada,400602,72311.30186,16.09,12.49,0.68,56658,37,-1,22,9,20,17,5,-1,1,2,0
Thane,400601,54241.66947,16.06,13.76,1.52,36378.7,12,38,26,18,23,11,9,15,1,4,2
Sandozbaugh,400607,30483.63636,5.74,16.72,4.38,19804.1,2,14,7,3,5,1,0,4,0,4,2
NERUL NODE-III,400706,4923.779904,14.18,13.53,6.95,22261.9,5,20,12,38,19,7,2,2,2,8,3
Navi Mumbai,400703,8982.785714,13.68,12.08,5.99,2786.4,17,-1,34,15,34,19,21,14,2,13,1
Sanpada,400705,4887.44,13.35,12.56,5.9,45154.7,3,13,4,7,5,1,5,6,3,11,1
mira,401107,7600.325203,10.37,17.1,3.95,54189.7,2,4,17,1,7,4,5,7,0,0,1
Kopar Khairne,400709,5919.285714,15.06,10.71,5.79,20000.4,19,-1,29,15,30,20,4,30,1,9,1
Ghansoli,400701,3574.017857,10.19,12.01,5.49,32011.7,1,2,4,1,2,0,0,5,1,1,1
Bhayander West,401101,8156.732394,14.68,17.8,2.06,16846.2,1,1,3,7,2,5,1,2,1,0,0
Poynad,401208,2195.112882,10.96,39.21,5.79,28669.2,1,2,7,0,3,0,0,1,0,0,0
