z/D,x/D,Run,Avg_u/U_R,rms_u/U_R,rms_w/U_R,rss_uw/U_R2,tke/U_R2
1,3,1,0.732153568,0.388223284,0.251379481,0.046891694,0.16404721
1.2,3,1,1.015802112,0.356953971,0.204835694,0.031565583,0.139512271
1.4,3,1,1.214592539,0.28501787,0.175125643,0.02060821,0.089131384
1.6,3,1,1.308972389,0.232808342,0.157797587,0.013412235,0.063579095
1.8,3,1,1.313073775,0.171247048,0.107959344,0.004534806,0.032719166
2,3,1,1.282525328,0.145668327,0.088614877,0.003846297,0.025191985
2.2,3,1,1.293236121,0.127061077,0.074956191,0.002730176,0.01703629
2.6,3,1,1.249831108,0.106714317,0.063423238,0.002436804,0.011464315
3,3,1,1.218261918,0.087812276,0.052724443,0.0017226,0.007855239
3.4,3,1,1.185699559,0.074244301,0.042788612,0.000997487,0.005453077
3.8,3,1,1.157361306,0.070464047,0.038561583,0.0010302,0.006083794
4.2,3,1,1.165368659,0.057755885,0.031973609,0.000517696,0.00344697
4.6,3,1,1.165616531,0.046990881,0.02620805,0.000223182,0.002417799
4.9,3,1,1.155891048,0.043409324,0.024378247,0.000139945,0.002101583
0.06,4,1,-0.411577107,0.456208054,0.241776309,0.029027708,0.229505058
0.1,4,1,-0.4291967,0.477656611,0.240143591,0.030868699,0.248994392
0.14,4,1,-0.379248761,0.444823921,0.257773786,0.028862956,0.234320208
0.18,4,1,-0.230653812,0.481935148,0.280669184,0.037174867,0.255468863
0.24,4,1,-0.164131783,0.476622781,0.263188065,0.043514555,0.244019271
0.3,4,1,-0.139504639,0.453619752,0.261112438,0.039525802,0.237795054
0.4,4,1,0.069015666,0.45019326,0.273960366,0.044629779,0.229975094
0.5,4,1,0.11994524,0.477142962,0.277900279,0.053347633,0.232982449
0.6,4,1,0.288352032,0.453425437,0.265698392,0.045272894,0.209485315
0.7,4,1,0.374383136,0.441438194,0.265887128,0.053227229,0.19882764
0.8,4,1,0.495134613,0.421651057,0.266503883,0.048072984,0.197125546
0.9,4,1,0.667426518,0.40397238,0.262111236,0.044904517,0.18137863
1,4,1,0.729839444,0.392381427,0.252648048,0.043472369,0.169575421
1.2,4,1,0.964799495,0.370585747,0.211225241,0.032672747,0.147076438
1.4,4,1,1.164474188,0.285296516,0.167924038,0.016093108,0.088133881
1.6,4,1,1.247935139,0.23704076,0.141318205,0.011740041,0.059065407
1.8,4,1,1.275159176,0.188043625,0.116435656,0.005421945,0.036578678
2,4,1,1.292360517,0.148674454,0.090741755,0.0031974,0.024982962
2.2,4,1,1.283334281,0.130582012,0.078817329,0.002676932,0.018333024
2.6,4,1,1.255728666,0.102805046,0.062034085,0.001620737,0.010710483
3,4,1,1.222251165,0.085580781,0.049597731,0.001236195,0.007289984
3.4,4,1,1.205403648,0.070163241,0.039808175,0.000799628,0.004810609
3.8,4,1,1.153085031,0.06271351,0.033884195,0.000629677,0.005315382
4.2,4,1,1.1699654,0.049222152,0.026981184,0.000196776,0.002825062
4.6,4,1,1.163949482,0.046761386,0.025306475,0.000182946,0.002288441
4.9,4,1,1.156252472,0.045000134,0.022899725,0.000151076,0.002088882
0.06,6,1,-0.104226617,0.466222075,0.286116922,0.044316673,0.253529011
0.1,6,1,-0.101276832,0.425405943,0.27425374,0.035811387,0.235446001
0.14,6,1,-0.050837566,0.446854874,0.300271397,0.043655212,0.245942247
0.18,6,1,-0.019675362,0.469571398,0.279906825,0.045133841,0.255441166
0.24,6,1,0.001366237,0.458747674,0.285651717,0.05600918,0.244175307
0.3,6,1,0.146488819,0.439381098,0.285596248,0.044295822,0.231690954
0.4,6,1,0.211732049,0.450051257,0.296571472,0.054718053,0.237107268
0.5,6,1,0.296665398,0.472157118,0.301665633,0.072518366,0.240703109
0.6,6,1,0.379083551,0.425338481,0.278703807,0.048155234,0.207237168
0.7,6,1,0.490802597,0.42477721,0.276189385,0.059181095,0.201808591
0.8,6,1,0.622575052,0.43224519,0.261607286,0.052713147,0.199051854
0.9,6,1,0.705245491,0.413484185,0.24971776,0.051272018,0.176195702
1,6,1,0.82571034,0.378591184,0.234297546,0.038745265,0.154933243
1.2,6,1,0.954816374,0.347153769,0.207755806,0.029152165,0.131259057
1.4,6,1,1.051871549,0.285823343,0.175204656,0.016726881,0.088236894
1.6,6,1,1.107896033,0.224874165,0.135836465,0.009679503,0.053775004
1.8,6,1,1.173352398,0.176810724,0.110224476,0.005535907,0.033814167
2,6,1,1.182403681,0.14723404,0.093713105,0.003702416,0.023290052
2.2,6,1,1.199879028,0.128790486,0.080128599,0.001808451,0.017039611
2.6,6,1,1.167000593,0.115531432,0.067392193,0.002086054,0.012711113
3,6,1,1.168518082,0.094909107,0.052996637,0.001135441,0.008374129
3.4,6,1,1.138330768,0.080524134,0.044342863,0.000732509,0.005952263
3.8,6,1,1.175613635,0.07154284,0.03819648,0.000230811,0.005516079
4.2,6,1,1.132465035,0.058517129,0.029931258,0.000190099,0.003485397
4.6,6,1,1.129822253,0.051229017,0.026347883,3.0839E-05,0.002617021
4.9,6,1,1.12536966,0.047892984,0.024231775,0.000117388,0.00220975
0.06,8,1,0.241545282,0.452614473,0.27588975,0.033985579,0.26199612
0.1,8,1,0.29696344,0.475610629,0.300978152,0.044273131,0.272945684
0.14,8,1,0.301126444,0.444074243,0.298039753,0.042155659,0.245153688
0.18,8,1,0.264652369,0.438439059,0.27809339,0.031862739,0.236779836
0.24,8,1,0.366879942,0.419761085,0.284524027,0.04620741,0.212043043
0.3,8,1,0.370432105,0.43339984,0.280884588,0.042492227,0.219290124
0.4,8,1,0.437483417,0.439581662,0.289474214,0.058011295,0.235633559
0.5,8,1,0.515464889,0.424991847,0.276541249,0.049236334,0.213201508
0.6,8,1,0.555113853,0.418670059,0.274510713,0.055844426,0.190104342
0.7,8,1,0.603814319,0.397961118,0.257190631,0.046760712,0.175600808
0.8,8,1,0.706941117,0.412279939,0.254078875,0.050488301,0.175151872
0.9,8,1,0.723004502,0.383744954,0.245484139,0.045352542,0.157283898
1,8,1,0.82943771,0.360696875,0.217299818,0.032138644,0.143255689
1.2,8,1,0.883511133,0.344949253,0.211190233,0.028121903,0.126255844
1.4,8,1,1.019941261,0.27130554,0.162979264,0.012914489,0.077455987
1.6,8,1,1.046611728,0.232479319,0.148564827,0.014099681,0.057470072
1.8,8,1,1.1047452,0.196244302,0.115196097,0.008584414,0.037538875
2,8,1,1.096026028,0.166442429,0.095058106,0.005183768,0.026869993
2.2,8,1,1.108194332,0.138651556,0.081996003,0.003085017,0.018284912
2.6,8,1,1.122396393,0.110531009,0.06614996,0.001990097,0.011696673
3,8,1,1.118338016,0.093639719,0.054676671,0.000961581,0.008221447
3.4,8,1,1.127562797,0.080482819,0.045709775,0.000519306,0.005973163
3.8,8,1,1.172830223,0.079892685,0.040032818,0.000626558,0.004720788
4.2,8,1,1.129849499,0.062577515,0.030962322,0.000206418,0.004780275
4.6,8,1,1.124118144,0.055933382,0.028267336,0.000110206,0.002861831
4.9,8,1,1.104544922,0.05180229,0.024855517,3.94016E-05,0.002467628
0.06,10,1,0.591435046,0.413296659,0.228706137,0.021772992,0.227351454
0.1,10,1,0.553143068,0.430124807,0.248627963,0.026519413,0.221117348
0.14,10,1,0.589945365,0.40722142,0.261439492,0.028208018,0.212816651
0.18,10,1,0.546017277,0.431014445,0.270973848,0.034488328,0.225854005
0.24,10,1,0.62290674,0.39285932,0.248586899,0.028332184,0.19125924
0.3,10,1,0.526619546,0.377894499,0.266178612,0.038109293,0.179902863
0.4,10,1,0.58891412,0.381030994,0.261961636,0.034591835,0.18054277
0.5,10,1,0.630234404,0.382673067,0.251252086,0.04197873,0.170467105
0.6,10,1,0.625462248,0.381379303,0.239633577,0.037169604,0.163639106
0.7,10,1,0.718173641,0.360631307,0.226738056,0.035894147,0.140508661
0.8,10,1,0.766712715,0.360753129,0.230181286,0.037934833,0.145247822
0.9,10,1,0.794630265,0.357467534,0.229074489,0.032268997,0.151303388
1,10,1,0.813273051,0.336006041,0.212781382,0.02864471,0.131308379
1.2,10,1,0.928577461,0.327170259,0.193448687,0.030121364,0.10841032
1.4,10,1,0.958438832,0.282651404,0.162660249,0.016976118,0.081071449
1.6,10,1,1.018755725,0.249021869,0.138607024,0.012262493,0.061822992
1.8,10,1,1.003773834,0.230498628,0.131900076,0.011129344,0.051537363
2,10,1,1.069569861,0.190393916,0.11183933,0.007948877,0.034258852
2.2,10,1,1.092520465,0.136017552,0.082062668,0.002973389,0.019234745
2.6,10,1,1.101725208,0.118689274,0.067651687,0.002329755,0.012873086
3,10,1,1.093022265,0.098002177,0.053121476,0.000796606,0.008650357
3.4,10,1,1.077278643,0.086238036,0.044882077,0.000711199,0.006433798
3.8,10,1,1.076505558,0.092729025,0.03870693,0.000395887,0.005651579
4.2,10,1,1.080379199,0.069659564,0.034302237,5.35542E-05,0.004330354
4.6,10,1,1.088016854,0.058772192,0.028360771,-2.29402E-05,0.003037824
4.9,10,1,1.082422371,0.055125712,0.025461455,1.34385E-05,0.002703513
0.06,12,1,0.768854238,0.396175956,0.217118426,0.020061682,0.195042334
0.1,12,1,0.76965347,0.402700762,0.216585783,0.020878485,0.195350088
0.14,12,1,0.751995591,0.384640331,0.212577422,0.023644783,0.172599229
0.18,12,1,0.757901896,0.390081092,0.235779274,0.019154211,0.186461443
0.24,12,1,0.712042009,0.372768383,0.230316146,0.02948256,0.169471381
0.3,12,1,0.685637703,0.334434949,0.21771712,0.018380645,0.146023516
0.4,12,1,0.758859092,0.369375103,0.22760181,0.025215065,0.159619724
0.5,12,1,0.752870134,0.36193081,0.231721104,0.031565734,0.151260226
0.6,12,1,0.749614289,0.341514204,0.217641467,0.030872929,0.129557176
0.7,12,1,0.774685062,0.318656859,0.208588466,0.02796025,0.122519643
0.8,12,1,0.790413667,0.343845085,0.222173066,0.034734648,0.132729972
0.9,12,1,0.813439454,0.350919486,0.204087159,0.03126057,0.129289043
1,12,1,0.841491002,0.334452735,0.209115578,0.031965972,0.116158752
1.2,12,1,0.903318529,0.314965854,0.183181987,0.025087066,0.098934821
1.4,12,1,0.950844151,0.282138971,0.166704053,0.020902372,0.08155386
1.6,12,1,1.004183996,0.237320831,0.135495932,0.012424736,0.058698077
1.8,12,1,1.010400077,0.20780548,0.125406581,0.01044364,0.04442904
2,12,1,1.046785018,0.18752151,0.108969936,0.007354593,0.034853446
2.2,12,1,1.065002641,0.147302847,0.08914506,0.004097444,0.022561003
2.6,12,1,1.074750641,0.110650212,0.065948901,0.00189997,0.01162415
3,12,1,1.077620508,0.090669329,0.052582879,0.001299335,0.007664191
3.4,12,1,1.062722396,0.070601361,0.042288191,0.00048902,0.004775082
3.8,12,1,1.043941592,0.065418702,0.034524738,0.000347904,0.004760901
4.2,12,1,1.055221541,0.05584375,0.028674433,0.000158967,0.002991787
4.6,12,1,1.054018613,0.051155275,0.024847869,7.0999E-05,0.002288433
4.9,12,1,1.045181778,0.048604503,0.022264898,7.65682E-05,0.002049018
0.06,2,2,-0.31371853,0.352280824,0.117453286,-0.000348474,0.105712207
0.1,2,2,-0.290510423,0.316900386,0.116886353,0.000165969,0.090858702
0.14,2,2,-0.283939611,0.31831643,0.129343819,0.000399593,0.091822317
0.18,2,2,-0.214681197,0.311095675,0.135249825,0.005635908,0.090913354
0.24,2,2,-0.248417251,0.291593972,0.122465305,0.0003705,0.083713022
0.3,2,2,-0.119677226,0.300175516,0.132800471,0.006391888,0.086966545
0.4,2,2,-0.060937875,0.299256166,0.14660345,0.010229232,0.090379284
0.5,2,2,-0.006030117,0.303731474,0.156363232,0.011545244,0.09367334
0.6,2,2,0.02597607,0.297117467,0.147530948,0.007426416,0.093200946
0.7,2,2,0.234605141,0.348145589,0.179533495,0.02015966,0.133017898
0.8,2,2,0.270489469,0.365257493,0.188820387,0.022338088,0.144754485
0.9,2,2,0.466996589,0.382992395,0.199545693,0.032585588,0.155814162
1,2,2,0.606123499,0.395761917,0.19030628,0.033044546,0.163155638
1.2,2,2,0.9860567,0.359313531,0.165201766,0.026852256,0.13010727
1.4,2,2,1.234091796,0.217556329,0.124710205,0.007609679,0.058477771
1.6,2,2,1.259538523,0.161413535,0.100063076,0.003869982,0.031546396
1.8,2,2,1.23847791,0.146831984,0.085927489,0.003182772,0.024131198
2,2,2,1.204202589,0.121706447,0.071795147,0.002496074,0.016660232
2.2,2,2,1.236187621,0.119652734,0.07234941,0.003241804,0.015591688
2.6,2,2,1.206669827,0.093597951,0.05852213,0.001914776,0.009808272
3,2,2,1.172511182,0.087469638,0.053355769,0.001828302,0.008003171
3.4,2,2,1.224481528,0.103839324,0.055104758,-0.001004157,0.008879148
3.8,2,2,1.149252035,0.066513877,0.038658816,0.000871359,0.006266935
4.2,2,2,1.120666316,0.057628038,0.031307117,0.000515446,0.003390211
4.6,2,2,1.111803817,0.049792135,0.026945136,0.000366669,0.002582761
4.9,2,2,1.117825959,0.046243524,0.024900942,0.000227102,0.00234688
0.06,3,2,-0.347994177,0.389914832,0.175024644,0.011600291,0.149633777
0.1,3,2,-0.310010943,0.389261393,0.199223372,0.018509563,0.156184446
0.14,3,2,-0.21377391,0.389340208,0.174247162,0.016625328,0.159997014
0.18,3,2,-0.194612261,0.394894959,0.197655293,0.017679843,0.153074515
0.24,3,2,-0.1684647,0.393059822,0.199691653,0.02268617,0.151173799
0.3,3,2,-0.090598239,0.398691366,0.202692311,0.024825531,0.155004729
0.4,3,2,0.011324767,0.404508593,0.19399315,0.02682564,0.15465272
0.5,3,2,0.100211421,0.367616939,0.198216567,0.026036658,0.146739237
0.6,3,2,0.179499238,0.403217153,0.208899227,0.03551158,0.157883726
0.7,3,2,0.335816583,0.381056056,0.208160107,0.031656203,0.150570284
0.8,3,2,0.509095057,0.372645227,0.209276211,0.029633744,0.150034087
0.9,3,2,0.583290297,0.387397357,0.216143561,0.032783544,0.164729896
1,3,2,0.718539595,0.354138432,0.197269655,0.029475677,0.143452627
1.2,3,2,0.974071587,0.336129198,0.177225668,0.024815245,0.119173506
1.4,3,2,1.186284364,0.257884646,0.13622993,0.010934629,0.072056599
1.6,3,2,1.238562227,0.203671688,0.110210225,0.005825382,0.044192055
1.8,3,2,1.242825083,0.155077771,0.090765757,0.00321364,0.026287486
2,3,2,1.219278472,0.136401266,0.075970895,0.002661862,0.020072901
2.2,3,2,1.242274384,0.118122585,0.070806155,0.002526794,0.021548335
2.6,3,2,1.207995951,0.099457183,0.057912165,0.00210326,0.014218883
3,3,2,1.186477381,0.084046123,0.050243906,0.001514116,0.007640045
3.4,3,2,1.16822087,0.072426715,0.043221403,0.001013868,0.005549851
3.8,3,2,1.210807994,0.074926242,0.038332035,0.001165704,0.007272295
4.2,3,2,1.130753538,0.059118637,0.032245462,0.000561803,0.00368276
4.6,3,2,1.123099332,0.049040808,0.026822173,0.00037339,0.002512201
4.9,3,2,1.124171565,0.04397057,0.023639645,0.000208456,0.002080751
0.06,4,2,-0.331881143,0.467659622,0.207252356,0.024539637,0.216282011
0.1,4,2,-0.226970503,0.468727647,0.218339574,0.022844129,0.23167013
0.14,4,2,-0.251970489,0.428320505,0.228080659,0.03250113,0.210109183
0.18,4,2,-0.223204541,0.424397423,0.224791278,0.031259113,0.187439622
0.24,4,2,-0.110360822,0.432003108,0.241134768,0.03856649,0.198065719
0.3,4,2,-0.02970526,0.399908192,0.237460964,0.03826511,0.175492768
0.4,4,2,0.051063788,0.383294164,0.233731393,0.035889076,0.180004123
0.5,4,2,0.138974537,0.394309012,0.232411432,0.042529891,0.161750952
0.6,4,2,0.348171508,0.383329527,0.231482497,0.038628872,0.152902019
0.7,4,2,0.360677394,0.412135927,0.253710683,0.050092491,0.174114917
0.8,4,2,0.522910502,0.357836626,0.227991645,0.035411714,0.143400709
0.9,4,2,0.641802243,0.372778471,0.230706851,0.035534527,0.157862346
1,4,2,0.707385268,0.353218156,0.205901392,0.029432647,0.135241366
1.2,4,2,0.961816067,0.313801457,0.177775753,0.021701198,0.105674513
1.4,4,2,1.122365603,0.257536531,0.147362282,0.014673516,0.070191612
1.6,4,2,1.210190363,0.197637752,0.122034028,0.007756023,0.042494238
1.8,4,2,1.257047421,0.149254525,0.101709655,0.004146489,0.025220075
2,4,2,1.217671422,0.130585646,0.077099072,0.002751914,0.02766922
2.2,4,2,1.2407876,0.116140104,0.069024807,0.00239863,0.023667608
2.6,4,2,1.213619164,0.094025744,0.056173985,0.00177657,0.012059821
3,4,2,1.206250506,0.078208178,0.046456633,0.001174348,0.007225997
3.4,4,2,1.18337187,0.068783761,0.040378397,0.000965261,0.00500734
3.8,4,2,1.15654559,0.060481087,0.032381355,0.000499738,0.005073384
4.2,4,2,1.144615452,0.050148722,0.027064557,0.000348675,0.002796452
4.6,4,2,1.131895678,0.043147268,0.024595512,0.000207045,0.00211819
4.9,4,2,1.13103223,0.042608535,0.022816659,0.000182079,0.00198487
0.06,6,2,0.002375358,0.455039087,0.256394417,0.034958655,0.239256321
0.1,6,2,0.038321298,0.45625236,0.270092573,0.035705995,0.248885544
0.14,6,2,-0.003541062,0.437596675,0.25912864,0.03890625,0.223377571
0.18,6,2,0.089748622,0.452563969,0.265404155,0.047473709,0.236329912
0.24,6,2,0.182090103,0.453384054,0.265463353,0.048382785,0.225417206
0.3,6,2,0.181850236,0.443132143,0.276716828,0.047939749,0.2350189
0.4,6,2,0.260259857,0.427179802,0.283486808,0.055953654,0.278985163
0.5,6,2,0.34208614,0.440228979,0.252452733,0.049064698,0.209207216
0.6,6,2,0.436098067,0.416297951,0.244802018,0.040620092,0.188461746
0.7,6,2,0.579693103,0.383929532,0.227902164,0.037303526,0.156068422
0.8,6,2,0.635634733,0.413819355,0.25139797,0.046138017,0.180586186
0.9,6,2,0.695477086,0.361635831,0.230297853,0.036791801,0.14696307
1,6,2,0.72475177,0.346383104,0.212163007,0.031151205,0.129002496
1.2,6,2,0.933310642,0.290301252,0.175536694,0.019840788,0.089759606
1.4,6,2,1.019184866,0.266419469,0.149724767,0.014771135,0.06984587
1.6,6,2,1.05246934,0.216212147,0.13105539,0.010153483,0.047181833
1.8,6,2,1.108447959,0.16416734,0.096924957,0.00400841,0.027279172
2,6,2,1.078827894,0.146234297,0.083178458,0.003073454,0.020813037
2.2,6,2,1.133403693,0.129647912,0.075514462,0.002688112,0.016346006
2.6,6,2,1.111950249,0.101440439,0.06016807,0.001544437,0.010172582
3,6,2,1.113280434,0.083160577,0.050109727,0.001288378,0.007033941
3.4,6,2,1.106487166,0.071916072,0.041122388,0.000952081,0.005101544
3.8,6,2,1.105997516,0.062696113,0.036012378,0.000530341,0.00644535
4.2,6,2,1.081750403,0.057384421,0.031242115,0.000498407,0.003388528
4.6,6,2,1.079195828,0.046462932,0.025278934,0.000216239,0.002315538
4.9,6,2,1.077409646,0.043042807,0.02243306,0.000156887,0.00201152
0.06,8,2,0.264957983,0.433633536,0.245698274,0.028352981,0.21658143
0.1,8,2,0.190424591,0.440970596,0.263163882,0.034847345,0.229046443
0.14,8,2,0.269173541,0.411638563,0.254298178,0.03089763,0.200138184
0.18,8,2,0.317164169,0.428976918,0.257736901,0.041414291,0.20791671
0.24,8,2,0.328693686,0.399459552,0.265060392,0.034864978,0.20146727
0.3,8,2,0.336743118,0.420910238,0.263392441,0.044540521,0.236850292
0.4,8,2,0.406992118,0.421049612,0.255769072,0.043666824,0.194023036
0.5,8,2,0.503002416,0.392980806,0.240891275,0.033480921,0.173884822
0.6,8,2,0.554445257,0.389563143,0.236457071,0.042925323,0.164968349
0.7,8,2,0.679246977,0.393237547,0.22689476,0.035964476,0.159355303
0.8,8,2,0.682780125,0.379616708,0.230019261,0.037147079,0.155438801
0.9,8,2,0.706105183,0.358556582,0.213462942,0.032358198,0.139593692
1,8,2,0.803490178,0.331978677,0.195236576,0.027685255,0.115193663
1.2,8,2,0.903300471,0.29161355,0.163617603,0.017252097,0.086521251
1.4,8,2,0.982403324,0.246773854,0.149152876,0.012611525,0.064979524
1.6,8,2,1.026984751,0.230535921,0.134381791,0.011984436,0.071207558
1.8,8,2,1.071220885,0.166467125,0.102973178,0.005901529,0.028605165
2,8,2,1.071895592,0.142440663,0.079413134,0.003121012,0.019840731
2.2,8,2,1.095837268,0.129654981,0.078484613,0.002483626,0.016816046
2.6,8,2,1.091454432,0.104013958,0.062849575,0.001749424,0.010663444
3,8,2,1.094838923,0.088654485,0.052555489,0.001305048,0.00770129
3.4,8,2,1.087420615,0.077362185,0.043778724,0.001097096,0.005784521
3.8,8,2,1.093975252,0.069660029,0.036096827,0.000830898,0.009391398
4.2,8,2,1.069588078,0.058638512,0.030564348,0.000354408,0.003631229
4.6,8,2,1.062960611,0.053073874,0.027040245,0.000303157,0.002747298
4.9,8,2,1.0644923,0.045218874,0.024531872,0.000202602,0.002147034
0.06,10,2,0.516301772,0.39467652,0.215214561,0.019208741,0.199217887
0.1,10,2,0.538213075,0.397832906,0.226841663,0.024213796,0.202246561
0.14,10,2,0.515728891,0.387165444,0.230398485,0.026104192,0.179082038
0.18,10,2,0.55674335,0.390187411,0.228520067,0.024353281,0.184769845
0.24,10,2,0.532400337,0.36379755,0.239983753,0.027162979,0.167774468
0.3,10,2,0.512005052,0.371872671,0.246144939,0.026681421,0.164282148
0.4,10,2,0.553430864,0.369616276,0.236638027,0.034723549,0.163021568
0.5,10,2,0.617322368,0.384548099,0.237781148,0.039945371,0.163264031
0.6,10,2,0.621799131,0.365031658,0.220237851,0.0323939,0.146416758
0.7,10,2,0.723164206,0.374540601,0.22740007,0.033452366,0.152295179
0.8,10,2,0.739483895,0.360052295,0.218630661,0.035042911,0.139422148
0.9,10,2,0.729232898,0.33455652,0.200871665,0.028762482,0.11553024
1,10,2,0.77436625,0.312382563,0.18708958,0.027252916,0.102737909
1.2,10,2,0.852795167,0.298555898,0.184983296,0.025254709,0.09538415
1.4,10,2,0.910247845,0.264099492,0.152596443,0.015538544,0.071342256
1.6,10,2,0.992450579,0.219313402,0.124155593,0.010284615,0.067321816
1.8,10,2,1.012437629,0.194892577,0.1094153,0.00726292,0.037390934
2,10,2,1.00330545,0.1736424,0.092309602,0.004282441,0.029079305
2.2,10,2,1.041199389,0.157091566,0.082926619,0.003188455,0.023225951
2.6,10,2,1.056440418,0.12214385,0.066228665,0.001962927,0.014547872
3,10,2,1.070560322,0.102905874,0.05576283,0.001348568,0.010414664
3.4,10,2,1.06010317,0.089263604,0.044720703,0.000907625,0.007894127
3.8,10,2,1.060898431,0.074874573,0.037751547,0.000706588,0.013489606
4.2,10,2,1.048577462,0.063764888,0.030806526,0.000378667,0.004903032
4.6,10,2,1.040704679,0.057332023,0.028411794,0.000288202,0.004126547
4.9,10,2,1.044291676,0.051584289,0.02409551,0.000190127,0.003440671
0.06,12,2,0.707322779,0.388635917,0.196883679,0.021284483,0.182223532
0.1,12,2,0.687302289,0.375689031,0.1979653,0.01817239,0.167303208
0.14,12,2,0.712619809,0.375086108,0.198440539,0.018519731,0.159851678
0.18,12,2,0.664071284,0.352408112,0.209541879,0.018932602,0.156328239
0.24,12,2,0.689902201,0.351901615,0.209612289,0.017491648,0.151435241
0.3,12,2,0.700581157,0.357879922,0.215204405,0.02189347,0.177931224
0.4,12,2,0.687649139,0.36407263,0.215343706,0.022569888,0.149887571
0.5,12,2,0.717670755,0.334302733,0.214341421,0.023239296,0.139101701
0.6,12,2,0.711790257,0.34060891,0.205738828,0.021655098,0.130171316
0.7,12,2,0.739584465,0.346570311,0.206452957,0.025591587,0.169390376
0.8,12,2,0.778984958,0.355834804,0.204448338,0.030055643,0.130495193
0.9,12,2,0.772298946,0.306506069,0.196138962,0.023877875,0.108690211
1,12,2,0.784816952,0.303313372,0.177452569,0.021643752,0.096255071
1.2,12,2,0.861674392,0.288826123,0.169527789,0.019378001,0.085764247
1.4,12,2,0.933126657,0.263469691,0.153689851,0.018833063,0.069347934
1.6,12,2,0.925213675,0.236515304,0.132619781,0.01220472,0.07671684
1.8,12,2,0.947381467,0.206059453,0.117069435,0.009107058,0.043072012
2,12,2,0.988920669,0.162682297,0.093063554,0.004845731,0.027972729
2.2,12,2,1.0216071,0.158369504,0.088324013,0.004798521,0.024198556
2.6,12,2,1.040926133,0.118562655,0.067044666,0.002632202,0.013993337
3,12,2,1.051874577,0.096503494,0.055050414,0.001398402,0.008889531
3.4,12,2,1.039498664,0.085902599,0.047737965,0.001071651,0.006915278
3.8,12,2,1.035072384,0.073332584,0.038677308,0.000679975,0.005365858
4.2,12,2,1.027335405,0.067180397,0.035388148,0.000762171,0.004312665
4.6,12,2,1.03505905,0.052807661,0.028807168,0.000428551,0.002825814
4.9,12,2,1.034171183,0.048239337,0.026925064,0.000314761,0.002437825
0.0375,2,3,-0.37238578,0.359298183,0.124900643,0.00035221,0.116970739
