z* (z-axis),rms_w-rms_emin/rms_wmax_rms_wmin (x-axis)
0.205848143,0.358359241
0.247017772,0.446742369
0.2881874,0.487082603
0.329357029,0.470790602
0.370526657,0.525871974
0.411696286,0.47286496
0.494035543,0.623790357
0.576374801,0.755785339
0.658714058,1
0.741053315,0.955930317
0.823392572,0.83719482
0.905731829,0.633472766
1.070410344,0.400307142
1.235088858,0.239498525
1.399767373,0.151926144
1.564445887,0.112046228
1.729124402,0.057390565
1.893802916,0.01253489
2.017311802,0
0.024095357,0.358612371
0.040158928,0.409985212
0.056222499,0.457648974
0.07228607,0.475862003
0.096381426,0.53232066
0.120476783,0.517101014
0.16063571,0.554121247
0.200794638,0.638671121
0.240953566,0.69933336
0.281112493,0.670291371
0.321271421,0.732871371
0.361430348,0.741492623
0.401589276,0.779982109
0.481907131,0.836374627
0.562224986,0.975666584
0.642542842,1
0.722860697,0.963650724
0.803178552,0.798987474
0.883496407,0.671526449
1.044132118,0.435024962
1.204767828,0.317291341
1.365403538,0.171785119
1.526039249,0.103423736
1.686674959,0.066470296
1.847310669,0.019861606
1.967787452,0
0.024566858,0.441481249
0.040944763,0.469333646
0.057322668,0.513181357
0.073700573,0.527258018
0.098267431,0.604738303
0.122834289,0.590222839
0.163779051,0.632008915
0.204723814,0.674370377
0.245668577,0.7500218
0.28661334,0.772991169
0.327558103,0.768073733
0.368502866,0.797421072
0.409447629,7.91E-01
0.491337154,0.800753273
0.57322668,1
0.655116206,0.94083605
0.737005731,0.888405056
0.818895257,0.802784416
0.900784783,0.645658632
1.064563834,0.405213333
1.228342886,0.257684271
1.392121937,0.165582602
1.555900988,0.126933642
1.71968004,0.058850539
1.883459091,0.031834116
2.00629338,0
0.022743003,0.280452728
0.037905006,0.344531651
0.053067008,0.422914319
0.06822901,0.478174724
0.090972014,0.630419917
0.113715017,0.600960184
0.151620023,0.617537311
0.189525028,0.709401519
0.227430034,0.881191569
0.265335039,0.928414833
0.303240045,0.896606812
0.341145051,0.530115388
0.379050056,0.914365752
0.454860068,1
0.530670079,0.943958867
0.60648009,0.932206176
0.682290101,0.875652122
0.758100113,0.812596367
0.833910124,0.7311086
0.985530146,0.517696646
1.137150169,0.3322652
1.288770191,0.218549447
1.440390214,0.153204515
1.592010236,0.092538248
1.743630259,0.040893653
1.857345276,0
0.02286979,0.478177524
0.038116317,0.549682981
0.053362843,0.508647765
0.06860937,0.628261951
0.09147916,0.621250855
0.11434895,0.727713709
0.152465266,0.794177579
0.190581583,0.839742286
0.228697899,0.829070038
0.266814216,0.84062758
0.304930532,1
0.343046849,0.964269105
0.381163165,0.990548695
0.457395799,0.913371028
0.533628432,0.921230885
0.609861065,0.797725422
0.686093698,0.852950418
0.762326331,0.804912042
0.838558964,0.74484751
0.99102423,0.508298717
1.143489496,0.367334087
1.295954762,0.244834068
1.448420029,0.200808139
1.600885295,0.092215155
1.753350561,0.016915739
1.867699511,0
0.019905465,0.473610423
0.033175775,0.539379187
0.046446084,0.549537609
0.059716394,0.585054911
0.079621859,0.636194378
0.099527324,0.713642671
0.132703098,0.729181918
0.165878873,0.799415263
0.199054648,0.799435684
0.232230422,0.841638097
0.265406197,0.853888168
0.298581972,0.937096494
0.331757746,1
0.398109295,0.966737439
0.464460845,0.95990252
0.530812394,0.933972271
0.597163943,0.874325013
0.663515492,0.749537148
0.729867042,0.84512207
0.86257014,0.665509214
0.995273239,0.505255273
1.127976337,0.357714296
1.260679436,0.233938377
1.393382534,0.140707067
1.526085633,0.050812506
1.625612957,0
0.018316328,0.427907155
0.030527214,0.475713275
0.042738099,0.511715233
0.054948985,0.578401103
0.073265313,0.602328804
0.091581641,0.61951532
0.122108855,0.673588776
0.152636068,0.807299156
0.183163282,0.849404889
0.213690496,0.868696537
0.244217709,0.986799583
0.274744923,0.966491505
0.305272137,0.969994656
0.366326564,0.948051055
0.427380991,1
0.488435418,0.986499841
0.549489846,0.975198544
0.610544273,0.943544936
0.6715987,0.870657612
0.793707555,0.788711309
0.91581641,0.600731402
1.037925264,0.454619837
1.160034119,0.285879219
1.282142973,0.148068261
1.404251828,0.032160493
1.495833469,0
