R,a2
0.06263048,0.099832496
0.066805846,0.18961474
0.534446764,0.079731993
0.542797495,0.129648241
0.775617954,0.039530988
0.776617954,0.079731993
1.624217119,0.050251256
1.778705637,0.019765494
1.93736952,0.000670017
1.954070981,0.040201005
2.096033403,0.140368509
2.354906054,0.050251256
2.85177453,0.039865997
3.185803758,0.029815745
3.624217119,0.000335008
