z* (z-axis),rms_u-rms_umin/rms_umax_rms_umin (x-axis)
0.5568762,0.891293098
0.6187513,0.879311793
0.7425016,0.730173808
0.8662518,0.672213475
0.9900021,0.536943029
1.1137524,0.377068452
1.2375026,0.339361175
1.3612529,0.278662092
1.6087534,0.195268312
1.8562539,0.13722987
2.1037544,0.102588244
2.351255,0.071121719
2.5987555,0.05916366
2.846256,0.014155275
3.0318814,0
0.0362446,0.814731393
0.0604077,0.846823556
0.0845708,0.834588358
0.1087339,0.902321194
0.1449786,0.864275652
0.1812232,0.945413144
0.2416309,0.976186044
0.3020387,0.950177601
0.3624464,0.981058273
0.4228542,1
0.4832619,0.991545219
0.5436696,0.970870217
0.6040774,0.917758033
0.7248928,0.806500805
0.8457083,0.665328084
0.9665238,0.641213195
1.0873393,0.417574858
1.2081547,0.350836079
1.3289702,0.2989433
1.5706012,0.217297391
1.8122321,0.166455692
2.0538631,0.128617698
2.295494,0.101725318
2.537125,0.06083225
2.7787559,0.038793355
2.9599791,0
0.0304592,0.756525652
0.0507654,0.779162146
0.0710715,0.812347598
0.0913777,0.843625338
0.1218369,0.806891931
0.1522961,0.852803779
0.2030615,0.875198032
0.2538269,0.981869782
0.3045923,0.959403575
0.3553576,1
0.406123,0.98572082
0.4568884,0.943606421
0.5076538,0.899074669
0.6091845,0.879060378
0.7107153,0.766001197
0.812246,0.622394716
0.9137768,0.546498644
1.0153075,0.491744923
1.1168383,0.417645931
1.3198998,0.289937455
1.5229613,0.218118744
1.7260228,0.166936085
1.9290843,0.103181693
2.1321458,0.058892055
2.3352073,0.03029354
2.4875034,0
0.0303635,0.767388052
0.0506058,0.745947386
0.0708482,0.805062792
0.0910905,0.759920626
0.121454,0.798048676
0.1518175,0.837170158
0.2024233,0.885780029
0.2530292,0.842249787
0.303635,0.903569156
0.3542408,0.931629391
0.4048467,1
0.4554525,0.867419773
0.5060583,0.892549473
0.60727,0.868688134
0.7084817,0.790712899
0.8096933,0.721241058
0.910905,0.620516139
1.0121167,0.465848496
1.1133284,0.447319459
1.3157517,0.294994303
1.518175,0.207394032
1.7205984,0.17047866
1.9230217,0.115441975
2.125445,0.098450115
2.3278684,0.023930807
2.4796859,0
0.0252723,0.421416494
0.0421204,0.510846544
0.0589686,0.472641119
0.0758168,0.410539399
0.101089,0.488689967
0.1263613,0.54115427
0.1684817,0.505632394
0.2106021,0.470115672
0.2527226,0.505251239
0.294843,0.528694721
0.3369634,0.521867396
0.3790839,0.642753122
0.4212043,0.62811168
0.5054452,0.683001682
0.589686,0.769473943
0.6739269,0.881608273
0.7581677,1
0.8424086,0.873140544
0.9266495,0.623073012
1.0951312,0.340381808
1.2636129,0.226314991
1.4320946,0.155023464
1.6005763,0.106327843
1.7690581,0.123177999
1.9375398,0.004980693
2.0639011,0
0.0248113,0.558308226
0.0413522,0.513898406
0.0578931,0.543672189
0.074434,0.589184649
0.0992454,0.577578734
0.1240567,0.623669884
0.165409,0.773320144
0.2067612,0.702180128
0.2481135,0.770893793
0.2894657,0.770053447
0.330818,0.818497118
0.3721702,0.867188298
0.4135225,0.813007048
0.496227,0.867672523
0.5789314,0.936482513
0.6616359,1
0.7443404,0.992288539
0.8270449,0.847808848
0.9097494,0.653877723
1.0751584,0.371854534
1.2405674,0.205727704
1.4059764,0.093259956
1.5713854,0.082491669
1.7367943,0.029617132
1.9022033,0
2.0262601,0.001015867
0.0241629,0.523821269
