R,b2
0.06204757,1.944444444
0.066184074,1.602693603
0.537745605,2.792929293
0.54188211,1.991582492
0.777662875,2.297979798
0.777662875,1.991582492
1.522233713,3.900673401
1.621509824,2.345117845
1.782833506,2.875420875
1.935884178,2.580808081
1.956566701,2.368686869
2.093071355,5.255892256
2.357807653,4.053872054
2.850051706,4.595959596
3.189245088,3.653198653
3.631851086,5.986531987
