z*,x/D,Run,u*,z*,RMS_u*,z*,RMS_w*,z*,RSS_uw*,z*,k*
1.292592631,8,1,0.646135608,0.901734827,0.595698893,0.921742168,0.606395647,1.240598444,0.382484952,1.086449095,0.429557843
1.45416671,8,1,0.714579371,1.01445168,0.485925738,1.036959939,0.449751016,1.395673249,0.248101125,1.222255232,0.288166201
1.615740789,8,1,0.739754465,1.127168534,0.396585077,1.15217771,0.359484584,1.550748055,0.16098586,1.358061369,0.213870961
1.777314867,8,1,0.770572495,1.239885387,0.299844698,1.26739548,0.296708324,1.70582286,0.09990428,1.493867506,0.141959602
2.100463025,8,1,0.833773008,1.465319094,0.211560441,1.497831022,0.226713263,2.015972471,0.071650161,1.76547978,0.090859216
2.423611183,8,1,0.877975785,1.690752801,0.159194303,1.728266564,0.172909573,2.326122082,0.037271818,2.037092054,0.061908633
2.746759341,8,1,0.934090144,1.916186508,0.117177785,1.958702106,0.128977431,2.636271693,0.021288636,2.308704328,0.041683779
3.069907498,8,1,1,2.141620214,0.122873622,2.189137648,0.096367748,2.946421304,0.027385225,2.580316602,0.027736689
3.393055656,8,1,0.988867691,2.367053921,0.047051538,2.41957319,0.039076532,3.256570915,0.008183707,2.851928876,0.032323757
3.716203814,8,1,0.999046467,2.592487628,0.017883501,2.650008732,0.022693134,3.566720526,0.003568579,3.123541149,0.005129092
3.958564932,8,1,0.992468731,2.761562908,0,2.822835388,0,3.799332734,0,3.327250355,0
0.042843116,10,1,0.01796546,0.029375534,0.748714351,0.029471123,0.636845306,0.03862466,0.307163327,0.035641685,0.729515705
0.071405193,10,1,0,0.048959223,0.708258236,0.049118538,0.71780896,0.064374433,0.268057331,0.059402808,0.718996028
0.09996727,10,1,0.0370868,0.068542912,0.708941445,0.068765953,0.821971459,0.090124207,0.318934628,0.083163931,0.776741368
0.128529348,10,1,0.013288022,0.088126601,0.768109303,0.088413368,0.86217255,0.11587398,0.392093398,0.106925054,0.831047253
0.171372464,10,1,0.078260618,0.117502135,0.736462283,0.117884491,0.835921993,0.15449864,0.364190581,0.142566739,0.793994303
0.214215579,10,1,0.033939469,0.146877669,0.834717421,0.147355614,0.95662403,0.1931233,0.751397056,0.178208424,0.81025824
0.285620773,10,1,0.082024718,0.195836892,0.772864375,0.196474151,0.968547075,0.257497734,0.508463258,0.237611232,0.85943487
0.357025966,10,1,0.121302128,0.244796115,0.811494526,0.245592689,0.95731445,0.321872167,0.65872017,0.297014039,0.865823406
0.428431159,10,1,0.145894308,0.293755338,0.880516911,0.294711227,0.978815844,0.386246601,0.664903367,0.356416847,0.952000796
0.499836352,10,1,0.226590774,0.342714561,0.852465399,0.343829765,0.95028199,0.450621034,0.683434143,0.415819655,0.865854834
0.571241545,10,1,0.256141198,0.391673783,0.841811184,0.392948303,0.956319928,0.514995467,0.708186555,0.475222463,0.878137386
0.642646738,10,1,0.300044728,0.440633006,0.878085828,0.442066841,1,0.579369901,0.65423088,0.534625271,1
0.714051931,10,1,0.329004061,0.489592229,0.836212571,0.491185378,0.941625328,0.643744334,0.609923313,0.594028079,0.907397673
0.856862318,10,1,0.443999872,0.587510675,0.848210814,0.589422454,0.876593526,0.772493201,0.691561795,0.712833695,0.80217476
0.999672704,10,1,0.499800991,0.685429121,0.737408283,0.68765953,0.741523607,0.901242068,0.422684607,0.83163931,0.642767082
1.14248309,10,1,0.586635319,0.783347567,0.656994344,0.785896605,0.63578876,1.029990935,0.332378855,0.950444926,0.526176929
1.285293477,10,1,0.602857264,0.881266013,0.617123568,0.884133681,0.62185778,1.158739802,0.322263512,1.069250542,0.463419154
1.428103863,10,1,0.698540274,0.979184459,0.491891234,0.982370757,0.521972762,1.287488669,0.24795693,1.188056158,0.318893064
1.570914249,10,1,0.745150068,1.077102905,0.28910066,1.080607832,0.338877351,1.416237536,0.096214815,1.306861773,0.168408087
1.856535022,10,1,0.815128182,1.272939796,0.246787757,1.277081984,0.268137069,1.673735269,0.084230467,1.544473005,0.114272915
2.142155794,10,1,0.862232881,1.468776688,0.178989684,1.473556135,0.183352844,1.931233003,0.030523903,1.782084236,0.072387266
2.427776567,10,1,0.90067369,1.66461358,0.144557678,1.670030287,0.137658091,2.188730737,0.02991613,2.019695468,0.050398027
2.71339734,10,1,0.9264668,1.860450472,0.18530751,1.866504438,0.095727517,2.44622847,0.016545049,2.257306699,0.042335172
2.999018112,10,1,0.964562754,2.056287363,0.082447687,2.062978589,0.067802466,2.703726204,0.000598186,2.494917931,0.025063753
3.284638885,10,1,0.991716033,2.252124255,0.032276916,2.259452741,0.021905212,2.961223938,-0.003230799,2.732529162,0.004712105
3.498854464,10,1,1,2.399001924,0.017046958,2.406808354,0,3.154347238,-0.001356957,2.910737586,0
0.040042877,12,1,0,0.028808709,0.73431154,0.028625333,0.654253847,0.037612865,0.291230611,0.034247782,0.734045043
0.066738129,12,1,0.003885237,0.048014515,0.758482484,0.047708889,0.658222041,0.062688108,0.307714091,0.057079636,0.7463798
0.09343338,12,1,0.019590691,0.067220322,0.768483003,0.066792444,0.690331344,0.087763352,0.390748076,0.07991149,0.736205459
0.120128632,12,1,0.024557611,0.086426128,0.785691441,0.085876,0.789611059,0.112838595,0.316907449,0.102743345,0.802369438
0.160171509,12,1,0.024148874,0.115234837,0.803187307,0.114501333,0.828093445,0.15045146,0.555700157,0.136991126,0.826063112
0.200214386,12,1,0.025342059,0.144043546,0.731274115,0.143126667,0.811691513,0.188064325,0.373697736,0.171238908,0.76850085
0.266952514,12,1,0.093530144,0.192058061,0.867160703,0.190835556,0.885554042,0.250752433,0.542473578,0.228318544,0.891472159
0.333690643,12,1,0.107534926,0.240072577,0.88091189,0.238544445,0.941380406,0.313440541,0.726092005,0.28539818,0.901469162
0.400428772,12,1,0.144331188,0.288087092,0.889608737,0.286253333,0.94458863,0.376128649,0.810156454,0.342477816,0.879182552
0.4671669,12,1,0.185362941,0.336101608,0.845667726,0.333962222,0.931701703,0.438816758,0.780712277,0.399557452,0.885165841
0.533905029,12,1,0.192134528,0.384116123,0.923035961,0.381671111,0.993505968,0.501504866,0.951994874,0.456637088,0.942745615
0.600643158,12,1,0.240639062,0.432130638,1,0.42938,0.942673127,0.564192974,0.930578023,0.513716724,1
0.667381286,12,1,0.283824964,0.480145154,0.970218363,0.477088889,1,0.626881082,1,0.57079636,0.941401433
0.800857543,12,1,0.370790394,0.576174184,0.942216923,0.572506667,0.89134294,0.752257299,0.845069554,0.684955632,0.860740838
0.934333801,12,1,0.453095994,0.672203215,0.860859601,0.667924445,0.835260057,0.877633515,0.764525926,0.799114904,0.76648878
1.067810058,12,1,0.548435319,0.768232246,0.721253023,0.763342223,0.678554026,1.003009731,0.493493709,0.913274176,0.592211829
1.201286315,12,1,0.58948788,0.864261277,0.625742487,0.85876,0.640528431,1.128385948,0.442674116,1.027433448,0.470831197
1.334762572,12,1,0.670798536,0.960290307,0.568796069,0.954177778,0.558799449,1.253762164,0.335188725,1.14159272,0.392147961
1.46823883,12,1,0.720028105,1.056319338,0.402428127,1.049595556,0.436358578,1.379138381,0.194018902,1.255751992,0.253162387
1.735191344,12,1,0.801694301,1.2483774,0.261554855,1.240431112,0.298402552,1.629890814,0.098254387,1.484070537,0.128229117
2.002143858,12,1,0.870276418,1.440435461,0.185588365,1.431266667,0.217639094,1.880643247,0.072897676,1.712389081,0.081824298
2.269096373,12,1,0.915953377,1.632493523,0.099103168,1.622102223,0.152169354,2.131395679,0.027028105,1.940707625,0.042656167
2.536048887,12,1,0.921944886,1.824551584,0.078848503,1.812937779,0.093981642,2.382148112,0.018730278,2.169026169,0.046242903
2.803001402,12,1,0.976025863,2.016609646,0.03411265,2.003773334,0.050930069,2.632900545,0.006274939,2.397344713,0.016400645
3.069953916,12,1,0.995326298,2.208667707,0.011516341,2.19460889,0.020609609,2.883652978,0,2.625663257,0.003874149
3.270168302,12,1,1,2.352711253,0,2.337735557,0,3.071717303,0.000553657,2.796902165,0
0.053652065,2,2,-0.132944187,0.043035541,0.539329213,0.038815125,0.28441494,0.045519997,-0.007655141,0.044565728,0.291775993
0.089420108,2,2,-0.12494287,0.071725902,0.472657279,0.064691876,0.288861211,0.075866661,0,0.074276213,0.253520206
0.125188152,2,2,-0.129233699,0.100416262,0.516577585,0.090568626,0.380197601,0.106213326,0.004276729,0.103986698,0.291976438
0.160956195,2,2,-0.100393251,0.129106623,0.514409364,0.116445376,0.421733654,0.136559991,0.097170385,0.133697183,0.301904932
0.21460826,2,2,-0.119966237,0.172142164,0.494720551,0.155260502,0.381872199,0.182079987,0.004547335,0.17826291,0.299296678
0.268260325,2,2,-0.060469155,0.215177705,0.529390382,0.194075627,0.447301721,0.227599984,0.123959276,0.222828638,0.325457368
0.357680434,2,2,-0.03306505,0.286903606,0.546146027,0.258767503,0.538471858,0.303466646,0.210408878,0.29710485,0.358983078
0.447100542,2,2,-0.006216192,0.358629508,0.594951161,0.323459379,0.630780342,0.379333307,0.261665583,0.371381063,0.41375268
0.53652065,2,2,0.010749196,0.43035541,0.605031833,0.388151254,0.610294907,0.455199968,0.179517978,0.445657275,0.443216187
0.625940759,2,2,0.122802216,0.502081311,0.751605098,0.45284313,0.801444441,0.53106663,0.497623759,0.519933488,0.655356151
0.715360867,2,2,0.146242772,0.573807213,0.828295383,0.517535006,0.887030697,0.606933291,0.584055818,0.5942097,0.760023109
0.804780976,2,2,0.265299085,0.645533115,0.923693711,0.582226881,1,0.682799953,0.924626166,0.668485913,0.892092555
0.894201084,2,2,0.356622144,0.717259016,1,0.646918757,0.981116609,0.758666614,1,0.742762125,1
1.073041301,2,2,0.598984994,0.860710819,0.919938157,0.776302508,0.850386083,0.910399937,0.85979569,0.89131455,0.838793673
1.251881518,2,2,0.767009555,1.004162623,0.487450252,0.90568626,0.600778686,1.062133259,0.25272336,1.039866975,0.375726889
1.430721734,2,2,0.815791789,1.147614426,0.328085909,1.035070011,0.462526036,1.213866582,0.138384404,1.1884194,0.205922023
1.609561951,2,2,0.828373224,1.291066229,0.295170636,1.164453763,0.382743403,1.365599905,0.121050085,1.336971825,0.16169849
1.788402168,2,2,0.84555119,1.434518032,0.228946317,1.293837514,0.305943859,1.517333228,0.104264346,1.48552425,0.114876519
1.967242385,2,2,0.869661915,1.577969836,0.222247474,1.423221265,0.311168498,1.669066551,0.13666572,1.634076675,0.105830153
2.324922818,2,2,0.897371597,1.864873442,0.146598813,1.681988768,0.230949887,1.972533196,0.089329191,1.931181525,0.064273275
2.682603252,2,2,0.908847941,2.151777049,0.137210794,1.940756271,0.207416213,2.275999842,0.092747991,2.228286375,0.053105543
3.040283686,2,2,0.986191843,2.438680655,0.219239871,2.199523774,0.240140985,2.579466487,-0.0589705,2.525391225,0.070278726
3.397964119,2,2,0.952443834,2.725584262,0.071389384,2.458291277,0.106099419,2.882933133,0.049369835,2.822496075,0.043947267
3.755644553,2,2,0.97058591,3.012487868,0.044329017,2.71705878,0.05258408,3.186399778,0.031000382,3.119600925,0.012043933
4.113324986,2,2,0.985466081,3.299391475,0.014352523,2.975826282,0.017468867,3.489866424,0.02245444,3.416705775,0.002735927
4.381585312,2,2,1,3.51456918,0,3.169901909,0,3.717466408,0.01323747,3.639534413,0
0.054748103,3,2,-0.14910631,0.037275913,0.665465203,0.037744906,0.497230849,0.044632494,0.170613138,0.04284792,0.454177996
0.091246839,3,2,-0.135142951,0.062126522,0.675718003,0.062908177,0.605124015,0.074387489,0.289595013,0.071413201,0.489072602
0.127745575,3,2,-0.100201151,0.086977131,0.728640033,0.088071448,0.545421359,0.104142485,0.291930716,0.099978481,0.566801528
0.16424431,3,2,-0.093455579,0.11182774,0.761427282,0.113234719,0.663552507,0.133897481,0.324782303,0.128543761,0.564245646
0.218992414,3,2,-0.084541326,0.149103653,0.793897633,0.150979626,0.705948311,0.178529974,0.455106354,0.171391681,0.602509387
0.273740517,3,2,-0.048832807,0.186379567,0.827699234,0.188724532,0.737137169,0.223162468,0.519161637,0.214239602,0.643388708
0.364987356,3,2,0,0.248506089,0.870077867,0.251632709,0.719825869,0.297549957,0.592304424,0.285652802,0.676873625
0.456234195,3,2,0.045936006,0.310632611,0.818902169,0.314540887,0.785833893,0.371937446,0.633024963,0.357066003,0.707381243
0.547481034,3,2,0.089898262,0.372759133,0.958757337,0.377449064,0.875855792,0.446324935,0.932122906,0.428479203,0.820146158
0.638727873,3,2,0.174099026,0.434885656,0.900937034,0.440357241,0.878548096,0.520712424,0.839468129,0.499892404,0.790541663
0.729974712,3,2,0.274641273,0.497012178,0.907744419,0.503265419,0.915769998,0.595099914,0.831617613,0.571305604,0.835500055
0.821221551,3,2,0.32861682,0.5591387,1,0.566173596,1,0.669487403,1,0.642718805,1
