subdistrict,pincode,Population Density(people per square kilometer),Forecasted Future Population Growth rate(Exponential Decay),Potential Additional Future Customers,Nearest Airport Distance in km,Nearest Railway Station Distance in km,Overall Rating(Ratings*Reviews),Num_ATMS,Num_hospitals,Num_restaurants,Num_supermarket,Num_schools,Num_shopping_malls,Num_night_clubs,Num_cafe,Num_train_stations,Num_taxi_stands,Prosperity Score,Num of Competitor stores
Delisle Road,400013,43308,-41.1,-17799,8.73,0.3,4132.8,20,16,23,3,24,25,21,19,7,2,160,2
Khar Delivery,400052,57514,2.59,1489,3.37,0.71,27465.9,22,37,20,12,12,14,30,18,4,0,169,0
Mumbai G.P.O.,400001,25985,-82.97,-21559,12.33,3.09,92764.6,30,30,40,5,31,26,14,26,5,9,216,1
Mumbai Central,400008,53377,-34.25,-18281,11.05,0.75,16052,13,28,28,25,33,38,10,39,15,2,231,0
Bhawani Shankar,400028,53044,-33.75,-17902,6.54,0.54,36052.8,21,27,18,28,17,27,7,29,7,4,185,1
Haji Ali,400034,42926,-39.9,-17127,10.84,0.45,15854.1,15,16,24,11,29,13,7,11,8,2,136,0
Vileparle(West),400056,55460,2.58,1430,2.45,0.28,38019.6,11,26,1,5,18,13,12,27,2,2,117,0
Sharma Estate,400063,46775,2.34,1094,6.19,0.62,47755.7,28,22,14,11,23,12,4,28,2,0,144,2
Chakala Midc,400093,52892,1.71,904,3.22,1.61,28299.6,11,19,30,14,25,10,7,11,0,0,127,0
Andheri East,400069,60579,2.5,1514,2.95,0.33,28802.5,18,20,15,15,15,13,10,15,0,4,125,2
Marine Lines,400020,49294,-38.2,-18830,13.67,1.08,6023.6,12,5,7,4,20,6,12,21,4,11,102,1
Tilak Nagar,400089,54856,2.22,1217,3.03,0.57,26808.6,10,20,18,11,14,10,7,23,6,3,122,0
Nariman Point,400021,47473,29.65,14075,14.63,1.95,10741.4,26,21,18,3,10,9,11,15,2,8,123,0
Vihar Road,400072,47579,2.19,1041,2.32,2.25,26489.4,13,32,35,19,23,22,5,33,0,4,186,1
Bhandup West,400078,36436,2.14,779,7.34,0.66,19626.6,5,16,7,9,8,6,3,5,2,0,61,0
Bandra West,400050,53556,2.57,1376,4.28,0.87,19034.4,12,40,28,13,25,22,18,31,3,1,193,3
Borivali West,400092,7267,1.75,127,13.59,4.35,50799,2,3,5,0,3,0,0,1,0,0,14,1
Kopri Colony,400603,35625,16.2,5771,11.96,0.57,11492.3,16,19,27,9,34,13,4,18,2,0,142,0
Ghatkopar West,400086,51203,2.28,1167,3.12,0.44,19764.9,10,30,19,24,24,25,5,17,3,0,157,1
Andheri,400053,33929,2.1,712,5.92,2.06,33375.4,14,22,22,9,12,6,8,19,1,3,116,3
Vileeparle (East),400057,61196,2.58,1578,1.87,0.44,16905,33,37,9,12,15,20,10,40,1,4,181,0
Vidyanagari,400098,39748,2.26,898,1.54,1.59,23469.6,7,4,22,6,7,5,8,4,3,1,67,1
Borivali,400091,42421,1.6,678,12.14,1.51,5174.4,7,12,5,7,9,9,8,7,1,2,67,1
S.B. Road,400080,52696,8.63,4547,9.73,0.77,47883.4,6,18,6,8,31,5,5,13,3,4,99,1
