z/h,x/D,Run,Avg_u/Umax,rms_u/k^0.5,rms_w/k^0.5,rss/rssmax,k/kmax
0.333333333,8,1,0.764530887,1.628867928,0.930274222,0.162710103,0.243025305
0.366666667,8,1,0.792414917,1.383323966,0.818072573,0.101754051,0.173780847
0.433333333,8,1,0.849598487,1.192553891,0.71371277,0.073557996,0.124575567
0.5,8,1,0.889592981,1.179110029,0.688487873,0.039250303,0.096698644
0.566666667,8,1,0.940365027,1.15478271,0.655852499,0.023299968,0.077223848
0.633333333,8,1,1,1.313122987,0.657982806,0.029384028,0.063794
0.7,8,1,0.989927532,1.004987572,0.497251271,0.010221971,0.068210952
0.766666667,8,1,0.999137248,0.918924807,0.464401683,0.005616327,0.042024826
0.816666667,8,1,0.993185738,0.896998924,0.430393567,0.002055082,0.037085952
0.01,10,1,0.239507964,1.824848256,1.009817007,0.307848469,0.741935648
0.016666667,10,1,0.22559543,1.921674028,1.110798286,0.380314278,0.731899008
0.023333333,10,1,0.254315617,1.883805371,1.209418503,0.451947637,0.78699283
0.03,10,1,0.235885735,2.002585688,1.259002697,0.554952488,0.838805129
0.04,10,1,0.28620081,1.949748672,1.233729102,0.51566635,0.803453555
0.05,10,1,0.25187831,1.926483234,1.356962416,0.751642898,0.818970694
0.066666667,10,1,0.289115746,1.993196364,1.370337289,0.718796962,0.865889259
0.083333333,10,1,0.319532352,2.13411917,1.401201023,0.930353153,0.87198445
0.1,10,1,0.338576648,2.298625877,1.444304757,0.939058868,0.954204796
0.116666667,10,1,0.401068361,2.22124392,1.396552427,0.965149517,0.872014435
0.133333333,10,1,0.423952344,2.326463969,1.48441808,1,0.883733004
0.15,10,1,0.457951439,2.369689107,1.518558386,0.924032399,1
0.166666667,10,1,0.480377678,2.280709763,1.444297176,0.861648978,0.911649734
0.2,10,1,0.56943096,2.412313625,1.42634879,0.976592951,0.811258387
0.233333333,10,1,0.612643602,2.177427967,1.253066395,0.598023783,0.659170299
0.266666667,10,1,0.679888502,2.06155035,1.147470943,0.470876613,0.547933666
0.3,10,1,0.69245085,2.065988314,1.182237043,0.456634583,0.488057567
0.333333333,10,1,0.76654821,1.863266154,1.094501565,0.352013655,0.350167743
0.366666667,10,1,0.802643048,1.357044552,0.818737692,0.138366351,0.206592649
0.433333333,10,1,0.85683442,1.280575979,0.729915374,0.121492831,0.154943226
0.5,10,1,0.893312514,1.234042045,0.668904878,0.045875969,0.114980858
0.566666667,10,1,0.923081251,1.237359656,0.643976532,0.045020247,0.094001308
0.633333333,10,1,0.943055554,1.524102177,0.636190404,0.026194258,0.086308679
0.7,10,1,0.972557235,1.118724447,0.550889907,0.003741662,0.069830319
0.766666667,10,1,0.993584858,0.965563378,0.465936707,-0.001649408,0.050413166
0.816666667,10,1,1,0.95454669,0.44088587,0.000988893,0.045917429
0.01,12,1,0.322449602,1.749254409,0.958653239,0.294993444,0.744876579
0.016666667,12,1,0.325082046,1.799151275,0.967643036,0.311389413,0.756708979
0.023333333,12,1,0.335723283,1.779345306,0.983382677,0.393982574,0.746949008
0.03,12,1,0.339088621,1.812400537,1.095481146,0.320533964,0.810418329
0.04,12,1,0.338811681,1.850037969,1.143051921,0.55805893,0.833147032
0.05,12,1,0.339620124,1.704929084,1.109908673,0.377022753,0.777929106
0.066666667,12,1,0.385820989,1.932223687,1.190598946,0.54490257,0.895892168
0.083333333,12,1,0.395309934,2.018442234,1.292279217,0.727546173,0.905482023
0.1,12,1,0.420241256,2.058353403,1.311755261,0.811164327,0.884103079
0.116666667,12,1,0.448042336,1.96270983,1.284763285,0.781876468,0.889842687
0.133333333,12,1,0.452630428,2.217425539,1.432773804,0.952249732,0.945077412
0.15,12,1,0.485494695,2.326281425,1.352914801,0.930946582,1
0.166666667,12,1,0.514755319,2.270166381,1.419414781,1,0.943787974
0.2,12,1,0.573678781,2.322327289,1.350649671,0.845892075,0.866412439
0.233333333,12,1,0.629444973,2.173480403,1.284218166,0.76577605,0.77599898
0.266666667,12,1,0.694042171,1.964682239,1.121715485,0.496182733,0.6088198
0.3,12,1,0.72185735,1.862586763,1.12403502,0.44563294,0.492382631
0.333333333,12,1,0.776949417,1.835155716,1.066420595,0.338718186,0.416903923
0.366666667,12,1,0.810304931,1.469637726,0.889398589,0.198297827,0.283578809
0.433333333,12,1,0.865637894,1.193840012,0.71154348,0.103041723,0.163733691
0.5,12,1,0.912105735,1.141706921,0.662122878,0.07781963,0.119218798
0.566666667,12,1,0.943054177,1.013001674,0.606758959,0.032193579,0.081645866
0.633333333,12,1,0.947113727,1.075227372,0.567451545,0.023939805,0.085086525
0.7,12,1,0.983756314,0.896844082,0.460508037,0.011550591,0.056459652
0.766666667,12,1,0.996833332,0.840425699,0.408223542,0.005308966,0.044443321
0.816666667,12,1,1,0.84162664,0.385534884,0.005859683,0.040726955
0.01,2,2,-0.129433798,1.451197315,0.483840962,-0.00512801,0.315066279
0.016666667,2,2,-0.121457272,1.360283735,0.501730548,0.002507932,0.278068552
0.023333333,2,2,-0.125734807,1.376574551,0.559353501,0.006773936,0.315260132
0.03,2,2,-0.09698372,1.396306447,0.607048629,0.099434621,0.324862123
0.04,2,2,-0.11649606,1.33905335,0.562383288,0.007043862,0.322339643
0.05,2,2,-0.057183328,1.515619177,0.670524176,0.126156327,0.347640026
0.066666667,2,2,-0.029864133,1.682028092,0.824013501,0.212389119,0.380063227
0.083333333,2,2,-0.003098466,1.590561777,0.818833088,0.263517275,0.433031704
0.1,2,2,0.013814356,1.642938513,0.815786024,0.181575691,0.46152629
0.116666667,2,2,0.125520183,2.039953741,1.05197376,0.498883685,0.666689929
0.133333333,2,2,0.14888811,2.177107965,1.1254591,0.585098977,0.767914864
0.15,2,2,0.267575531,2.4113231,1.256341234,0.924815198,0.895641143
0.166666667,2,2,0.358615629,2.537136112,1.220008583,1,1
0.2,2,2,0.600227526,2.424110878,1.114534698,0.860147313,0.84409502
0.233333333,2,2,0.767731468,1.493764252,0.856273164,0.254597479,0.39625641
0.266666667,2,2,0.816362552,1.170566672,0.72565477,0.140545278,0.232035658
0.3,2,2,0.828905004,0.203614027,0.119156886,0.123254432,0.189266437
0.333333333,2,2,0.846029744,1.010184794,0.595912275,0.10651079,0.143984229
0.366666667,2,2,0.870065764,1.006032407,0.608309132,0.138830903,0.135235357
0.433333333,2,2,0.897689587,0.830989881,0.519576517,0.091613092,0.095045096
0.5,2,2,0.909130372,0.945474277,0.576731637,0.095023318,0.084244621
0.566666667,2,2,0.986234627,1.251773679,0.664282893,-0.056314674,0.100853056
0.633333333,2,2,0.952591185,0.388366538,0.225724181,0.051753951,0.075387519
0.7,2,2,0.970677049,1.007159469,0.547151369,0.033430567,0.044533342
0.766666667,2,2,0.985511114,0.925826375,0.501013215,0.024906058,0.035531434
0.816666667,2,2,1,0.898003519,0.483551663,0.015712203,0.032885479
0.01,3,2,-0.142764785,1.606228097,0.721002324,0.183468993,0.470984796
0.016666667,3,2,-0.128878486,1.670890808,0.855159301,0.300606597,0.504804937
0.023333333,3,2,-0.094129517,1.683720259,0.753540147,0.302906096,0.580140456
0.03,3,2,-0.087421172,1.772427007,0.887146245,0.335248469,0.577663274
0.04,3,2,-0.078556114,1.805003262,0.917020933,0.463552441,0.614748808
0.05,3,2,-0.043044658,2.013036534,1.02341576,0.52661484,0.654369384
0.066666667,3,2,0.005518658,2.273620046,1.090376626,0.598623881,0.686823243
0.083333333,3,2,0.051201159,1.925113142,1.038007986,0.638713234,0.716391479
0.1,3,2,0.094920802,2.229626543,1.155127597,0.93317503,0.825684168
0.116666667,3,2,0.178656891,2.232792117,1.219710955,0.841956443,0.796991247
0.133333333,3,2,0.278644279,2.221142364,1.247385516,0.834227613,0.840565292
0.15,3,2,0.332321955,2.439056773,1.36084154,1,1
0.166666667,3,2,0.422727392,2.270297784,1.264649132,0.958691098,0.92855341
0.2,3,2,0.589585086,2.267697637,1.195654023,0.854329359,0.816525881
0.233333333,3,2,0.733824618,1.770662648,0.935368785,0.393193677,0.515655574
0.266666667,3,2,0.798235513,1.477021674,0.799241626,0.227376922,0.343280898
0.3,3,2,0.827119198,0.215048579,0.125866183,0.133754669,0.217743027
0.333333333,3,2,0.851786154,1.132154359,0.630571713,0.12207773,0.183208022
0.366666667,3,2,0.86941437,0.993167012,0.595333549,0.116301129,0.197383705
0.433333333,3,2,0.89360339,0.883009851,0.514161074,0.108155144,0.145513459
0.5,3,2,0.914766458,0.908468917,0.543094972,0.084577788,0.084933001
0.566666667,3,2,0.935609373,0.873097521,0.52103011,0.06111056,0.066573214
0.633333333,3,2,0.99794855,0.43748533,0.223816149,0.074413137,0.092388142
0.7,3,2,0.973885707,1.033210523,0.563550726,0.039161525,0.051089597
0.766666667,3,2,0.989904114,0.911856334,0.498726859,0.027258893,0.036499195
0.816666667,3,2,1,0.853864987,0.459058539,0.015500432,0.030791724
0.01,4,2,-0.135328513,1.926492562,0.853762231,0.291312069,0.710381304
0.016666667,4,2,-0.093784364,2.011996901,0.937214926,0.27846685,0.781357399
0.023333333,4,2,-0.110275345,1.852292409,0.986345664,0.444460149,0.794987282
0.03,4,2,-0.09965683,1.904844407,1.008942059,0.44489918,0.738120279
0.04,4,2,-0.051149762,1.98383802,1.107335369,0.591485874,0.84047414
0.05,4,2,-0.014027829,2.019180426,1.198966514,0.609247964,0.773091897
0.066666667,4,2,0.024732889,2.154380177,1.313733231,0.601122234,0.834187636
0.083333333,4,2,0.070575737,2.064892504,1.217077491,0.783089705,0.824033514
0.1,4,2,0.182999386,2.119656077,1.28000388,0.761906557,0.834418038
0.116666667,4,2,0.190719093,2.414904147,1.48661386,1,0.961710004
0.133333333,4,2,0.284469841,2.132876079,1.358938382,0.748241078,0.83835254
0.15,4,2,0.363440338,2.347016151,1.452532129,0.813563028,1
0.166666667,4,2,0.413640745,2.264398117,1.319985159,0.718523201,0.913485807
0.2,4,2,0.578635743,2.117063397,1.199365174,0.560772935,0.755534617
0.233333333,4,2,0.690073635,1.76827245,1.011804667,0.396034697,0.524161407
0.266666667,4,2,0.7752192,1.433263732,0.884987535,0.227225781,0.344452514
0.3,4,2,0.831509793,0.2069734,0.141042244,0.129535507,0.217989433
0.333333333,4,2,0.845503479,1.083883697,0.639935776,0.094728871,0.263527013
0.366666667,4,2,0.863106414,0.976498445,0.580356092,0.082865518,0.226227725
0.433333333,4,2,0.892317418,0.834787945,0.498729001,0.068569851,0.128787115
0.5,4,2,0.924370107,0.845365569,0.502157696,0.049236854,0.083824734
0.566666667,4,2,0.941994702,0.829182038,0.486757934,0.043669304,0.062678582
0.633333333,4,2,0.947443333,0.353141803,0.189070841,0.023944175,0.067256825
0.7,4,2,0.97984472,0.876444219,0.473004559,0.018242888,0.040481841
0.766666667,4,2,0.991605615,0.802272867,0.45732471,0.011345033,0.032113503
0.816666667,4,2,1,0.827415616,0.44307695,0.010162169,0.030650655
0.01,6,2,0.001016787,1.874503113,1.05619967,0.42568812,0.60781602
0.016666667,6,2,0.016622462,1.95844717,1.159362846,0.44646407,0.649257472
0.023333333,6,2,-0.001626883,1.892407647,1.120614136,0.545758128,0.653720809
0.03,6,2,0.04206549,2.031265739,1.191226888,0.693081947,0.719816883
0.04,6,2,0.088594988,2.082023275,1.219056725,0.761152349,0.739843226
0.05,6,2,0.090149872,2.237422904,1.397173686,0.782948759,0.800778281
0.066666667,6,2,0.132331467,2.401048035,1.593393316,0.961336507,1
0.083333333,6,2,0.182368483,2.305363284,1.322028511,0.92668652,0.824351224
0.1,6,2,0.240621643,2.301958024,1.353655402,0.821820663,0.795483677
0.116666667,6,2,0.321786266,2.249629208,1.335389234,0.763877521,0.666746573
0.133333333,6,2,0.363003329,2.466559708,1.498451184,1,0.81657769
0.15,6,2,0.413436527,2.276862008,1.449957076,0.864048637,0.720057639
0.166666667,6,2,0.444888015,2.220580209,1.360126893,0.780068611,0.673950447
0.2,6,2,0.589431808,1.958519129,1.184259352,0.525906708,0.496366711
0.233333333,6,2,0.657821667,1.82926362,1.028025733,0.408939805,0.403420678
0.266666667,6,2,0.70774108,1.567964755,0.950410213,0.305126576,0.295809231
0.3,6,2,0.769706468,0.227653215,0.134407235,0.128447867,0.182371869
0.333333333,6,2,0.786378396,1.213770235,0.690395749,0.108522722,0.153320874
0.366666667,6,2,0.827647951,1.090071211,0.634920685,0.095258652,0.120848343
0.433333333,6,2,0.858255158,0.900617773,0.534189658,0.06114591,0.084023419
0.5,6,2,0.895585557,0.898896896,0.541644604,0.055409414,0.063111822
0.566666667,6,2,0.924629448,0.86694176,0.495726681,0.044182622,0.049391394
0.633333333,6,2,0.951127546,0.366075075,0.210271949,0.026065104,0.066088019
0.7,6,2,0.972117674,1.002901799,0.546015337,0.026748728,0.037940376
0.766666667,6,2,0.992491863,0.863923755,0.470032146,0.012154089,0.027152658
0.816666667,6,2,1,0.83584876,0.435627844,0.008981749,0.024025343
0.01,8,2,0.11479321,1.786324377,1.012137622,0.397544564,0.68178355
0.016666667,8,2,0.083601969,1.892850737,1.129621684,0.501724549,0.740384666
0.023333333,8,2,0.125168074,1.780150557,1.099724573,0.499064039,0.725770447
0.03,8,2,0.150459847,1.925398789,1.156813561,0.69619666,0.784710223
0.04,8,2,0.161864836,1.834392007,1.21720625,0.631568418,0.819358043
0.05,8,2,0.168961714,2.125222065,1.329897392,0.837612503,1
0.066666667,8,2,0.209449957,2.366592097,1.437600335,0.863870947,0.861764834
0.083333333,8,2,0.271408044,2.057937036,1.261484199,0.728134128,0.849012102
0.1,8,2,0.309633209,2.154125429,1.307511246,1,0.862830067
0.116666667,8,2,0.381623773,2.304169379,1.329486367,0.848003911,0.843585008
0.133333333,8,2,0.394659166,2.2626957,1.371023935,0.927077448,0.870941532
0.15,8,2,0.424848171,2.257475026,1.343964341,0.875027577,0.84750334
0.166666667,8,2,0.499206612,2.128236836,1.251615545,0.798282741,0.745718681
0.2,8,2,0.57740152,1.967372556,1.103847136,0.526552847,0.592872189
0.233333333,8,2,0.641775844,1.694374796,1.024099067,0.402034569,0.465061651
0.266666667,8,2,0.698984075,1.671840386,0.974533186,0.414698883,0.553196703
0.3,8,2,0.752882486,0.230842359,0.142794389,0.217755724,0.23696691
0.333333333,8,2,0.790806494,1.182282414,0.659142902,0.126893574,0.181109018
0.366666667,8,2,0.809926151,1.090130646,0.65989352,0.101342979,0.154052773
0.433333333,8,2,0.852658272,0.923466224,0.557996837,0.079752183,0.10913981
0.5,8,2,0.891437848,0.958281487,0.568081272,0.064627445,0.085623317
0.566666667,8,2,0.919723403,0.93259416,0.527748565,0.058623607,0.069395879
0.633333333,8,2,0.952204964,0.406736542,0.210765038,0.047022134,0.119322692
0.7,8,2,0.972851745,1.024819438,0.534170059,0.021901406,0.050380299
0.766666667,8,2,0.989423461,0.986846466,0.502781651,0.019620327,0.039919286
0.816666667,8,2,1,0.878105819,0.47638469,0.013355714,0.031776112
0.01,10,2,0.228015051,1.625843551,0.886562002,0.307960108,0.777866633
0.016666667,10,2,0.240862075,1.707683724,0.973709841,0.398627274,0.810898545
0.023333333,10,2,0.244457503,1.67431539,0.996369214,0.482114104,0.805513578
0.03,10,2,0.269223053,1.751297883,1.02567817,0.468109719,0.86497294
0.04,10,2,0.267251517,1.67062551,1.102049695,0.562622223,0.846343381
0.05,10,2,0.261869267,1.877625996,1.242812858,0.573727014,0.860335731
0.066666667,10,2,0.290320939,2.077500922,1.330070536,0.785470436,0.898115206
0.083333333,10,2,0.339535638,2.013777168,1.245197279,0.993319418,0.988767618
0.1,10,2,0.353964477,2.018476317,1.217825565,0.862895376,0.949876056
0.116666667,10,2,0.414157315,2.194614911,1.332447225,0.90190217,1
0.133333333,10,2,0.435703201,2.14608252,1.303142477,1,0.968975612
0.15,10,2,0.447250994,2.106370453,1.264689563,0.889349049,0.870007136
0.166666667,10,2,0.490418542,2.002610782,1.199387081,0.898523988,0.824951976
0.2,10,2,0.555662546,2.014209146,1.247990906,0.881355091,0.810710913
0.233333333,10,2,0.606141348,1.81333442,1.047742953,0.566388726,0.633333346
0.266666667,10,2,0.68854588,1.59045497,0.90037307,0.406922589,0.648725289
0.3,10,2,0.72533252,0.270260344,0.151727772,0.306425388,0.384203288
0.333333333,10,2,0.754521503,1.441262284,0.76618584,0.199087521,0.329244055
0.366666667,10,2,0.784429592,1.320815676,0.697241617,0.148763428,0.263918999
0.433333333,10,2,0.841269448,1.08442869,0.587997382,0.102319902,0.184687159
0.5,10,2,0.888531219,1.112327193,0.602749967,0.076361002,0.143623461
0.566666667,10,2,0.913962794,1.076064692,0.539104047,0.055455314,0.117468632
0.633333333,10,2,0.941277025,0.437183637,0.220426747,0.045722444,0.212590372
0.7,10,2,0.972190416,1.114412589,0.538402582,0.026756874,0.084376864
0.766666667,10,2,0.987445756,1.066021768,0.528284012,0.021327735,0.074372997
0.816666667,10,2,1,1.001715886,0.467910981,0.014331003,0.0631621
0.01,12,2,0.315432856,1.60095969,0.81104916,0.397862342,0.639703454
0.016666667,12,2,0.310592779,1.612631921,0.84975907,0.348811122,0.603096859
0.023333333,12,2,0.341090156,1.622077727,0.858165554,0.398793825,0.646450772
0.03,12,2,0.324265908,1.581731144,0.940497409,0.424301567,0.657970292
0.04,12,2,0.349702528,1.61599718,0.962578325,0.422419898,0.686823437
0.05,12,2,0.361824626,1.806975071,1.0865907,0.548889716,0.837774576
0.066666667,12,2,0.364259823,2.046341772,1.21038162,0.595263547,0.742420625
0.083333333,12,2,0.398591456,1.750655417,1.122449599,0.673782285,0.757414441
0.1,12,2,0.409157948,1.88342847,1.137651878,0.672557167,0.759257119
0.116666667,12,2,0.427706233,2.030723427,1.209707934,0.804459093,1
0.133333333,12,2,0.463468781,2.120944271,1.218609101,1,0.81540433
0.15,12,2,0.478299457,1.929764595,1.234892431,0.860826698,0.735893542
0.166666667,12,2,0.501901188,1.944470342,1.137606479,0.832000161,0.694894683
0.2,12,2,0.566942434,1.948567163,1.14372024,0.788481831,0.655380482
0.233333333,12,2,0.62745738,1.809010143,1.055250409,0.800385832,0.553498527
0.266666667,12,2,0.648179694,1.715202712,0.961755134,0.563022451,0.664650193
0.3,12,2,0.685366922,0.285745611,0.162341872,0.447987342,0.397912275
