z/z2,RMS_udefect,Horizontal Distance ( Multiple of D),Run
0.639410719,0.984512099,10,1
0.767292863,0.992154099,10,1
0.895175007,0.850161314,10,1
1.023057151,0.733633936,10,1
1.150939294,0.606168716,10,1
1.278821438,0.41925064,10,1
1.406703582,0.324896649,10,1
1.66246787,0.151109251,10,1
1.918232157,0.10304946,10,1
2.173996445,0.073481541,10,1
2.429760733,0.053454583,10,1
2.68552502,0.016151546,10,1
2.941289308,-0.080425924,10,1
3.133112523,-0.08773078,10,1
0.036059859,0.596105768,12,1
0.060099766,0.644642652,12,1
0.084139672,0.625116767,12,1
0.108179578,0.655408552,12,1
0.144239437,0.670159649,12,1
0.180299297,0.689699618,12,1
0.240399062,0.776861401,12,1
0.300498828,0.823581024,12,1
0.360598594,0.873917978,12,1
0.420698359,0.898133801,12,1
0.480798125,0.92879616,12,1
0.54089789,0.972803332,12,1
0.600997656,1,12,1
0.721197187,0.956520796,12,1
0.841396719,0.8531218,12,1
0.96159625,0.668045035,12,1
1.081795781,0.556090445,12,1
1.201995312,0.397284635,12,1
1.322194843,0.26965198,12,1
1.562593906,0.095555133,12,1
1.802992968,0.013781522,12,1
2.043392031,-0.047317448,12,1
2.283791093,-0.065388983,12,1
2.524190156,-0.096341482,12,1
2.764589218,-0.113965163,12,1
2.944888515,-0.128899556,12,1
0.048049972,0.322076432,2,2
0.080083287,0.268390069,2,2
0.112116601,0.297788386,2,2
0.144149916,0.287803699,2,2
0.192199888,0.315049562,2,2
0.24024986,0.348138566,2,2
0.320333146,0.386439671,2,2
0.400416433,0.368180819,2,2
0.48049972,0.549212434,2,2
0.560583006,0.661272153,2,2
0.640666293,0.754850328,2,2
0.72074958,0.913244097,2,2
0.800832866,0.999996943,2,2
0.960999439,0.916586303,2,2
1.121166013,0.43012102,2,2
1.281332586,0.149735958,2,2
1.441499159,0.050297254,2,2
1.601665732,-0.014483148,2,2
1.761832306,-0.0016687,2,2
2.082165452,-0.027436053,2,2
2.402498599,-0.041382908,2,2
2.722831745,-0.039383074,2,2
3.043164891,-0.032320784,2,2
3.363498038,-0.001903249,2,2
3.683831184,-0.024841969,2,2
3.924081044,-0.034531186,2,2
0.047722067,0.467029551,3,2
0.079536778,0.524451388,3,2
0.111351489,0.565368036,3,2
0.1431662,0.604698806,3,2
0.190888267,0.640637366,3,2
0.238610333,0.741459422,3,2
0.318147111,0.817803469,3,2
0.397683889,0.651674318,3,2
0.477220667,0.861745571,3,2
0.556757445,0.847384589,3,2
0.636294222,0.842036077,3,2
0.715831,1.000006023,3,2
0.795367778,0.881006272,3,2
0.954441334,0.873616126,3,2
1.113514889,0.519331807,3,2
1.272588445,0.318493489,3,2
1.431662001,0.097107121,3,2
1.590735556,0.065112948,3,2
1.749809112,-0.010205266,3,2
2.067956223,-0.102736256,3,2
