S,b1
0.001520087,0.749501661
0.001824104,0.579401993
0.002660152,0.609966777
0.002660152,0.430564784
0.009652552,0.438538206
0.009652552,0.380066445
0.014592834,0.252491694
0.01451683,0.220598007
0.015124864,0.128903654
0.015124864,0.229900332
0.027665581,0.110299003
0.032529859,0.200664452
0.035114007,0.199335548
0.044918567,0.139534884
0.05723127,0.421262458
