z/h (z-axis),tke_tke_uwmax (x-axis)
0.01,0.68178355
0.0166667,0.740384666
0.0233333,0.725770447
0.03,0.784710223
0.04,0.819358043
0.05,1
0.0666667,0.861764834
0.0833333,0.849012102
0.1,0.862830067
0.1166667,0.843585008
0.1333333,0.870941532
0.15,0.84750334
0.1666667,0.745718681
0.2,0.592872189
0.2333333,0.465061651
0.2666667,0.553196703
0.3,0.23696691
0.3333333,0.181109018
0.3666667,0.154052773
0.4333333,0.10913981
0.5,0.085623317
0.5666667,0.069395879
0.6333333,0.119322692
0.7,0.050380299
0.7666667,0.039919286
0.8166667,0.031776112
0.01,0.777866633
0.0166667,0.810898545
0.0233333,0.805513578
0.03,0.86497294
0.04,0.846343381
0.05,0.860335731
0.0666667,0.898115206
0.0833333,0.988767618
0.1,0.949876056
0.1166667,1
0.1333333,0.968975612
0.15,0.870007136
0.1666667,0.824951976
0.2,0.810710913
0.2333333,0.633333346
0.2666667,0.648725289
0.3,0.384203288
0.3333333,0.329244055
0.3666667,0.263918999
0.4333333,0.184687159
0.5,0.143623461
0.5666667,0.117468632
0.6333333,0.212590372
0.7,0.084376864
0.7666667,0.074372997
0.8166667,0.0631621
0.01,0.639703454
0.0166667,0.603096859
0.0233333,0.646450772
0.03,0.657970292
0.04,0.686823437
0.05,0.837774576
0.0666667,0.742420625
0.0833333,0.757414441
0.1,0.759257119
0.1166667,1
0.1333333,0.81540433
0.15,0.735893542
0.1666667,0.694894683
0.2,0.655380482
0.2333333,0.553498527
0.2666667,0.664650193
0.3,0.397912275
0.3333333,0.284751597
0.3666667,0.247220241
0.4333333,0.15971877
0.5,0.110218975
0.5666667,0.0925177
0.6333333,0.076029283
0.7,0.06672703
0.7666667,0.045789884
0.8166667,0.04023586
0.01,0.234463942
0.0166667,0.309543202
0.0233333,0.262250868
0.03,0.232226444
0.04,0.286901573
0.05,0.311361774
0.0666667,0.337745157
0.0833333,0.29411195
0.1,0.326573676
0.1166667,0.354926395
0.1333333,0.360782578
0.15,0.469301994
0.1666667,0.584263383
0.2,0.585474433
0.2333333,0.707636068
0.2666667,0.890181771
0.3,1
0.3333333,0.82156128
0.3666667,0.522298551
0.4333333,0.240395182
0.5,0.12757093
0.5666667,0.084064768
0.6333333,0.072813293
0.7,0.083076936
0.7666667,0.029332475
0.8166667,0.027061511
0.01,0.360867492
0.0166667,0.355124429
0.0233333,0.370415094
0.03,0.399511112
0.04,0.407528684
0.05,0.533978041
0.0666667,0.567977153
0.0833333,0.522107152
0.1,0.585255048
0.1166667,0.644706416
0.1333333,0.632548154
0.15,0.69849876
0.1666667,0.726144484
0.2,0.788560787
0.2333333,0.903679476
0.2666667,1
0.3,0.93699649
0.3333333,0.755743439
0.3666667,0.510088498
0.4333333,0.241541006
0.5,0.129958102
0.5666667,0.075990224
0.6333333,0.077534016
0.7,0.045542973
0.7666667,0.03811957
0.8166667,0.03725455
0.01,0.455092637
0.0166667,0.476170339
0.0233333,0.467050831
0.03,0.44574248
0.04,0.469915831
0.05,0.618661674
0.0666667,0.744732785
0.0833333,0.72287751
0.1,0.706690207
0.1166667,0.765866916
0.1333333,0.872786082
0.15,0.919752865
0.1666667,0.88636461
0.2,0.992050025
0.2333333,1
0.2666667,0.965332284
0.3,0.931385269
0.3333333,0.820609787
0.3666667,0.564532155
0.4333333,0.320801497
0.5,0.171444587
0.5666667,0.091169764
0.6333333,0.06513395
0.7,0.052714461
0.7666667,0.043569107
0.8166667,0.039545143
0.01,0.502888202
0.0166667,0.557281648
0.0233333,0.582114922
0.03,0.523376404
0.04,0.511339998
0.05,0.62101927
0.0666667,0.688985179
0.0833333,0.612925618
0.1,0.618626272
0.1166667,0.6891416
0.1333333,0.798221439
0.15,0.853038889
0.1666667,0.946752975
0.2,0.999223821
0.2333333,1
0.2666667,0.982479053
0.3,0.877193239
0.3333333,0.80447084
0.3666667,0.738067518
0.4333333,0.383381428
0.5,0.236837132
0.5666667,0.105925149
0.6333333,0.084434616
0.7,0.052524083
0.7666667,0.038936004
0.8166667,0.034822746
0.01,0.565432159
0.0166667,0.614637945
0.0233333,0.619893692
0.03,0.626825177
0.04,0.649416263
0.05,0.673481963
0.0666667,0.676066708
0.0833333,0.739889167
0.1,0.835155193
0.1166667,0.816698283
0.1333333,0.851585742
0.15,0.801908721
0.1666667,0.874126558
0.2,0.945298284
0.2333333,0.960575971
0.2666667,1
0.3,0.896483902
0.3333333,0.79406945
0.3666667,0.661715354
0.4333333,0.447434095
0.5,0.237693705
0.5666667,0.12891751
0.6333333,0.084496263
0.7,0.075729367
0.7666667,0.050470631
0.8166667,0.042033154
0.01,0.576317091
0.0166667,0.677562214
0.0233333,0.677354568
0.03,0.704666055
0.04,0.782386129
0.05,0.833872581
0.0666667,0.699725541
0.0833333,0.779594927
0.1,0.874921499
0.1166667,0.918471033
0.1333333,0.947210501
0.15,0.953654409
0.1666667,1
0.2,0.976329001
0.2333333,0.945344688
0.2666667,0.989566429
0.3,0.965583341
0.3333333,0.97741619
0.3666667,0.860223077
0.4333333,0.699203231
0.5,0.496019691
0.5666667,0.264899769
0.6333333,0.212492205
0.7,0.175487458
0.7666667,0.110991478
0.8166667,0.097296928
0.01,0.608379673
0.0166667,0.641156359
0.0233333,0.620752478
0.03,0.711475821
0.04,0.680815367
0.05,0.729517461
0.0666667,0.776174298
0.0833333,0.812747774
0.1,0.891755449
0.1166667,0.817927857
0.1333333,0.906485757
0.15,0.88234231
0.1666667,0.925717871
0.2,0.941958118
0.2333333,0.924594203
0.2666667,1
0.3,0.950912562
0.3333333,0.891355462
0.3666667,0.92289254
0.4333333,0.615802534
0.5,0.457025043
0.5666667,0.285470073
0.6333333,0.243473058
0.7,0.128182559
0.7666667,0.087217073
0.8166667,0.065572712
0.01,0.283656346
0.0166667,0.27876611
0.0233333,0.262483188
0.03,0.276497725
0.04,0.299796945
0.05,0.307843934
0.0666667,0.337668611
0.0833333,0.306560262
0.1,0.342632377
0.1166667,0.370368275
0.1333333,0.35588768
0.15,0.374614271
0.1666667,0.505868679
0.2,0.485370819
0.2333333,0.668579935
0.2666667,0.609920534
0.3,1
0.3333333,0.780553743
0.3666667,0.470230563
0.4333333,0.192103603
0.5,0.115832889
0.5666667,0.081581157
0.6333333,0.077138169
0.7,0.064216269
0.7666667,0.063937461
0.8166667,0.052485939
0.01,0.387413259
0.0166667,0.391825722
0.0233333,0.422139863
0.03,0.402758583
0.04,0.483489249
0.05,0.443088341
0.0666667,0.453858148
0.0833333,0.572839142
0.1,0.613225592
0.1166667,0.613972066
0.1333333,0.67994429
0.15,0.735135705
0.1666667,0.759519599
0.2,0.851602109
0.2333333,0.969139232
0.2666667,1
0.3,0.970986061
0.3333333,0.716394857
0.3666667,0.553933637
0.4333333,0.250250906
0.5,0.142780485
0.5666667,0.067600107
0.6333333,0.044484497
0.7,0.035516874
0.7666667,0.044902712
0.8166667,0.025103192
0.01,0.436541229
0.0166667,0.440613946
0.0233333,0.457668737
0.03,0.467467212
0.04,0.505831633
0.05,0.495597952
0.0666667,0.54421725
0.0833333,0.64130181
0.1,0.632392763
0.1166667,0.729123531
0.1333333,7.48E-01
0.15,0.760247085
0.1666667,0.827423614
0.2,0.89315583
0.2333333,1
0.2666667,0.915038587
0.3,0.852202024
0.3333333,0.662446888
0.3666667,0.427433794
0.4333333,0.186039654
0.5,0.096700272
0.5666667,0.066019041
0.6333333,0.051754774
0.7,0.035826409
0.7666667,0.030827542
0.8166667,0.025620012
0.01,0.446042809
0.0166667,0.470673194
0.0233333,0.394128446
0.03,0.537064864
0.04,0.592256799
0.05,0.568347204
0.0666667,0.504786216
0.0833333,0.572595288
0.1,0.777910269
0.1166667,0.777459266
0.1333333,0.775440991
0.15,0.768340092
0.1666667,0.907977287
0.2,1
