z/h (z-axis),rms_u/k^0.5 (x-axis)
0.5666667,1.709785638
0.7,1.255052445
0.7666667,1.212495716
0.8166667,1.150845091
0.01,2.107431114
0.0166667,2.23807705
0.0233333,2.164885295
0.03,2.233472892
0.04,2.010719954
0.05,1.833157328
0.0666667,2.229928801
0.0833333,2.337659176
0.1,2.841481783
0.1166667,2.598285229
0.1333333,2.813795472
0.15,2.620209534
0.1666667,2.852797554
0.2,3.282444161
0.2333333,3.145120881
0.2666667,3.181172217
0.3,3.209075899
0.3333333,3.522436201
0.3666667,2.860276486
0.4333333,2.434782488
0.5,2.41118646
0.5666667,1.764811326
0.7,1.327831285
0.7666667,1.324577626
0.8166667,1.24678037
0.01,1.927419916
0.0166667,2.13312548
0.0233333,2.036706046
0.03,2.086409534
0.04,2.122533897
0.05,1.774584944
0.0666667,1.986626379
0.0833333,2.164136955
0.1,2.403858848
0.1166667,2.542947324
0.1333333,2.575735944
0.15,2.459134417
0.1666667,2.714072724
0.2,2.846642223
0.2333333,2.668960847
0.2666667,2.723454136
0.3,2.835888302
0.3333333,3.385699164
0.3666667,2.795834977
0.4333333,2.649337893
0.5,3.071407174
0.5666667,2.265535028
0.7,1.823137768
0.7666667,1.676533283
0.8166667,1.563717552
0.01,1.869631348
0.0166667,1.955911461
0.0233333,1.828195855
0.03,2.176051609
0.04,1.811881626
0.05,1.709055495
0.0666667,2.052205871
0.0833333,2.170803856
0.1,2.428220483
0.1166667,2.300640867
0.1333333,2.433312924
0.15,2.259989747
0.1666667,2.407452402
0.2,2.69779946
0.2333333,2.441795244
0.2666667,2.659642337
0.3,2.659999201
0.3333333,3.104484546
0.3666667,2.767594789
0.4333333,2.39715313
0.5,2.775812309
0.5666667,2.236566407
0.7,1.525131407
0.7666667,1.409749329
0.8166667,1.292507892
0.01,1.745893974
0.0166667,1.758870933
0.0233333,1.697799876
0.03,1.626370649
0.04,1.654453723
0.05,1.46089664
0.0666667,1.672620165
0.0833333,1.672894848
0.1,1.86626158
0.1166667,1.904562387
0.1333333,1.8122562
0.15,1.893750661
0.1666667,2.117882589
0.2,2.251859928
0.2333333,2.779170927
0.2666667,3.54265214
0.3,3.661689614
0.3333333,3.365813992
0.3666667,2.61475799
0.4333333,1.688752444
0.5,1.434666798
0.5666667,1.320584645
0.6333333,1.523619341
0.7,1.515325798
0.7666667,1.509959357
0.8166667,1.49763697
0.01,1.919924574
0.0166667,1.946150339
0.0233333,1.964132026
0.03,1.884412177
0.04,2.00217711
0.05,1.699638801
0.0666667,2.013480966
0.0833333,2.278166306
0.1,2.431765628
0.1166667,2.526052005
0.1333333,2.583253088
0.15,2.681912323
0.1666667,2.737336115
0.2,3.066040644
0.2333333,3.267426897
0.2666667,3.500806981
0.3,3.443833666
0.3333333,3.069938743
0.3666667,2.868066162
0.4333333,2.036082552
0.5,1.591472474
0.5666667,1.165940603
0.6333333,1.030396315
0.7,0.980362567
0.7666667,0.91513641
0.8166667,0.900283512
0.01,2.143390931
0.0166667,2.112279577
0.0233333,2.170854743
0.03,2.108608723
0.04,2.160039208
0.05,1.868367022
0.0666667,2.322132927
0.0833333,2.537177943
0.1,2.546542176
0.1166667,2.757553668
0.1333333,2.965015437
0.15,2.888715003
0.1666667,3.055625596
0.2,3.419163372
0.2333333,3.697797448
0.2666667,3.556470645
0.3,3.455987842
0.3333333,3.23682061
0.3666667,2.732116919
0.4333333,1.881275348
0.5,1.401491798
0.5666667,1.26138996
0.6333333,1.234478706
0.7,1.102327047
0.7666667,1.133808175
0.8166667,0.995646673
0.01,1.780250731
0.0166667,1.952796948
0.0233333,1.692487646
0.03,2.017369425
0.04,2.014059297
0.05,1.733204588
0.0666667,1.98E+00
0.0833333,2.109622065
0.1,2.597868869
0.1166667,2.589770954
0.1333333,2.65473353
0.15,2.82747305
0.1666667,2.991989268
0.2,3.291674542
0.2333333,3.465326591
0.2666667,3.497360783
0.3,3.419615082
0.3333333,3.308672604
0.3666667,3.388448282
0.4333333,2.551643658
0.5,1.949777758
0.5666667,1.660430162
0.6333333,1.681192095
0.7,1.63311711
0.7666667,1.537082532
0.8166667,1.417214167
0.01,2.078577841
0.0166667,2.005422268
0.0233333,1.955071703
0.03,2.017303336
0.04,2.007644478
0.05,1.963037054
0.0666667,2.330770132
0.0833333,2.41313045
0.1,2.539327805
0.1166667,2.602754505
0.1333333,2.839937334
0.15,2.969971834
0.1666667,2.871977977
0.2,3.230403308
0.2333333,3.333167153
0.2666667,3.663730863
0.3,3.313272735
0.3333333,3.179897497
0.3666667,3.262540062
0.4333333,2.781345327
0.5,2.130494311
0.5666667,1.748333219
0.6333333,1.927377091
0.7,1.576509034
0.7666667,1.414700925
0.8166667,1.355644069
0.01,2.061202948
0.0166667,2.051150163
0.0233333,2.251433793
0.03,2.093133533
0.04,1.930264695
0.05,1.780977756
0.0666667,2.070297748
0.0833333,2.143979766
0.1,2.380354348
0.1166667,2.4258071
0.1333333,2.371165391
0.15,2.532750579
0.1666667,2.6727738
0.2,2.850231576
0.2333333,2.993392558
0.2666667,3.159365604
0.3,3.206464021
0.3333333,3.160018274
0.3666667,3.310807039
0.4333333,2.836735772
0.5,2.400988443
0.5666667,2.135378652
0.6333333,2.000269559
0.7,1.858818088
0.7666667,1.622201847
0.8166667,1.537383404
0.01,1.98355098
0.0166667,1.922546949
0.0233333,1.97806955
0.03,1.900783264
0.04,1.948904726
0.05,1.618922979
0.0666667,1.984917658
0.0833333,2.132862389
0.1,2.220439403
0.1166667,2.27094759
0.1333333,2.276865495
0.15,2.338224627
0.1666667,2.434560067
0.2,2.572031987
0.2333333,2.775297446
0.2666667,2.908890087
0.3,2.892431817
0.3333333,3.193310412
0.3666667,3.157652105
0.4333333,3.137608097
0.5,2.722823249
0.5666667,2.353081418
0.6333333,1.820139278
0.7,1.739129549
0.7666667,1.361884321
0.8166667,1.369802085
