z* (z-axis),Avg_u-umin/umax_umin (x-axis)
0.393071261,-0.025151704
0.449224299,0.00E+00
0.505377336,0.053079074
0.561530374,0.122570053
0.673836448,0.166814255
0.786142523,0.301706295
0.898448598,0.376694521
1.010754672,0.51305851
1.123060747,0.61205765
1.235366822,0.742983535
1.459978971,0.872922217
1.684591121,0.916431079
1.90920327,0.933799484
2.133815419,0.960757718
2.358427569,0.978957232
2.583039718,0.984543391
2.75149883,1
0.033692558,-0.06495172
0.056154263,-0.060739272
0.078615969,-0.075853338
0.101077674,-0.036747018
0.134770232,-0.015403022
0.16846279,-0.012278088
0.224617053,-0.019402444
0.280771317,0
0.33692558,0.083721169
0.393079844,0.121160462
0.449234107,0.124548254
0.50538837,0.050193412
0.561542634,0.179728604
0.67385116,0.245356875
0.786159687,0.336068182
0.898468214,0.390925946
1.01077674,0.511577288
1.123085267,0.565858301
1.235393794,0.627815636
1.460010847,0.76623778
1.684627901,0.847817759
1.909244954,0.893824955
2.133862008,0.92502308
2.358479061,0.961630977
2.583096115,0.982181124
2.751558905,1
0.034229706,0
0.05704951,0.024422767
0.079869313,0.001084542
0.102689117,0.050768718
0.136918823,0.047212427
0.171148529,0.064957844
0.228198038,0.09244537
0.285247548,0.117905777
0.342297058,0.131443782
0.399346567,0.168407202
0.456396077,0.20577403
0.513445586,0.244035505
0.570495096,0.265706205
0.684594115,0.297724824
0.798693135,0.397434818
0.912792154,0.418912129
1.026891173,0.525004034
1.140990192,0.592182636
1.255089211,0.656567235
1.48328725,0.775966818
1.711485288,0.85562634
1.939683327,0.912463888
2.167881365,0.967198508
2.396079404,0.984387119
2.624277442,0.989024085
2.795425971,1
0.030881011,0.006108571
0.051468352,0.021651954
0.072055693,0
0.092643034,0.027374975
0.123524045,0.046817162
0.154405056,0.054334183
0.205873408,0.066230755
0.25734176,0.085050652
0.308810112,0.111840557
0.360278465,0.126273138
0.411746817,0.156674877
0.463215169,0.177129002
0.514683521,0.194289176
0.617620225,0.220567459
0.720556929,0.30366478
0.823493633,0.384053714
0.926430337,0.445302198
1.029367042,0.519446665
1.132303746,0.581581159
1.338177154,0.694649865
1.544050562,0.794239468
1.749923971,0.870776743
1.955797379,0.905733999
2.161670787,0.950443238
2.367544196,0.981612511
2.521949252,1
0.027842827,0.023543218
0.046404711,0.006768911
0.064966596,0.022812169
0.08352848,0.000825209
0.111371307,0.019928945
0.139214134,0
0.185618845,0.023821445
0.232023556,0.052858778
0.278428267,0.086843369
0.324832978,0.089443682
0.37123769,0.112236287
0.417642401,0.135239916
0.464047112,0.157615318
0.556856534,0.208354393
0.649665957,0.250275361
0.742475379,0.262791001
0.835284802,0.409712478
0.928094224,0.447008373
1.020903646,0.515405136
1.206522491,0.618537595
1.392141336,0.751603267
1.577760181,0.823276826
1.763379026,0.908174476
1.94899787,0.969630151
2.134616715,0.994162605
2.273830849,1
