z/z2 (z-axis),tke_defect (x-axis)
0.989105707,1
1.130406522,0.956952134
1.271707338,0.929743267
1.413008153,0.834992239
1.554308968,0.529649028
1.836910599,0.268954427
2.11951223,0.144833536
2.40211386,0.05760637
2.967317121,0.017743205
3.249918752,0.015197751
3.461869975,0.012536208
0.047293995,0.451618391
0.078823325,0.508788828
0.110352656,0.53091238
0.141881986,0.473961796
0.189175981,0.446341929
0.236469976,0.524750412
0.315293302,0.644004381
0.394116627,0.567754601
0.472939952,0.580063848
0.551763278,0.655493485
0.630586603,0.775345887
0.709409929,0.828396017
0.788233254,0.939516278
0.945879905,1
1.103526556,0.996202429
1.261173206,0.972981282
1.418819857,0.867969688
1.576466508,0.812412668
1.734113159,0.640655656
2.04940646,0.342647273
2.364699762,0.218531085
2.679993064,0.077964667
3.310579667,0.022322447
3.625872968,0.014077478
3.862342945,0.011140671
0.042302377,0.5147397
0.070503962,0.567305286
0.098705547,0.567445147
0.126907132,0.582912474
0.16920951,0.590122014
0.211511887,0.5682419
0.282015849,0.62686647
0.352519812,0.704498462
0.423023774,0.817315911
0.493527736,0.796114456
0.564031699,0.83731421
0.634535661,0.774982749
0.705039623,0.866988836
0.846047548,0.950385536
0.987055473,0.961649895
1.128063397,1
1.269071322,0.895966538
1.410079246,0.810541298
1.551087171,0.638627176
1.83310302,0.408517783
2.11511887,0.217887643
2.397134719,0.098437794
2.961166418,0.042024348
3.243182267,0.021886294
3.454694154,0.01437973
0.038364643,0.495630125
0.063941072,0.606060575
0.089517501,0.598286417
0.115093929,0.639113978
0.153458573,0.702133895
0.191823216,0.695050376
0.255764288,0.619649748
0.31970536,0.718089554
0.383646431,0.834318004
0.447587503,0.881818001
0.511528575,0.917349586
0.575469647,0.914690191
0.639410719,0.98252391
0.767292863,0.962382718
0.895175007,0.920351805
1.023057151,0.962684204
1.150939294,0.949812421
1.278821438,1
1.406703582,0.835337707
1.66246787,0.66489276
1.918232157,0.493264311
2.173996445,0.23668223
2.68552502,0.140183377
2.941289308,0.078636579
3.133112523,0.065792555
0.036059859,0.540857807
0.060099766,0.576008605
0.084139672,0.544150625
0.108179578,0.66032416
0.144239437,0.59892224
0.180299297,0.584214469
0.240399062,0.719677773
0.300498828,0.772240075
0.360598594,0.87441129
0.420698359,0.788002948
0.480798125,0.894098371
0.54089789,0.855390698
0.600997656,0.923255762
0.721197187,0.948884314
0.841396719,0.920599348
0.96159625,1
1.081795781,0.958575259
1.201995312,0.930503828
1.322194843,0.929515219
1.562593906,0.584911221
1.802992968,0.461976432
2.043392031,0.265094088
2.524190156,0.086984563
2.764589218,0.051081185
2.944888515,0.028755806
0.044562618,0.190731359
0.07427103,0.185806611
0.103979442,0.168686541
0.133687854,0.176067607
0.178250472,0.19486217
0.22281309,0.163252812
0.297084119,0.242612912
0.371355149,0.209181537
0.445626179,0.256847285
0.519897209,0.285753309
0.594168239,0.275523139
0.668439269,0.294028258
0.742710298,0.439963639
0.891252358,0.526189261
1.039794418,0.633209037
1.188336477,0.747721293
1.336878537,1
1.485420597,0.766659545
1.633962657,0.441141773
1.931046776,0.150474801
2.228130895,0.072837111
2.525215015,0.043062538
2.822299134,0.043149839
3.119383253,0.033706021
3.416467373,0.039739553
3.639280462,0.027840703
0.043007053,0.30407306
0.071678422,0.309212048
0.100349791,0.342519026
0.129021159,0.313803045
0.172028213,0.394844221
0.215035266,0.311011255
0.286713688,0.369521359
0.35839211,0.498550902
0.430070532,0.550887246
0.501748953,0.550613663
0.573427375,0.62744162
0.645105797,0.68546126
0.716784219,0.715835989
0.860141063,0.825285104
1.003497907,0.959985959
1.146854751,1
1.290211595,0.970330827
1.433568439,0.698632048
1.576925282,0.532747018
1.86363897,0.213994195
2.150352658,0.102450872
2.437066346,0.028278394
2.723780033,0.008116202
3.010493721,0.002912114
3.297207409,0.019374557
3.512242674,-0.001580237
0.042390245,0.406386803
0.070650408,0.411517037
0.098910571,0.432042716
0.127170734,0.436377096
0.169560978,0.475604844
0.211951223,0.426234665
0.282601631,0.527077315
0.353252038,0.641539638
0.423902446,0.639069514
0.494552854,0.75191438
0.565203261,0.778644847
0.635853669,0.791957219
0.706504077,0.874723959
0.847804892,0.961169012
0.989105707,0.986268498
1.130406522,1
1.271707338,0.927665446
1.413008153,0.707999795
1.554308968,0.440711408
1.836910599,0.165943655
2.11951223,0.06527452
2.40211386,0.035889973
2.684715491,0.023630519
2.967317121,0.009077268
3.249918752,0.009059342
3.461869975,0.00337906
0.047293995,0.375910219
0.078823325,0.403136703
0.110352656,0.320070277
0.141881986,0.468627934
0.189175981,0.522742169
0.236469976,0.458131611
0.315293302,0.433779497
0.394116627,0.507979433
0.472939952,0.740311143
0.551763278,0.738779607
0.630586603,0.741764772
0.709409929,0.732347318
0.788233254,0.888551299
0.945879905,0.998343883
1.103526556,1
1.261173206,9.21E-01
1.418819857,0.859221901
1.576466508,0.782865049
1.734113159,0.683186931
2.04940646,0.340570174
2.364699762,0.15046505
2.679993064,0.081974365
2.995286365,0.065417367
3.310579667,0.040613869
3.625872968,0.033043787
3.862342945,0.025535968
0.042302377,0.45578286
0.070503962,0.461555125
0.098705547,0.413420123
0.126907132,0.524468318
0.16920951,0.522246092
0.211511887,0.556883248
0.282015849,0.680590169
0.352519812,0.738330664
0.423023774,0.753021901
0.493527736,0.736138382
0.564031699,0.922609161
0.634535661,0.913550149
0.705039623,0.890707189
0.846047548,0.940050539
0.987055473,0.915967804
1.128063397,1
1.269071322,0.833284847
1.410079246,0.714611728
1.551087171,0.640213321
1.83310302,0.371006842
2.11511887,0.171929887
2.397134719,0.090497822
2.679150568,0.09220768
2.961166418,0.054347363
3.243182267,0.029767226
3.454694154,0.02511687
0.038364643,0.478759987
0.063941072,0.476378777
0.089517501,0.55031302
0.115093929,0.518692482
0.153458573,0.480644771
0.191823216,0.494844923
0.255764288,0.536080048
0.31970536,0.569691633
0.383646431,0.600663999
0.447587503,0.662970606
0.511528575,0.640987769
0.575469647,0.724325657
0.639410719,0.776948169
0.767292863,0.793418474
0.895175007,0.822371058
1.023057151,1
1.150939294,0.763433181
1.278821438,0.68796738
1.406703582,0.678517706
1.66246787,0.435649878
1.918232157,0.277502189
2.173996445,0.16758095
2.429760733,0.128977057
2.68552502,0.086866546
2.941289308,0.050957148
3.133112523,0.042967052
0.036059859,0.577324649
0.060099766,0.583750158
0.084139672,0.624413092
0.108179578,0.589644611
0.144239437,0.634566522
0.180299297,0.526285154
0.240399062,0.642101694
0.300498828,0.751589819
0.360598594,0.771059369
0.420698359,0.828518641
0.480798125,0.881445066
0.54089789,0.85455456
0.600997656,0.906944965
0.721197187,0.883458506
0.841396719,0.9968472
0.96159625,0.967829046
1.081795781,0.977804845
1.201995312,1
1.322194843,0.878702591
1.562593906,0.749349486
1.802992968,0.491651977
2.043392031,0.285686498
2.283791093,0.151235298
2.524190156,0.091743656
2.764589218,0.038432225
2.944888515,0.033379704
