z/D (z-axis),rss_uw/U_R2(x-axis),Avg_u/U_R(x-axis),rms_u/U_R(x-axis),rms_w/U_R(x-axis),tke/U_R2(x-axis)
0.9,0.03126057,0.813439454,0.350919486,0.204087159,0.129289043
1,0.031965972,0.841491002,0.334452735,0.209115578,0.116158752
1.2,0.025087066,0.903318529,0.314965854,0.183181987,0.098934821
1.4,0.020902372,0.950844151,0.282138971,0.166704053,0.08155386
1.6,0.012424736,1.004183996,0.237320831,0.135495932,0.058698077
1.8,0.01044364,1.010400077,0.20780548,0.125406581,0.04442904
2,0.007354593,1.046785018,0.18752151,0.108969936,0.034853446
2.2,0.004097444,1.065002641,0.147302847,0.08914506,0.022561003
2.6,0.00189997,1.074750641,0.110650212,0.065948901,0.01162415
3,0.001299335,1.077620508,0.090669329,0.052582879,0.007664191
3.4,0.00048902,1.062722396,0.070601361,0.042288191,0.004775082
3.8,0.000347904,1.043941592,0.065418702,0.034524738,0.004760901
4.2,0.000158967,1.055221541,0.05584375,0.028674433,0.002991787
4.6,7.10E-05,1.054018613,0.051155275,0.024847869,0.002288433
4.9,7.66E-05,1.045181778,0.048604503,0.022264898,0.002049018
0.06,-0.000348474,-0.31371853,0.352280824,0.117453286,0.105712207
0.1,0.000165969,-0.290510423,0.316900386,0.116886353,0.090858702
0.14,0.000399593,-0.283939611,0.31831643,0.129343819,0.091822317
0.18,0.005635908,-0.214681197,0.311095675,0.135249825,0.090913354
0.24,0.0003705,-0.248417251,0.291593972,0.122465305,0.083713022
0.3,0.006391888,-0.119677226,0.300175516,0.132800471,0.086966545
0.4,0.010229232,-0.060937875,0.299256166,0.14660345,0.090379284
0.5,0.011545244,-0.006030117,0.303731474,0.156363232,0.09367334
0.6,0.007426416,0.02597607,0.297117467,0.147530948,0.093200946
0.7,0.02015966,0.234605141,0.348145589,0.179533495,0.133017898
0.8,0.022338088,0.270489469,0.365257493,0.188820387,0.144754485
0.9,0.032585588,0.466996589,0.382992395,0.199545693,0.155814162
1,0.033044546,0.606123499,0.395761917,0.19030628,0.163155638
1.2,0.026852256,0.9860567,0.359313531,0.165201766,0.13010727
1.4,0.007609679,1.234091796,0.217556329,0.124710205,0.058477771
1.6,0.003869982,1.259538523,0.161413535,0.100063076,0.031546396
1.8,0.003182772,1.23847791,0.146831984,0.085927489,0.024131198
2,0.002496074,1.204202589,0.121706447,0.071795147,0.016660232
2.2,0.003241804,1.236187621,0.119652734,0.07234941,0.015591688
2.6,0.001914776,1.206669827,0.093597951,0.05852213,0.009808272
3,0.001828302,1.172511182,0.087469638,0.053355769,0.008003171
3.4,-0.001004157,1.224481528,0.103839324,0.055104758,0.008879148
3.8,0.000871359,1.149252035,0.066513877,0.038658816,0.006266935
4.2,0.000515446,1.120666316,0.057628038,0.031307117,0.003390211
4.6,0.000366669,1.111803817,0.049792135,0.026945136,0.002582761
4.9,0.000227102,1.117825959,0.046243524,0.024900942,0.00234688
0.06,0.011600291,-0.347994177,0.389914832,0.175024644,0.149633777
0.1,0.018509563,-0.310010943,0.389261393,0.199223372,0.156184446
0.14,0.016625328,-0.21377391,0.389340208,0.174247162,0.159997014
0.18,0.017679843,-0.194612261,0.394894959,0.197655293,0.153074515
0.24,0.02268617,-0.1684647,0.393059822,0.199691653,0.151173799
0.3,0.024825531,-0.090598239,0.398691366,0.202692311,0.155004729
0.4,0.02682564,0.011324767,0.404508593,0.19399315,0.15465272
0.5,0.026036658,0.100211421,0.367616939,0.198216567,0.146739237
0.6,0.03551158,0.179499238,0.403217153,0.208899227,0.157883726
0.7,0.031656203,0.335816583,0.381056056,0.208160107,0.150570284
0.8,0.029633744,0.509095057,0.372645227,0.209276211,0.150034087
0.9,0.032783544,0.583290297,0.387397357,0.216143561,0.164729896
1,0.029475677,0.718539595,0.354138432,0.197269655,0.143452627
1.2,0.024815245,0.974071587,0.336129198,0.177225668,0.119173506
1.4,0.010934629,1.186284364,0.257884646,0.13622993,0.072056599
1.6,0.005825382,1.238562227,0.203671688,0.110210225,0.044192055
1.8,0.00321364,1.242825083,0.155077771,0.090765757,0.026287486
2,0.002661862,1.219278472,0.136401266,0.075970895,0.020072901
2.2,0.002526794,1.242274384,0.118122585,0.070806155,0.021548335
2.6,0.00210326,1.207995951,0.099457183,0.057912165,0.014218883
3,0.001514116,1.186477381,0.084046123,0.050243906,0.007640045
3.4,0.001013868,1.16822087,0.072426715,0.043221403,0.005549851
3.8,0.001165704,1.210807994,0.074926242,0.038332035,0.007272295
4.2,0.000561803,1.130753538,0.059118637,0.032245462,0.00368276
4.6,0.00037339,1.123099332,0.049040808,0.026822173,0.002512201
4.9,0.000208456,1.124171565,0.04397057,0.023639645,0.002080751
0.06,0.024539637,-0.331881143,0.467659622,0.207252356,0.216282011
0.1,0.022844129,-0.226970503,0.468727647,0.218339574,0.23167013
0.14,0.03250113,-0.251970489,0.428320505,0.228080659,0.210109183
0.18,0.031259113,-0.223204541,0.424397423,0.224791278,0.187439622
0.24,0.03856649,-0.110360822,0.432003108,0.241134768,0.198065719
0.3,0.03826511,-0.02970526,0.399908192,0.237460964,0.175492768
0.4,0.035889076,0.051063788,0.383294164,0.233731393,0.180004123
0.5,0.042529891,0.138974537,0.394309012,0.232411432,0.161750952
0.6,0.038628872,0.348171508,0.383329527,0.231482497,0.152902019
0.7,0.050092491,0.360677394,0.412135927,0.253710683,0.174114917
0.8,0.035411714,0.522910502,0.357836626,0.227991645,0.143400709
0.9,0.035534527,0.641802243,0.372778471,0.230706851,0.157862346
1,0.029432647,0.707385268,0.353218156,0.205901392,0.135241366
1.2,0.021701198,0.961816067,0.313801457,0.177775753,0.105674513
1.4,0.014673516,1.122365603,0.257536531,0.147362282,0.070191612
1.6,0.007756023,1.210190363,0.197637752,0.122034028,0.042494238
1.8,0.004146489,1.257047421,0.149254525,0.101709655,0.025220075
2,0.002751914,1.217671422,0.130585646,0.077099072,0.02766922
2.2,0.00239863,1.2407876,0.116140104,0.069024807,0.023667608
2.6,0.00177657,1.213619164,0.094025744,0.056173985,0.012059821
3,0.001174348,1.206250506,0.078208178,0.046456633,0.007225997
3.4,0.000965261,1.18337187,0.068783761,0.040378397,0.00500734
3.8,0.000499738,1.15654559,0.060481087,0.032381355,0.005073384
4.2,0.000348675,1.144615452,0.050148722,0.027064557,0.002796452
4.6,0.000207045,1.131895678,0.043147268,0.024595512,0.00211819
4.9,0.000182079,1.13103223,0.042608535,0.022816659,0.00198487
0.06,0.034958655,0.002375358,0.455039087,0.256394417,0.239256321
0.1,0.035705995,0.038321298,0.45625236,0.270092573,0.248885544
0.14,0.03890625,-0.003541062,0.437596675,0.25912864,0.223377571
0.18,0.047473709,0.089748622,0.452563969,0.265404155,0.236329912
0.24,0.048382785,0.182090103,0.453384054,0.265463353,0.225417206
0.3,0.047939749,0.181850236,0.443132143,0.276716828,0.2350189
0.4,0.055953654,0.260259857,0.427179802,0.283486808,0.278985163
0.5,0.049064698,0.34208614,0.440228979,0.252452733,0.209207216
0.6,0.040620092,0.436098067,0.416297951,0.244802018,0.188461746
0.7,0.037303526,0.579693103,0.383929532,0.227902164,0.156068422
0.8,0.046138017,0.635634733,0.413819355,0.25139797,0.180586186
0.9,0.036791801,0.695477086,0.361635831,0.230297853,0.14696307
1,0.031151205,0.72475177,0.346383104,0.212163007,0.129002496
1.2,0.019840788,0.933310642,0.290301252,0.175536694,0.089759606
1.4,0.014771135,1.019184866,0.266419469,0.149724767,0.06984587
1.6,0.010153483,1.05246934,0.216212147,0.13105539,0.047181833
1.8,0.00400841,1.108447959,0.16416734,0.096924957,0.027279172
2,0.003073454,1.078827894,0.146234297,0.083178458,0.020813037
2.2,0.002688112,1.133403693,0.129647912,0.075514462,0.016346006
2.6,0.001544437,1.111950249,0.101440439,0.06016807,0.010172582
3,0.001288378,1.113280434,0.083160577,0.050109727,0.007033941
3.4,0.000952081,1.106487166,0.071916072,0.041122388,0.005101544
3.8,0.000530341,1.105997516,0.062696113,0.036012378,0.00644535
4.2,0.000498407,1.081750403,0.057384421,0.031242115,0.003388528
4.6,0.000216239,1.079195828,0.046462932,0.025278934,0.002315538
4.9,0.000156887,1.077409646,0.043042807,0.02243306,0.00201152
0.06,0.028352981,0.264957983,0.433633536,0.245698274,0.21658143
0.1,0.034847345,0.190424591,0.440970596,0.263163882,0.229046443
0.14,0.03089763,0.269173541,0.411638563,0.254298178,0.200138184
0.18,0.041414291,0.317164169,0.428976918,0.257736901,0.20791671
0.24,0.034864978,0.328693686,0.399459552,0.265060392,0.20146727
0.3,0.044540521,0.336743118,0.420910238,0.263392441,0.236850292
0.4,0.043666824,0.406992118,0.421049612,0.255769072,0.194023036
0.5,0.033480921,0.503002416,0.392980806,0.240891275,0.173884822
0.6,0.042925323,0.554445257,0.389563143,0.236457071,0.164968349
0.7,0.035964476,0.679246977,0.393237547,0.22689476,0.159355303
0.8,0.037147079,0.682780125,0.379616708,0.230019261,0.155438801
0.9,0.032358198,0.706105183,0.358556582,0.213462942,0.139593692
1,0.027685255,0.803490178,0.331978677,0.195236576,0.115193663
1.2,0.017252097,0.903300471,0.29161355,0.163617603,0.086521251
1.4,0.012611525,0.982403324,0.246773854,0.149152876,0.064979524
1.6,0.011984436,1.026984751,0.230535921,0.134381791,0.071207558
1.8,0.005901529,1.071220885,0.166467125,0.102973178,0.028605165
2,0.003121012,1.071895592,0.142440663,0.079413134,0.019840731
2.2,0.002483626,1.095837268,0.129654981,0.078484613,0.016816046
2.6,0.001749424,1.091454432,0.104013958,0.062849575,0.010663444
3,0.001305048,1.094838923,0.088654485,0.052555489,0.00770129
3.4,0.001097096,1.087420615,0.077362185,0.043778724,0.005784521
3.8,0.000830898,1.093975252,0.069660029,0.036096827,0.009391398
4.2,0.000354408,1.069588078,0.058638512,0.030564348,0.003631229
4.6,0.000303157,1.062960611,0.053073874,0.027040245,0.002747298
4.9,0.000202602,1.0644923,0.045218874,0.024531872,0.002147034
0.06,0.019208741,0.516301772,0.39467652,0.215214561,0.199217887
0.1,0.024213796,0.538213075,0.397832906,0.226841663,0.202246561
0.14,0.026104192,0.515728891,0.387165444,0.230398485,0.179082038
0.18,0.024353281,0.55674335,0.390187411,0.228520067,0.184769845
0.24,0.027162979,0.532400337,0.36379755,0.239983753,0.167774468
0.3,0.026681421,0.512005052,0.371872671,0.246144939,0.164282148
0.4,0.034723549,0.553430864,0.369616276,0.236638027,0.163021568
0.5,0.039945371,0.617322368,0.384548099,0.237781148,0.163264031
0.6,0.0323939,0.621799131,0.365031658,0.220237851,0.146416758
0.7,0.033452366,0.723164206,0.374540601,0.22740007,0.152295179
0.8,0.035042911,0.739483895,0.360052295,0.218630661,0.139422148
0.9,0.028762482,0.729232898,0.33455652,0.200871665,0.11553024
1,0.027252916,0.77436625,0.312382563,0.18708958,0.102737909
1.2,0.025254709,0.852795167,0.298555898,0.184983296,0.09538415
1.4,0.015538544,0.910247845,0.264099492,0.152596443,0.071342256
1.6,0.010284615,0.992450579,0.219313402,0.124155593,0.067321816
1.8,0.00726292,1.012437629,0.194892577,0.1094153,0.037390934
2,0.004282441,1.00330545,0.1736424,0.092309602,0.029079305
2.2,0.003188455,1.041199389,0.157091566,0.082926619,0.023225951
2.6,0.001962927,1.056440418,0.12214385,0.066228665,0.014547872
3,0.001348568,1.070560322,0.102905874,0.05576283,0.010414664
3.4,0.000907625,1.06010317,0.089263604,0.044720703,0.007894127
3.8,0.000706588,1.060898431,0.074874573,0.037751547,0.013489606
4.2,0.000378667,1.048577462,0.063764888,0.030806526,0.004903032
4.6,0.000288202,1.040704679,0.057332023,0.028411794,0.004126547
4.9,0.000190127,1.044291676,0.051584289,0.02409551,0.003440671
0.06,0.021284483,0.707322779,0.388635917,0.196883679,0.182223532
0.1,0.01817239,0.687302289,0.375689031,0.1979653,0.167303208
0.14,0.018519731,0.712619809,0.375086108,0.198440539,0.159851678
0.18,0.018932602,0.664071284,0.352408112,0.209541879,0.156328239
0.24,0.017491648,0.689902201,0.351901615,0.209612289,0.151435241
0.3,0.02189347,0.700581157,0.357879922,0.215204405,0.177931224
0.4,0.022569888,0.687649139,0.36407263,0.215343706,0.149887571
0.5,0.023239296,0.717670755,0.334302733,0.214341421,0.139101701
0.6,0.021655098,0.711790257,0.34060891,0.205738828,0.130171316
0.7,0.025591587,0.739584465,0.346570311,0.206452957,0.169390376
0.8,0.030055643,0.778984958,0.355834804,0.204448338,0.130495193
0.9,0.023877875,0.772298946,0.306506069,0.196138962,0.108690211
1,0.021643752,0.784816952,0.303313372,0.177452569,0.096255071
1.2,0.019378001,0.861674392,0.288826123,0.169527789,0.085764247
1.4,0.018833063,0.933126657,0.263469691,0.153689851,0.069347934
1.6,0.01220472,0.925213675,0.236515304,0.132619781,0.07671684
1.8,0.009107058,0.947381467,0.206059453,0.117069435,0.043072012
2,0.004845731,0.988920669,0.162682297,0.093063554,0.027972729
2.2,0.004798521,1.0216071,0.158369504,0.088324013,0.024198556
2.6,0.002632202,1.040926133,0.118562655,0.067044666,0.013993337
3,0.001398402,1.051874577,0.096503494,0.055050414,0.008889531
3.4,0.001071651,1.039498664,0.085902599,0.047737965,0.006915278
3.8,0.000679975,1.035072384,0.073332584,0.038677308,0.005365858
4.2,0.000762171,1.027335405,0.067180397,0.035388148,0.004312665
4.6,0.000428551,1.03505905,0.052807661,0.028807168,0.002825814
4.9,0.000314761,1.034171183,0.048239337,0.026925064,0.002437825
0.0375,0.00035221,-0.37238578,0.359298183,0.124900643,0.116970739
0.0625,0.002461622,-0.352214495,0.399530037,0.134804772,0.145049273
0.0875,0.00245146,-0.284112966,0.364407403,0.13839313,0.114445998
0.1125,0.000999369,-0.421224485,0.32513084,0.129415919,0.098362027
0.15,0.004087263,-0.42828376,0.371412549,0.151807312,0.12394482
0.1875,-0.004355194,-0.330631652,0.371208025,0.147040058,0.11566177
0.25,0.002174935,-0.292335526,0.344600045,0.151753027,0.119520856
0.3125,0.00530532,-0.339799134,0.311738411,0.154115373,0.094654676
0.375,0.008834126,-0.271243314,0.324595473,0.16673562,0.102652413
0.4375,0.0104599,-0.215580213,0.334548098,0.174555685,0.110858234
0.5,0.010707485,-0.012879279,0.316796231,0.16478629,0.103005749
0.5625,0.013298154,-0.142520354,0.355710198,0.186037194,0.123214598
0.625,0.015388743,-0.117130366,0.349357304,0.187030193,0.153340739
0.75,0.022688479,0.117303133,0.358624904,0.213397782,0.142098687
0.875,0.029422648,0.298231827,0.382066489,0.238138106,0.161230063
1,0.042210933,0.52754942,0.409477548,0.256403565,0.186578542
1.125,0.045933366,0.824125655,0.441659948,0.237815749,0.197565673
1.25,0.034035129,1.032141814,0.380964444,0.204283362,0.151443866
1.375,0.015619561,1.316438943,0.291381424,0.158478675,0.09654899
1.625,0.004688079,1.367900265,0.178782668,0.114277996,0.039550557
1.875,0.003071122,1.383545861,0.135983775,0.079228907,0.019800709
2.125,0.00229608,1.372506462,0.108721725,0.05839597,0.012198835
2.375,0.001501295,1.367221089,0.091234478,0.04660751,0.010130883
2.625,0.000718869,1.395318686,0.096423508,0.042496157,0.011539969
2.875,0.00037889,1.379081443,0.058646535,0.032953697,0.003958469
3.0625,0.000319483,1.384466839,0.056994007,0.028845802,0.003636807
0.0375,0.010575979,-0.644535114,0.430615134,0.191799302,0.181043993
0.0625,0.016559985,-0.684333373,0.394016056,0.1899329,0.167343952
0.0875,0.020149101,-0.599518624,0.395328556,0.195677934,0.162557698
0.1125,0.014243402,-0.540382801,0.412191841,0.196881035,0.170168765
0.15,0.017580494,-0.530851517,0.41043187,0.210104197,0.177047102
0.1875,0.021129449,-0.50769547,0.402137662,0.200876195,0.199472543
0.25,0.039407941,-0.324057715,0.460789924,0.240312413,0.202125273
0.3125,0.024733774,-0.304125292,0.408472194,0.224806114,0.168975691
0.375,0.027783443,-0.263492941,0.433236339,0.23083783,0.184998558
0.4375,0.035450826,-0.157201637,0.43150245,0.252504188,0.202500843
0.5,0.029546566,-0.068074578,0.432406018,0.248201211,0.181612062
0.5625,0.035823475,0.032326786,0.433795108,0.254473514,0.184421092
0.625,0.032236202,0.196644682,0.412422361,0.257966989,0.191649245
0.75,0.037357255,0.230446677,0.417264406,0.26366212,0.192465324
