R,a1
0.061403509,-0.599063963
0.065789474,-1.060842434
0.535087719,-1.678627145
0.535087719,-1.76599064
0.771929825,-1.809672387
0.776315789,-2.003120125
1.526315789,-1.566302652
1.618421053,-2.602184087
1.780701754,-2.308892356
1.929824561,-2.702028081
1.947368421,-3.113884555
2.092105263,-1.803432137
2.355263158,-1.547581903
2.846491228,-2.102964119
3.184210526,-1.497659906
3.627192982,-1.497659906
