z/D (z-axis),rss_uw/U_R2(x-axis)
0.9,0.028762482
1,0.027252916
1.2,0.025254709
1.4,0.015538544
1.6,0.010284615
1.8,0.00726292
2,0.004282441
2.2,0.003188455
2.6,0.001962927
3,0.001348568
3.4,0.000907625
3.8,0.000706588
4.2,0.000378667
4.6,0.000288202
4.9,0.000190127
0.06,0.021284483
0.1,0.01817239
0.14,0.018519731
0.18,0.018932602
0.24,0.017491648
0.3,0.02189347
0.4,0.022569888
0.5,0.023239296
0.6,0.021655098
0.7,0.025591587
0.8,0.030055643
0.9,0.023877875
1,0.021643752
1.2,0.019378001
1.4,0.018833063
1.6,0.01220472
1.8,0.009107058
2,0.004845731
2.2,0.004798521
2.6,0.002632202
3,0.001398402
3.4,0.001071651
3.8,0.000679975
4.2,0.000762171
4.6,0.000428551
4.9,0.000314761
0.0375,0.00035221
0.0625,0.002461622
0.0875,0.00245146
0.1125,0.000999369
0.15,0.004087263
0.1875,-0.004355194
0.25,0.002174935
0.3125,0.00530532
0.375,0.008834126
0.4375,0.0104599
0.5,0.010707485
0.5625,0.013298154
0.625,0.015388743
0.75,0.022688479
0.875,0.029422648
1,0.042210933
1.125,0.045933366
1.25,0.034035129
1.375,0.015619561
1.625,0.004688079
1.875,0.003071122
2.125,0.00229608
2.375,0.001501295
2.625,0.000718869
2.875,0.00037889
3.0625,0.000319483
0.0375,0.010575979
0.0625,0.016559985
0.0875,0.020149101
0.1125,0.014243402
0.15,0.017580494
0.1875,0.021129449
0.25,0.039407941
0.3125,0.024733774
0.375,0.027783443
0.4375,0.035450826
0.5,0.029546566
0.5625,0.035823475
0.625,0.032236202
0.75,0.037357255
0.875,0.039634876
1,0.038390016
1.125,0.042179754
1.25,0.033897098
1.375,0.024103715
1.625,0.007330705
1.875,0.003384101
2.125,0.001453717
2.375,0.001150333
2.625,0.000820991
2.875,0.000409529
3.0625,0.000332405
0.0375,0.019399974
0.0625,0.027788335
0.0875,0.024933671
0.1125,0.030368704
0.15,0.026900678
0.1875,0.039029264
0.25,0.041369491
0.3125,0.046237829
0.375,0.040100068
0.4375,0.053186201
0.5,0.044325018
0.5625,0.046474599
0.625,0.047041638
0.75,0.046442165
0.875,0.05488626
1,0.046990927
1.125,0.041922868
1.25,0.030977327
1.375,0.021124426
1.625,0.010776318
