,subdistrict,pincode,Num of Competitor stores,Latitude,Longitude,Population 2020,Population Growth Rate (2000-2015),Population Growth Rate (1975-2015),Population Growth Rate (1975-2000),Forecasted Future Population Growth rate(Exponential Decay),Area(km2),Population Density(people per square kilometer),Nearest Airport Distance in km,Nearest Railway Station Distance in km,Google rating,Google reviews,Overall Rating(Ratings*Reviews),Num_atms,Num_hospitals,Num_supermarket,Num_restaurants,Num_schools,Num_shopping_malls,Num_night_clubs,Num_cafe,Num_train_stations,Num_taxi_stands,Prosperity Score
38,Kandivali East,400101,2,19.23366448,72.87759852,"1,67,296",9.6,58.9,49.3,1.87,5.3,31565,9.67,1.32,4.1,5643,23136.3,0,0,2,0,0,0,0,0,0,0,2
39,Kandivali RS,400067,0,19.20476482,72.85120751,"5,65,383",10.5,60.5,50,2.21,15.6,36242,10.98,2.19,4.3,"3,517",15123.1,21,36,10,33,23,18,5,17,3,3,169
40,Motilal Nagar,400104,0,19.16322357,72.84602532,"2,35,733",9.3,53.6,44.3,1.95,5.1,46222,7.03,0.82,4.2,"2,783",11688.6,26,30,16,29,31,26,6,23,2,1,159
41,Mazgaon Dock,400010,0,18.96920601,72.83944495,"1,03,131",-13.6,-18.6,-5,-36.99,2.793,36924,10.37,0.94,4.4,248,1091.2,22,15,8,12,31,2,7,7,10,0,114
42,Oshiwara,400102,0,19.14233948,72.84872442,"2,28,110",9.3,50.7,41.4,2.09,4.116,55420,5.13,0.82,4.3,"3,511",15097.3,3,9,10,2,5,0,1,2,2,1,35
43,Oshiwara,400102,0,19.15823135,72.83567816,"2,28,110",9.3,50.7,41.4,2.09,4.116,55420,5.13,0.82,4.9,32,156.8,6,18,26,23,26,11,7,9,2,1,129
44,Dahisar,400068,0,19.26688807,72.85152663,"3,14,005",36.4,166.2,129.8,10.21,9.1,34506,14.54,0.46,4.1,"6,547",26842.7,0,1,0,0,0,0,2,0,1,2,6
45,Dahisar,400068,0,19.27174941,72.87555923,"3,14,005",36.4,166.2,129.8,10.21,9.1,34506,14.54,0.46,4.1,"4,271",17511.1,3,16,8,11,9,5,13,9,0,0,74
46,Dahisar,400068,0,19.2497102,72.86594619,"3,14,005",36.4,166.2,129.8,10.21,9.1,34506,14.54,0.46,4.5,708,3186.0,15,24,20,18,14,4,7,9,2,1,114
47,H.M.P. School,400058,0,19.13291021,72.84484885,"1,85,675",9.3,43.8,34.5,2.51,3.275,56694,3.68,0.67,4.1,"5,177",21225.7,10,13,13,1,5,3,13,6,2,1,67
48,H.M.P. School,400058,0,18.95412098,72.83199301,"1,85,675",9.3,43.8,34.5,2.51,3.275,56694,3.68,0.67,4.5,784,3528.0,31,27,16,25,29,26,11,38,12,1,172
49,Jacob Circle,400011,0,18.98960328,72.82738323,"82,885",-13.6,-18.3,-4.7,-39.35,1.529,54208,9.96,0.35,4.2,38,159.6,5,6,4,1,4,4,13,6,8,3,54
50,Transit Camp,400022,0,19.057088,72.90772051,"1,70,333",7.9,40.6,32.7,1.91,3.576,47632,3.96,0.52,3.8,38,144.4,7,21,11,15,15,7,9,5,3,7,100
51,Airoli,400708,0,19.14760383,72.9953879,"1,08,285",53.3,256.4,203.1,13.99,13.3,8141,12.53,2.71,4.1,8976,36801.6,25,17,12,24,27,11,4,9,0,1,112
52,Jekegram,400606,0,19.20367099,72.96609787,"2,54,026",52.5,289.6,237.1,11.62,4.768,53277,13.17,2.52,4.3,2508,10784.4,6,24,11,31,3,7,7,12,0,4,105
53,Naupada,400602,0,19.18784551,72.97486709,"2,52,728",52.1,220.8,168.7,16.09,3.495,72311,12.49,0.68,4.2,13490,56658.0,39,18,13,24,15,26,4,40,1,1,121
54,Thane,400601,0,19.21332786,72.98499161,"1,61,152",52.0,220.4,168.4,16.06,2.971,54241,13.76,1.52,4.3,3973,17083.9,3,9,7,7,10,3,6,2,0,6,53
55,Thane,400601,0,19.21883916,72.97889764,"1,61,152",52.0,220.4,168.4,16.06,2.971,54241,13.76,1.52,4.2,4594,19294.8,18,19,14,38,6,10,6,13,0,6,103
56,Sandozbaugh,400607,2,19.26981177,72.96526879,"2,34,724",58.3,650.6,592.3,5.74,7.7,30483,16.72,4.38,4.2,"1,830",7686.0,15,20,5,38,11,11,6,12,0,1,119
57,Sandozbaugh,400607,2,19.23188557,72.97718101,"2,34,724",58.3,650.6,592.3,5.74,7.7,30483,16.72,4.38,4.0,"1,216",4864.0,19,24,14,5,11,8,5,7,0,3,96
58,NERUL NODE-III,400706,3,19.02466607,73.02245814,"1,02,907",53.4,254.5,201.1,14.18,20.9,4923,13.53,6.95,4.2,2588,10869.6,23,33,18,27,34,4,8,17,5,9,150
59,NERUL NODE-III,400706,3,19.02207941,73.01919652,"1,02,907",53.4,254.5,201.1,14.18,20.9,4923,13.53,6.95,4.3,651,2799.3,26,31,19,30,21,21,7,29,4,8,165
60,NERUL NODE-III,400706,3,19.02207941,73.01795198,"1,02,907",53.4,254.5,201.1,14.18,20.9,4923,13.53,6.95,4.4,482,2120.8,22,28,23,39,11,23,7,25,4,8,190
61,Navi Mumbai,400703,1,19.06419499,72.99723765,"1,25,759",52.6,254.9,202.3,13.68,14.0,8982,12.08,5.99,4.3,648,2786.4,10,6,6,19,15,8,6,16,2,12,80
62,Sanpada,400705,1,19.06592193,73.0012309,"61,093",52.9,262.5,209.6,13.35,12.5,4887,12.56,5.9,4.2,"9,772",41042.4,17,14,10,26,10,15,8,25,2,14,114
63,Sanpada,400705,1,19.06613489,73.00123626,"61,093",52.9,262.5,209.6,13.35,12.5,4887,12.56,5.9,4.1,1003,4112.3,17,11,11,27,10,15,8,24,2,13,110
64,mira,401107,1,19.2873155,72.86766834,"93,484",66.7,495.6,428.9,10.37,12.3,7600,17.1,3.95,4.1,"13,217",54189.7,17,21,37,18,27,5,5,23,1,1,114
65,Kopar Khairne,400709,1,19.10128011,73.01023498,"41,435",52.7,237.1,184.4,15.06,7.0,5919,10.71,5.79,4.2,4762,20000.4,11,30,17,17,21,4,3,7,1,8,119
66,Ghansoli,400701,1,19.11848797,73.00655838,"80,058",55.4,356.6,301.2,10.19,22.4,3574,12.01,5.49,4.1,5421,22226.1,9,11,10,1,2,5,2,10,1,4,55
67,Ghansoli,400701,1,19.13756709,73.00361294,"80,058",55.4,356.6,301.2,10.19,22.4,3574,12.01,5.49,4.4,2224,9785.6,3,2,6,5,1,0,4,1,0,1,23
68,Bhayander West,401101,0,19.29464593,72.84802355,"2,89,564",53.0,244.4,191.4,14.68,35.5,8156,17.8,2.06,4.2,4011,16846.2,10,8,15,21,14,13,1,30,2,1,93
69,Poynad,401208,0,19.33261147,72.89259035,"3,30,584",96.8,951.6,854.8,10.96,150.6,2195,39.21,5.79,4.2,6826,28669.2,1,0,0,1,0,0,0,1,0,0,3
70,Poynad,401208,0,19.40412191,72.83766078,"3,30,584",96.8,951.6,854.8,10.96,150.6,2195,39.21,5.79,4.2,2610,10962.0,13,17,9,19,13,2,2,6,0,1,82
71,kharghar,410210,3,19.03093554,73.06645144,"1,01,378",21.8,151.8,130,3.66,24.6,4121,16.65,2.7,4.2,5645,23709.0,6,17,4,24,5,6,1,27,2,7,99
72,kharghar,410210,3,19.04716688,73.07008045,"1,01,378",21.8,151.8,130,3.66,24.6,4121,16.65,2.7,4.3,2865,12319.5,9,32,24,29,16,13,1,14,2,12,135
73,Kalamboli Node,410218,1,19.02144854,73.10252322,"76,092",16.3,67.2,50.9,5.22,10.8,7045,19.55,1.19,4.2,42224,177340.8,2,3,11,7,7,4,3,5,3,1,46
74,Panvel,410206,2,18.99362249,73.11575851,"3,87,166",29.8,120.4,90.6,9.8,571.7,677,25.15,0.87,4.2,4384,18412.8,4,26,15,16,4,12,5,14,2,5,103
75,Manpada,421204,2,19.17953543,73.07434157,"23,192",53.3,264,210.7,13.48,9.4,2467,17.91,0.71,4.3,813,3495.9,0,0,0,0,0,1,1,0,1,1,4
76,Katemanivali,421306,2,19.22873917,73.12353641,"2,96,958",47.9,203.8,155.9,14.72,16.4,18107,24.41,1.94,4.3,2818,12117.4,9,6,7,38,5,8,0,7,2,10,92
77,Bassein,401202,1,19.36801299,72.81627698,"2,01,955",38.2,105.2,67,21.78,20.2,9997,24.73,4.01,4.1,5411,22185.1,10,10,4,19,17,11,1,16,0,1,89
78,Shastrinagar,421302,0,19.30349195,73.10937154,"4,79,906",59.9,437.5,377.6,9.5,657.3,730,31.17,10.09,4.2,4410,18522.0,0,0,0,2,0,1,0,1,0,0,4
79,Badlapur E.D.,421503,2,19.17599636,73.22429498,"5,60,727",46.1,210.5,164.4,12.93,33.2,16889,31.62,0.47,4.2,2807,11789.4,2,4,7,14,3,4,1,5,2,1,43
80,Ramnagar,421201,0,19.21509947,73.10184138,"1,58,251",42.0,184,142,12.42,16.1,9829,19.9,0.64,4.3,5788,24888.4,1,5,13,23,2,4,5,5,2,2,62
81,Sopara,401203,0,19.4203753,72.81382175,"1,52,782",41.6,192,150.4,11.51,21.9,6976,29.09,1.86,4.2,1789,7513.8,22,39,28,7,23,28,3,15,2,3,170
82,Ambernath,421501,2,19.2223265,73.17228962,"1,88,503",66.3,395,328.7,13.37,79.8,2362,24.16,5.63,4.3,715,3074.5,0,2,0,0,0,3,1,1,2,3,12
83,Kalyan City,421301,1,19.26072336,73.13778273,"2,83,853",48.0,231.4,183.4,12.56,24.9,11399,25.68,1.52,4.2,8411,35326.2,3,11,10,1,18,2,2,16,0,3,66
84,Shilphata,410203,4,18.81651545,73.30048913,"1,17,815",29.1,286,256.9,3.3,149.0,790,45.08,6.14,4.0,4597,18388.0,0,0,0,0,0,0,0,1,0,0,1
85,Chinchwad East,411019,1,18.63682918,73.79645144,"1,17,785",28.8,"1,344.90","1,316.10",0.63,9.0,13087,11.64,1.29,4.1,4529,18568.9,10,12,12,22,2,8,3,7,2,6,84
86,Dapodi Bazar,411012,0,18.58709538,73.83330233,"14,992",41.3,"1,805.00","1,763.70",0.97,1.481,10122,7.44,0.29,4.2,3824,16060.8,2,4,6,9,7,5,1,1,1,1,37
87,NIBM,411048,1,18.45847143,73.8071715,"4,67,742",52.2,358,305.8,8.91,25.9,18059,10.71,4.18,4.2,4717,19811.4,6,18,11,6,5,5,4,2,0,1,58
88,T.V. Nagar,411037,1,18.48798129,73.85775634,"4,18,158",34.2,105.7,71.5,16.36,10.5,39824,9.83,4.34,4.1,5459,22381.9,13,20,28,27,14,3,2,31,0,2,119
89,Guruwar Peth,411042,0,18.50125832,73.87258844,"1,25,575",25.7,71.5,45.8,14.42,2.338,53710,8.11,2.31,4.2,1318,5535.6,15,12,23,20,13,13,1,12,0,1,110
90,Gondhale Nagar,411028,2,18.51944295,73.9320483,"1,35,538",29.4,747.2,717.8,1.2,3.663,37001,6.52,1.69,4.3,4463,19190.9,9,7,5,40,8,18,10,25,1,1,124
91,Gondhale Nagar,411028,2,18.46741554,73.9061556,"1,35,538",29.4,747.2,717.8,1.2,3.663,37001,6.52,1.69,4.3,981,4218.3,2,0,10,18,1,6,7,8,0,2,54
92,Pune,411001,1,18.51949288,73.87732982,"2,96,695",42.3,206.8,164.5,10.88,13.8,21499,5.74,0.8,4.3,2050,8815.0,19,15,15,26,23,19,7,37,5,1,167
93,Aundh T.S.,411007,4,18.56284331,73.80780223,"48,261",51.0,804.6,753.6,3.45,6.1,7911,8.4,1.7,4.1,6836,28027.6,15,19,24,23,14,18,4,27,0,2,126
94,Chinchwadgaon,411033,4,18.60868538,73.77071529,"90,529",35.5,975.9,940.4,1.34,24.5,3695,14.5,2.2,4.1,5308,21762.8,11,38,20,12,20,15,0,13,0,2,131
95,Chinchwadgaon,411033,4,18.62870759,73.78359045,"90,529",35.5,975.9,940.4,1.34,24.5,3695,14.5,2.2,4.3,400,1720.0,22,24,29,19,16,40,1,36,1,2,145
96,A.R. Shala,411004,2,18.51853365,73.84459438,"1,22,656",25.4,23.6,-1.8,-358.42,3.775,32491,8.87,1.75,4.2,13360,56112.0,21,38,21,36,21,31,11,22,1,1,180
97,Kothrud,411038,1,18.508259,73.79656013,"1,49,280",0.8,-24.3,-25.1,-0.03,13.2,11309,11.23,4.12,4.2,7121,29908.2,6,24,22,24,9,7,2,12,0,3,109
98,Warje,411058,0,18.48752419,73.79642694,"58,620",3.9,-11.4,-15.3,-0.99,14.5,4042,13.75,6.62,4.2,5796,24343.2,13,15,19,16,19,3,0,8,0,1,94
99,Loni Kalbhor,412201,1,18.49089004,74.01376697,"43,785",15.8,70,54.2,4.61,74.4,588,14.61,1.01,4.2,2656,11155.2,6,2,3,7,4,1,0,4,2,0,29
100,Vagholi,412207,2,18.58974986,73.99679885,"1,27,196",146.9,"1,945.30","1,798.40",12.0,319.6,397,18.71,6.79,4.3,3928,16890.4,2,4,7,30,14,5,0,10,0,0,72
101,Vadgaon Sheri,411014,3,18.55688858,73.94796964,"5,86,143",75.8,"15,534.60","15,458.80",0.37,23.1,25374,2.18,2.67,4.4,2848,12531.2,4,3,7,0,3,12,5,17,0,1,52
102,Vadgaon Sheri,411014,3,18.56236133,73.91665237,"5,86,143",75.8,"15,534.60","15,458.80",0.37,23.1,25374,2.18,2.67,4.4,2375,10450.0,21,15,36,12,14,37,19,23,0,4,144
103,Pimpri Colony,411017,0,18.59626113,73.7881634,"96,902",23.8,"1,067.60","1,043.80",0.54,7.9,12266,10.63,1.14,4.1,4804,19696.4,2,18,14,17,17,14,6,9,0,4,91
104,Infotech Park,411057,2,18.59567995,73.73579091,"92,552",62.9,"4,527.60","4,464.70",0.89,43.3,2137,16.13,5.95,4.1,7055,28925.5,4,8,20,26,3,5,9,13,0,1,89
105,Infotech Park,411057,2,18.58168113,73.73625191,"92,552",62.9,"4,527.60","4,464.70",0.89,43.3,2137,16.13,5.95,4.3,929,3994.7,7,1,2,15,4,0,4,18,0,0,51
