z/h (z-axis),rss_uw_rss_uwmax (x-axis)
0.01,0.397544564
0.0166667,0.501724549
0.0233333,0.499064039
0.03,0.69619666
0.04,0.631568418
0.05,0.837612503
0.0666667,0.863870947
0.0833333,0.728134128
0.1,1
0.1166667,0.848003911
0.1333333,0.927077448
0.15,0.875027577
0.1666667,0.798282741
0.2,0.526552847
0.2333333,0.402034569
0.2666667,0.414698883
0.3,0.217755724
0.3333333,0.126893574
0.3666667,0.101342979
0.4333333,0.079752183
0.5,0.064627445
0.5666667,0.058623607
0.6333333,0.047022134
0.7,0.021901406
0.7666667,0.019620327
0.8166667,0.013355714
0.01,0.307960108
0.0166667,0.398627274
0.0233333,0.482114104
0.03,0.468109719
0.04,0.562622223
0.05,0.573727014
0.0666667,0.785470436
0.0833333,0.993319418
0.1,0.862895376
0.1166667,0.90190217
0.1333333,1
0.15,0.889349049
0.1666667,0.898523988
0.2,0.881355091
0.2333333,0.566388726
0.2666667,0.406922589
0.3,0.306425388
0.3333333,0.199087521
0.3666667,0.148763428
0.4333333,0.102319902
0.5,0.076361002
0.5666667,0.055455314
0.6333333,0.045722444
0.7,0.026756874
0.7666667,0.021327735
0.8166667,0.014331003
0.01,0.397862342
0.0166667,0.348811122
0.0233333,0.398793825
0.03,0.424301567
0.04,0.422419898
0.05,0.548889716
0.0666667,0.595263547
0.0833333,0.673782285
0.1,0.672557167
0.1166667,0.804459093
0.1333333,1
0.15,0.860826698
0.1666667,0.832000161
0.2,0.788481831
0.2333333,0.800385832
0.2666667,0.563022451
0.3,0.447987342
0.3333333,0.26265526
0.3666667,0.261034243
0.4333333,0.159974006
0.5,0.09232198
0.5666667,0.076342062
0.6333333,0.051301523
0.7,0.062791988
0.7666667,0.036976334
0.8166667,0.027662223
0.01,0.003036576
0.0166667,0.022594894
0.0233333,0.024161526
0.03,0.010148297
0.04,0.040693061
0.05,-0.050427352
0.0666667,0.026434733
0.0833333,0.070903129
0.1,0.120881214
0.1166667,0.144039326
0.1333333,0.161307583
0.2,0.402074442
0.2333333,0.55542946
0.2666667,0.866213934
0.3,1
0.3333333,0.794143334
0.3666667,0.363431978
0.4333333,0.12256073
0.5,0.08510425
0.5666667,0.068055907
0.6333333,0.046410103
0.7,0.02225916
0.7666667,0.012075845
0.8166667,0.01022499
0.01,0.099294877
0.0166667,0.165528623
0.0233333,0.21626161
0.03,0.157509006
0.04,0.190608857
0.05,0.266422616
0.0666667,0.521598846
0.0833333,0.359971755
0.1,0.414004945
0.1166667,0.531623473
0.1333333,0.484728492
0.15,0.63909497
0.1666667,0.575310674
0.2,0.720941913
0.2333333,0.814795991
0.2666667,0.857912001
0.3,1
0.3333333,0.86130753
0.3666667,0.610748662
0.4333333,0.208701886
0.5,0.102122563
0.5666667,0.046922687
0.6333333,0.038725276
0.7,0.027683538
0.7666667,0.014213921
0.8166667,0.011585273
0.01,0.161425597
0.0166667,0.246173138
0.0233333,0.23717831
0.03,0.297634237
0.04,0.258487885
0.05,0.436152383
0.0666667,0.485286312
0.0833333,0.596403884
0.1,0.52957753
0.1166667,0.706873567
0.1333333,0.644474061
0.15,0.734815502
0.1666667,0.744056612
0.2,0.79433327
0.2333333,1
0.2666667,0.930686549
0.3,0.880870221
0.3333333,0.697597053
0.3666667,0.474382246
0.4333333,0.271904243
0.5,0.122013326
0.5666667,0.039214294
0.6333333,0.035490333
0.7,0.02206872
0.7666667,0.013391339
0.8166667,0.010764631
0.01,0.072216087
0.0166667,0.142956696
0.0233333,0.160923998
0.03,0.189110983
0.04,0.186701799
0.05,0.266480831
0.0666667,0.423796407
0.0833333,0.544552472
0.1,0.520883084
0.1166667,0.598873477
0.1333333,0.690689681
0.15,0.834472285
0.1666667,0.929934654
0.2,0.826199869
0.2333333,0.941300531
0.2666667,1
0.3,0.931420318
0.3333333,0.862484355
0.3666667,0.760822119
0.4333333,0.285699127
0.5,0.1566009
0.5666667,0.066350236
0.6333333,0.035914705
0.7,0.020070971
0.7666667,0.010297473
0.8166667,0.00828013
0.01,0.187081802
0.0166667,0.151449167
0.0233333,0.227906842
0.03,0.245189055
0.04,0.239865297
0.05,0.43743985
0.0666667,0.37013188
0.0833333,0.531448148
0.1,0.691206059
0.1166667,0.653331105
0.1333333,0.731557754
0.15,0.768675663
0.1666667,0.7674044
0.2,1
0.2333333,0.940672163
0.2666667,0.994023436
0.3,0.940253142
0.3333333,0.639724249
0.3666667,0.597132457
0.4333333,0.392639174
0.5,0.148774144
0.5666667,0.053522849
0.6333333,0.044367378
0.7,0.024242737
0.7666667,0.008266343
0.8166667,0.010159688
0.01,0.101827428
0.0166667,0.251753831
0.0233333,0.22906932
0.03,0.231331186
0.04,0.362907734
0.05,0.381271181
0.0666667,0.399610393
0.0833333,0.529844543
0.1,0.609977946
0.1166667,0.819905228
0.1333333,0.815914812
0.15,0.914748775
0.1666667,0.820846049
0.2,0.837906431
0.2333333,0.980113271
0.2666667,0.939712889
0.3,1
0.3333333,0.888656674
0.3666667,0.755496355
0.4333333,0.63010392
0.5,0.360070915
0.5666667,0.179198758
0.6333333,0.044913938
0.7,0.033414595
0.7666667,0.007709953
0.8166667,0.010219906
0.01,0.203611822
0.0166667,0.130376466
0.0233333,0.117830043
0.03,0.230116446
0.04,0.190954023
0.05,0.359747131
0.0666667,0.302729844
0.0833333,0.413257464
0.1,0.542788026
0.1166667,0.413007071
0.1333333,0.649959448
0.15,0.642966065
0.1666667,0.617325868
0.2,0.842764388
0.2333333,0.601143248
0.2666667,1
0.3,0.762692568
0.3333333,0.854857204
0.3666667,0.933610483
0.4333333,0.592647771
0.5,0.459808583
0.5666667,0.202903287
0.6333333,0.074078247
0.7,0.066692023
0.7666667,0.025892999
0.8166667,0.015685502
0.01,0.033801783
0.0166667,0.017338341
0.0233333,0.023053367
0.03,0.052201115
0.04,0.062539773
0.05,0.047450196
0.0666667,0.044661797
0.0833333,0.055278048
0.1,0.072279403
0.1166667,0.127656392
0.1333333,0.114514821
0.1666667,0.17794568
0.2,0.254546119
0.2333333,0.454126807
0.2666667,1
0.3,0.999320533
0.3333333,0.819294763
0.3666667,0.347505765
0.4333333,0.08422388
0.5,0.038341138
0.5666667,0.015381806
0.6333333,0.079458502
0.7,0.066958997
0.7666667,0.046884216
0.8166667,0.043691714
0.01,0.107019075
0.0166667,0.154879469
0.0233333,0.176150039
0.03,0.156227077
0.04,0.345951882
0.05,0.228697864
0.0666667,0.204944118
0.0833333,0.367319395
0.1,0.406315276
0.1166667,0.389071715
0.1333333,0.476173236
0.15,0.510545356
0.1666667,0.558695455
0.2,0.682191763
0.2333333,0.872185507
0.2666667,1
0.3,0.980151959
0.3333333,0.691859685
0.3666667,0.493765478
0.4333333,0.161707937
0.5,0.073705081
0.5666667,0.050932795
0.6333333,0.032409743
0.7,0.025755145
0.7666667,0.015174599
0.8166667,0.013072046
0.01,0.21567739
0.0166667,0.231837277
0.0233333,0.289728411
0.03,0.266336167
0.04,0.339442781
0.05,0.307185437
0.0666667,0.353808173
0.0833333,0.372573851
0.1,0.504275387
0.1166667,0.494515022
0.1333333,0.640070542
0.15,0.600115982
0.1666667,0.575901465
0.2,6.17E-01
0.2333333,1
0.2666667,0.831135058
0.3,0.797992551
0.3333333,0.714810898
0.3666667,0.426908422
0.4333333,0.13993163
0.5,0.068422585
0.5666667,0.037246143
0.6333333,0.027243682
0.7,0.013329815
0.7666667,0.009755036
0.8166667,0.011511606
0.01,0.087495829
0.0166667,0.152265375
0.0233333,0.124033254
0.03,0.210290421
0.04,0.216213706
0.05,0.201212341
0.0666667,0.308138276
0.0833333,0.336529458
0.1,0.577179607
0.1166667,0.686515081
0.1333333,0.680548751
0.15,0.900753938
0.1666667,0.839270911
0.2,1
0.2333333,0.95785701
0.2666667,0.918570141
0.3,0.79295764
0.3333333,0.692331261
0.3666667,0.564276508
0.4333333,0.208587787
0.5,0.120257947
0.5666667,0.066874778
0.6333333,0.055660689
0.7,0.031313698
0.7666667,0.009045247
0.8166667,0.001808796
0.01,0.185888515
0.0166667,0.210507216
0.0233333,0.239908355
0.03,0.285724929
0.04,0.214294958
0.05,0.495896133
0.0666667,0.461034535
0.0833333,0.597198314
0.1,0.544331557
0.1166667,0.722771162
0.1333333,0.955012387
0.15,0.993154581
0.1666667,1
0.2,0.94134411
0.2333333,0.865574755
0.2666667,0.904741505
0.3,0.881093615
0.3333333,0.754661542
0.3666667,0.572175636
0.4333333,0.325166808
0.5,0.178241041
0.5666667,0.099553526
0.6333333,0.030920133
0.7,0.040960845
0.7666667,0.022907696
0.8166667,0.007935295
0.01,0.108016088
0.0166667,0.159901365
0.0233333,0.289035143
0.03,0.243531622
0.04,0.343004549
0.05,0.347261554
0.0666667,0.405686756
0.0833333,0.432910065
0.1,0.565343982
0.1166667,0.555563667
0.1333333,0.575617153
0.15,0.720966837
0.1666667,0.884405519
0.2,0.902633428
0.2333333,0.972174824
0.2666667,1
0.3,0.937870806
0.3333333,0.720394679
0.3666667,0.794298153
0.4333333,0.489058161
0.5,0.268984252
0.5666667,0.155051257
0.6333333,0.106926898
0.7,0.064586028
0.7666667,0.045229629
0.8166667,0.021712411
0.01,0.161299784
0.0166667,0.225611148
0.0233333,0.212985939
0.03,0.219293842
0.04,0.248415824
0.05,0.257075337
0.0666667,0.343026431
0.0833333,0.416310141
0.1,0.373385256
0.1166667,0.570789346
0.1333333,0.581711781
0.15,0.622374031
0.1666667,0.715686565
0.2,0.766175826
0.2333333,0.774719219
0.2666667,0.847703855
0.3,0.76115834
0.3333333,1
0.3666667,0.72460068
0.4333333,0.58921587
0.5,0.393755723
0.5666667,0.244338764
0.6333333,0.083758609
0.7,0.043949449
0.7666667,0.022845681
0.8166667,0.014080011
