z* (z-axis),rss_uw-rss_uwmin/rss_uwmax_rss_uwmin (x-axis)
1.1282657,0.199427029
1.3018451,0.091598483
1.4754244,0.035751605
1.6490037,0.027458112
1.8225831,0.016286954
1.9961624,0.002659458
2.1263469,0
0.0276215,0.152300424
0.0460358,0.237970168
0.0644501,0.228877461
0.0828644,0.289991255
0.1104858,0.250418922
0.1381073,0.430016723
0.1841431,0.479685317
0.2301788,0.592012044
0.2762146,0.524458501
0.3222504,0.703683833
0.3682861,0.64060531
0.4143219,0.731929826
0.4603577,0.741271495
0.5524292,0.792095252
0.6445008,1
0.7365723,0.929932296
0.8286438,0.879573878
0.9207154,0.694306374
1.0127869,0.468662595
1.19693,0.263981273
1.381073,0.112459278
1.5652161,0.028759246
1.7493592,0.024994762
1.9335023,0.011427098
2.1176453,0.002655292
2.2557526,0
0.0248334,0.064469774
0.0413891,0.135801016
0.0579447,0.153918332
0.0745003,0.182340657
0.0993337,0.179911358
0.1241672,0.260356487
0.1655562,0.418985531
0.2069453,0.540749821
0.2483344,0.516882811
0.2897234,0.595524366
0.3311125,0.688107167
0.3725015,0.833090251
0.4138906,0.92934966
0.4966687,0.824748766
0.5794468,0.940810433
0.662225,1
0.7450031,0.930847728
0.8277812,0.8613362
0.9105593,0.75882516
1.0761156,0.279735241
1.2416718,0.149559139
1.4072281,0.058554949
1.5727843,0.027865302
1.7383405,0.011889285
1.9038968,0.002034186
2.028064,0
0.0251899,0.18030593
0.0419831,0.144376288
0.0587763,0.221471257
0.0755696,0.238897521
0.1007594,0.233529387
0.1259493,0.432750773
0.1679323,0.364881774
0.2099154,0.527542654
0.2518985,0.688632186
0.2938816,0.650441535
0.3358647,0.729320222
0.3778478,0.766747517
0.4198309,0.765465658
0.503797,1
0.5877632,0.940177651
0.6717294,0.99397362
0.7556955,0.939755137
0.8396617,0.636721263
0.9236279,0.593774457
1.0915602,0.387576672
1.2594926,0.141678968
1.4274249,0.045633729
1.5953572,0.036401946
1.7632896,0.016109561
1.9312219,0
2.0571712,0.001909126
0.0215284,0.094848754
0.0358807,0.245940065
0.050233,0.223079297
0.0645853,0.225358739
0.0861137,0.357957617
0.1076421,0.376463746
0.1435229,0.394945451
0.1794036,0.526191501
0.2152843,0.60694753
0.251165,0.818505917
0.2870457,0.814484496
0.3229264,0.914086385
0.3588071,0.819454048
0.4305686,0.836646987
0.50233,0.979958753
0.5740914,0.939244467
0.6458528,1
0.7176143,0.887791552
0.7893757,0.753596596
0.9328985,0.62722988
1.0764214,0.355098757
1.2199442,0.172821249
1.3634671,0.037493054
1.50699,0.025904363
1.6505128,0
1.7581549,0.002529455
0.0210131,0.190921012
0.0350218,0.116518618
0.0490306,0.103772262
0.0630393,0.217848
0.0840524,0.178061505
0.1050655,0.349544408
0.1400873,0.291618525
0.1751092,0.403907454
0.210131,0.535502144
0.2451529,0.40365307
0.2801747,0.644381392
0.3151965,0.637276566
0.3502184,0.611227781
0.420262,0.840258766
0.4903057,0.594787284
0.5603494,1
0.630393,0.758910966
0.7004367,0.852544287
0.7704804,0.932552536
0.9105677,0.586156427
1.0506551,0.451200385
1.1907424,0.190201186
1.3308298,0.05932326
1.4709171,0.051819334
1.6110044,0.010370159
1.71607,0
0.0281468,0.018707736
0.0469114,0.0019871
0.0656759,0.007791407
0.0844404,0.037394504
0.1125873,0.047894674
0.1407341,0.032569365
0.1876454,0.029737406
0.2345568,0.040519505
0.2814682,0.057786457
0.3283795,0.114028551
0.3752909,0.280681681
0.4222022,0.250080298
0.4691136,0.163541254
0.5629363,0.242900562
0.656759,0.44559912
0.7505817,1
0.8444045,0.999309918
0.9382272,0.816471767
1.0320499,0.337312433
1.2196953,0.069917532
1.4073408,0.023318005
1.5949862,0
1.7826316,0.065077709
1.9702771,0.052382935
2.1579225,0.031994544
2.2986566,0.028752168
0.0274335,0.095191375
0.0457225,0.143685689
0.0640115,0.165237992
0.0823005,0.145051146
0.109734,0.337288891
0.1371675,0.218481822
0.18289,0.194413453
0.2286125,0.358939422
0.2743351,0.398451811
0.3200576,0.380979855
0.3657801,0.469235052
0.4115026,0.504062437
0.4572251,0.552850293
0.5486701,0.677982333
0.6401151,0.87049258
0.7315601,1
0.8230052,0.979889068
0.9144502,0.687778308
1.0058952,0.487060307
1.1887852,0.150604601
1.3716753,0.061436131
1.5545653,0.038362222
1.7374553,0.019593828
1.9203454,0.012851088
2.1032354,0.002130401
2.2404029,0
0.0279611,0.207950923
0.0466019,0.224270003
0.0652426,0.28273143
0.0838834,0.259108746
0.1118445,0.332935543
0.1398056,0.300360427
0.1864075,0.34744245
0.2330094,0.366392992
0.2796112,0.499391937
0.3262131,0.489535421
0.372815,6.37E-01
0.4194169,0.596176671
0.4660187,0.571723613
0.5592225,0.61329647
0.6524262,1
0.74563,0.829471547
0.8388337,0.796002548
0.9320375,0.712001462
1.0252412,0.42126282
1.2116487,0.131458981
1.3980562,0.059245491
1.5844637,0.027761926
1.7708712,0.017660929
1.9572787,0.003609994
2.1436862,0
2.2834918,0.001773874
0.0281858,0.085842304
0.0469763,0.150729218
0.0657668,0.122445938
0.0845573,0.208859409
0.1127431,0.214793428
0.1409289,0.199764879
0.1879052,0.306884572
0.2348815,0.3353272
0.2818578,0.576413425
0.3288341,0.685947023
0.3758104,0.679969882
0.4227867,0.900574097
0.469763,0.838979658
0.5637156,1
0.6576682,0.957780644
0.7516208,0.918422584
0.8455734,0.792582464
0.939526,0.691773742
1.0334786,0.563486945
1.2213838,0.207153689
1.409289,0.118663789
1.5971941,0.065183887
1.7850993,0.053949476
1.9730045,0.029558367
2.1609097,0.007249564
2.3018386,0
0.0287144,0.179376627
0.0478573,0.204192247
0.0670002,0.233828559
0.0861431,0.280011609
0.1148575,0.208010287
0.1435719,0.491863923
0.1914292,0.456723476
0.2392865,0.593976397
0.2871438,0.540686771
0.3350011,0.720553673
0.3828583,0.954652541
0.4307156,0.993099826
0.4785729,1
0.5742875,0.940874935
0.6700021,0.864499519
0.7657167,0.903979555
0.8614313,0.88014251
0.9571459,0.752699137
1.0528605,0.568753568
1.2442896,0.319768974
1.4357188,0.171667982
1.627148,0.092351065
1.8185771,0.023168689
2.0100063,0.033289714
2.2014355,0.015092162
2.3450074,0
0.0233333,0.088219126
0.0388888,0.141255961
0.0544443,0.273255773
0.0699998,0.226742333
0.0933331,0.328422992
0.1166664,0.332774479
0.1555552,0.392496388
0.194444,0.420323899
0.2333328,0.555697095
0.2722216,0.545699713
0.3111103,0.566198272
0.3499991,0.71477389
0.3888879,0.88183998
0.4666655,0.900472445
0.5444431,0.971557263
0.6222207,1
0.6999983,0.936491891
0.7777759,0.714189034
0.8555535,0.789732744
1.0111086,0.477718163
1.1666638,0.252759867
1.322219,0.136298208
1.4777742,0.087105763
1.6333293,0.043825167
1.7888845,0.024039165
1.9055509,0
0.021675,0.149322232
0.036125,0.214552032
0.0505749,0.201746521
0.0650249,0.208144508
0.0866999,0.237682384
0.1083749,0.246465564
0.1444998,0.333644133
0.1806248,0.407974414
0.2167498,0.364436515
0.2528747,0.56465975
0.2889997,0.57573817
0.3251247,0.616981121
0.3612496,0.711626259
0.4334995,0.762836563
0.5057495,0.771501965
0.5779994,0.8455289
0.6502493,0.757747421
0.7224992,1
0.7947492,0.720667678
0.939249,0.583349425
1.0837488,0.385097894
1.2282487,0.233547099
1.3727485,0.070673684
1.5172484,0.030296006
1.6617482,0.008890853
1.7701231,0
