pipe dia Dp (ft),Area(ft2),L (ft),static head Ho (ft),"velocity, Vo (ft/s)",Hmin/Ho,"Initial Air Volume (So), ft3","Initial water volume(Sw),ft3"
0.63,0.31,4435,240,4.9,0.50,13.62644459,8.604341949
3.84,11.56,2033,311,5.6,0.48,253.2242448,152.3248026
4.04,12.84,3236,336,6.5,0.42,814.1779986,384.3257316
2.94,6.78,4120,249,6.4,0.42,725.972723,340.6167414
2.86,6.44,3832,384,4.3,0.42,178.4217051,86.38174322
1.55,1.90,4086,326,4.0,0.47,43.92119832,25.55314911
0.52,0.21,4526,366,4.6,0.38,11.54361906,4.650136629
1.13,1.01,3100,358,3.2,0.44,12.60192331,6.400498219
1.60,2.02,3365,243,5.0,0.50,68.09005474,43.47612214
3.05,7.28,4593,351,6.5,0.48,436.281321,259.1263771
2.56,5.14,3068,301,6.7,0.48,257.3162379,151.0494695
1.60,2.01,2094,331,4.4,0.37,53.5898367,20.94523452
3.58,10.07,4401,328,5.3,0.35,895.5368718,327.6236932
1.24,1.21,2548,260,6.4,0.47,55.30168161,31.69204176
0.71,0.39,2902,233,5.7,0.39,30.14830058,12.65949953
3.23,8.18,2263,333,2.1,0.41,40.59131267,18.42276304
1.51,1.79,2330,388,2.3,0.37,12.09696604,4.70797599
3.14,7.72,3708,227,5.8,0.49,443.3472579,273.5475137
3.84,11.57,3808,308,2.4,0.36,184.6885165,70.69322968
3.51,9.68,3023,286,2.2,0.44,70.45515373,35.66179329
3.69,10.70,2393,372,3.4,0.48,89.19197911,52.84417439
4.12,13.36,4292,228,5.6,0.49,808.9836854,496.793353
4.25,14.18,2152,390,6.8,0.43,522.0907116,259.9130575
0.64,0.32,4012,329,4.5,0.40,13.37071521,5.964773007
4.41,15.29,2596,327,6.0,0.47,507.6457465,288.7909474
1.32,1.38,2708,243,3.5,0.40,32.0655718,14.3612526
3.06,7.33,3513,392,6.6,0.41,463.3274426,214.6630381
0.93,0.68,3623,318,6.0,0.35,66.96493559,24.5481131
3.86,11.72,4608,269,4.5,0.48,422.5819302,255.6085457
4.01,12.62,2344,391,5.1,0.39,366.9327918,154.8447057
1.21,1.15,2300,226,3.2,0.45,15.7453716,8.40152182
1.13,1.00,4611,306,4.8,0.48,36.65824743,21.94514571
0.53,0.22,2427,340,2.6,0.42,1.746892839,0.819305761
1.78,2.48,2763,335,3.8,0.48,32.44968761,19.0721081
3.54,9.82,3627,294,3.4,0.49,145.5034386,89.26853714
2.72,5.81,3675,285,4.0,0.44,170.3612857,85.86090368
0.77,0.47,3522,379,7.0,0.37,44.69573156,17.61004148
2.86,6.41,3886,269,4.0,0.40,264.8769482,115.9110184
3.15,7.77,3276,344,5.9,0.37,558.9631302,219.1632924
1.58,1.96,4847,314,2.5,0.44,25.93641996,13.08703395
2.51,4.93,2248,250,4.4,0.43,126.8233526,61.55200726
2.63,5.43,2183,269,2.3,0.49,22.79927227,14.29107274
3.02,7.16,4325,298,2.8,0.42,122.3572973,58.17554575
1.03,0.82,4817,357,4.8,0.38,52.56599261,21.28672421
3.43,9.21,2187,301,6.1,0.35,599.6803385,218.8806749
3.39,9.04,2798,254,5.3,0.44,383.326992,195.2221269
2.69,5.68,2609,222,4.4,0.38,249.6381901,102.8574479
0.58,0.27,2191,243,5.6,0.42,11.45638215,5.547089885
4.27,14.33,4949,301,5.6,0.47,858.615809,494.6539795
2.24,3.94,4418,220,6.3,0.50,307.8934838,194.0089512
3.82,11.44,2059,202,3.0,0.48,108.4865041,65.47346289
2.59,5.27,2040,384,5.0,0.41,118.5521293,54.00341701
3.27,8.39,2573,374,5.6,0.45,235.9485285,125.1034115
1.48,1.71,3187,233,5.4,0.42,105.9531268,50.11837751
0.92,0.66,3470,319,3.5,0.40,15.92679104,6.977478148
3.52,9.75,3660,343,2.7,0.42,120.2645436,56.9399374
4.38,15.04,3196,301,4.3,0.46,368.8746559,203.4220711
2.32,4.22,4044,343,2.7,0.41,59.83643507,27.2194203
3.92,12.05,3632,255,3.9,0.39,481.9640277,204.9776036
2.14,3.60,4871,360,3.4,0.41,96.13051824,43.46941664
3.36,8.86,3182,231,3.7,0.46,204.0696015,114.2468851
0.97,0.73,4305,212,5.1,0.41,66.26380194,29.87647206
3.50,9.63,3558,370,5.1,0.36,532.7552595,203.1024965
0.83,0.55,3942,227,3.9,0.46,18.28988291,10.00969716
2.72,5.81,4490,221,4.5,0.46,288.5290236,160.8047097
4.23,14.03,3961,266,4.6,0.37,928.9309246,364.5118155
1.54,1.86,4824,285,6.4,0.43,194.0261523,94.52435732
2.42,4.59,3088,311,2.7,0.48,37.13493331,22.00456013
2.54,5.06,2056,276,3.7,0.42,80.99934704,38.11561361
0.78,0.48,2788,264,3.6,0.49,6.684656363,4.174797636
3.16,7.86,3353,296,3.6,0.40,205.4883775,89.99131593
3.80,11.35,4741,324,4.4,0.50,321.0309549,203.0022138
1.99,3.11,2103,242,5.2,0.44,101.8929759,51.59825816
1.19,1.11,4046,307,3.2,0.46,18.77844853,10.31430572
2.91,6.65,4218,367,5.5,0.41,383.4301506,176.8112496
2.80,6.16,3872,234,5.8,0.44,488.4865401,247.8152165
3.92,12.05,4486,308,3.9,0.45,339.4579956,183.4470276
1.05,0.87,4638,359,3.8,0.38,33.85240951,13.54463562
0.77,0.47,2277,274,4.7,0.46,10.43201261,5.75065321
3.51,9.66,4253,309,3.2,0.41,228.1534736,103.6697361
0.94,0.70,2998,259,6.0,0.39,55.63863498,23.5908022
1.78,2.49,2726,263,6.1,0.39,178.1702674,75.57337201
3.85,11.65,2778,362,6.7,0.47,457.3413641,264.2505555
4.12,13.30,2018,297,4.9,0.42,346.1231931,163.5799021
3.28,8.42,3500,335,3.7,0.46,149.9351569,82.10132741
1.22,1.18,3986,295,5.5,0.47,53.64770519,31.13064676
0.74,0.43,2787,394,4.7,0.39,12.01378774,5.186667548
1.47,1.70,4679,279,4.3,0.40,91.91971011,40.42326014
2.29,4.11,3850,247,2.7,0.37,101.0651873,39.80020528
1.72,2.32,4672,390,2.4,0.41,27.53038802,12.3658716
3.86,11.68,2370,278,5.2,0.40,492.7824896,213.7443134
0.81,0.51,3256,255,7.0,0.41,53.13164185,24.14155432
3.45,9.32,2350,229,2.7,0.45,90.05905656,47.88710529
0.60,0.28,4376,214,3.6,0.49,7.773413448,4.83225364
2.76,5.97,2146,297,6.2,0.43,250.5911188,121.6996332
3.26,8.35,2795,350,6.6,0.40,517.3549734,226.5702271
1.50,1.76,3789,387,5.2,0.44,61.81745423,32.04364282
2.94,6.78,3787,272,4.0,0.43,224.315448,111.521559
0.57,0.26,3932,375,3.1,0.45,3.326302038,1.803134627
2.45,4.71,3290,299,2.6,0.49,36.92884105,22.62050177
3.29,8.52,3867,375,6.9,0.43,614.6190105,302.3861552
3.09,7.50,4538,286,6.4,0.45,637.5676836,341.0535537
1.07,0.90,2360,272,5.6,0.42,36.34242401,17.56630681
4.06,12.95,4632,385,4.3,0.48,320.5205247,190.3327276
1.41,1.55,2469,379,4.1,0.45,21.77053091,11.64181668
1.31,1.35,3429,332,4.9,0.37,73.65925777,28.33818798
