z/z2,Horizontal Distance ( Multiple of D),Run,RMS_udefect
1.271707,4,1,0.32557
1.413008,4,1,0.180122
1.554309,4,1,0.115934
1.836911,4,1,0.0295
2.119512,4,1,0.008673
2.402114,4,1,-0.03711
2.684715,4,1,-0.06629
2.967317,4,1,-0.10999
3.249919,4,1,-0.13194
3.46187,4,1,-0.12663
0.076779,4,2,0.991211
0.127966,4,2,0.925229
0.179152,4,2,0.999999
0.230338,4,2,0.996709
0.307117,4,2,0.939226
0.383897,4,2,0.887433
0.511862,4,2,0.838688
0.639828,4,2,0.797933
0.767794,4,2,0.625209
0.895759,4,2,0.616818
1.023725,4,2,0.473411
1.15169,4,2,0.369913
1.279656,4,2,0.311978
1.535587,4,2,0.04158
1.791518,4,2,-0.13794
2.04745,4,2,-0.24625
2.303381,4,2,-0.31108
2.559312,4,2,-0.2762
2.815243,4,2,-0.30635
3.327106,4,2,-0.28732
3.838968,4,2,-0.28883
4.35083,4,2,-0.26673
4.862693,4,2,-0.23453
5.374555,4,2,-0.22636
5.886418,4,2,-0.21114
6.270315,4,2,-0.21173
0.027435,4,3,0.122655
0.045724,4,3,0.210304
0.064014,4,3,0.191343
0.082304,4,3,0.259043
0.109738,4,3,0.224778
0.137173,4,3,0.392639
0.182897,4,3,0.44718
0.228622,4,3,0.551211
0.274346,4,3,0.489068
0.32007,4,3,0.676604
0.365795,4,3,0.614608
0.411519,4,3,0.711389
0.457243,4,3,0.725618
0.548692,4,3,0.785969
0.64014,4,3,0.998456
0.731589,4,3,0.930967
0.823038,4,3,0.890445
0.914486,4,3,0.704779
1.005935,4,3,0.484961
1.188832,4,3,0.277585
1.37173,4,3,0.11463
1.554627,4,3,0.032304
1.737524,4,3,0.037527
1.920421,4,3,0.01816
2.103319,4,3,0.008988
2.240492,4,3,0.004393
0.028123,4,4,0.479268
0.046871,4,4,0.464548
0.065619,4,4,0.486174
0.084368,4,4,0.472405
0.11249,4,4,0.506814
0.140613,4,4,0.491306
0.187484,4,4,0.5491
0.234354,4,4,0.645723
0.281225,4,4,0.626844
0.328096,4,4,0.721022
0.374967,4,4,0.795202
0.421838,4,4,0.762602
0.468709,4,4,0.818715
0.562451,4,4,0.92697
0.656193,4,4,1
0.749934,4,4,0.908606
0.843676,4,4,0.860748
0.937418,4,4,0.775501
1.03116,4,4,0.554363
1.218643,4,4,0.247863
1.406127,4,4,0.099252
1.593611,4,4,0.060752
1.781094,4,4,0.072276
1.968578,4,4,0.032271
2.156061,4,4,0.045469
2.296674,4,4,0.011482
0.047294,6,1,0.655986
0.078823,6,1,0.693214
0.110353,6,1,0.698269
0.141882,6,1,0.743201
0.189176,6,1,0.7905
0.23647,6,1,0.825379
0.315293,6,1,0.895422
0.394117,6,1,0.939863
0.47294,6,1,0.981534
0.551763,6,1,0.985991
0.630587,6,1,1
0.70941,6,1,0.999255
0.788233,6,1,0.958391
0.94588,6,1,0.873103
1.103527,6,1,0.672531
1.261173,6,1,0.455947
1.41882,6,1,0.288213
1.576467,6,1,0.182119
1.734113,6,1,0.143914
2.049406,6,1,0.078575
2.3647,6,1,0.062204
2.679993,6,1,0.022815
2.995286,6,1,0.000162
3.31058,6,1,-0.05734
3.625873,6,1,-0.11025
3.862343,6,1,-0.11447
0.084433,6,2,0.926259
0.140722,6,2,0.904688
0.197011,6,2,1.000002
0.2533,6,2,0.925306
0.337733,6,2,0.863117
0.422167,6,2,0.879655
0.562889,6,2,0.815607
0.703611,6,2,0.760614
0.844333,6,2,0.674762
0.985055,6,2,0.505824
1.125777,6,2,0.450981
1.2665,6,2,0.392283
1.407222,6,2,0.366092
1.688666,6,2,0.090922
1.970111,6,2,-0.02764
2.251555,6,2,-0.07717
2.532999,6,2,-0.16428
2.814444,6,2,-0.12506
3.095888,6,2,-0.2121
3.658777,6,2,-0.18825
4.221666,6,2,-0.19812
4.784554,6,2,-0.19341
5.347443,6,2,-0.1983
5.910332,6,2,-0.15987
6.473221,6,2,-0.15829
6.895387,6,2,-0.15619
0.025295,6,3,0.135731
0.042158,6,3,0.153187
0.059022,6,3,0.163879
0.075885,6,3,0.182408
0.10118,6,3,0.218053
0.126475,6,3,0.255381
0.168634,6,3,0.347615
0.210792,6,3,0.412642
0.252951,6,3,0.487575
0.295109,6,3,0.573278
0.337267,6,3,0.666241
0.379426,6,3,0.75619
0.421584,6,3,0.827986
0.505901,6,3,0.901686
0.590218,6,3,0.9847
0.674535,6,3,1
0.758852,6,3,0.92222
0.843169,6,3,0.827039
0.927485,6,3,0.658264
1.096119,6,3,0.290219
1.264753,6,3,0.150697
1.433386,6,3,0.060845
1.60202,6,3,0.03755
1.770654,6,3,0.01687
1.939288,6,3,0.006694
2.065763,6,3,0.003081
0.026416,6,4,0.353714
0.044026,6,4,0.365955
0.061637,6,4,0.379338
0.079247,6,4,0.374709
0.105663,6,4,0.383078
0.132078,6,4,0.405282
0.176104,6,4,0.436651
0.22013,6,4,0.500344
0.264157,6,4,0.561868
0.308183,6,4,0.619735
0.352209,6,4,0.729574
0.396235,6,4,0.775339
0.440261,6,4,0.86906
0.528313,6,4,0.961468
0.616365,6,4,1
0.704418,6,4,0.972911
0.79247,6,4,0.930641
0.880522,6,4,0.882393
0.968574,6,4,0.808517
1.144679,6,4,0.494918
1.320783,6,4,0.283411
1.496887,6,4,0.202738
1.672992,6,4,0.203912
1.849096,6,4,0.172685
2.025201,6,4,0.146018
2.157279,6,4,0.112268
0.042302,8,1,0.686983
0.070504,8,1,0.711348
0.098706,8,1,0.694768
0.126907,8,1,0.722502
0.16921,8,1,0.740544
0.211512,8,1,0.793702
0.282016,8,1,0.877109
0.35252,8,1,0.93131
0.423024,8,1,0.958137
0.493528,8,1,0.980742
0.564032,8,1,1
0.634536,8,1,0.978739
0.70504,8,1,0.953881
0.846048,8,1,0.877671
0.987055,8,1,0.722795
1.128063,8,1,0.546471
1.269071,8,1,0.359566
1.410079,8,1,0.247165
1.551087,8,1,0.181452
1.833103,8,1,0.081027
2.115119,8,1,0.061155
2.397135,8,1,0.025103
2.679151,8,1,-0.0025
2.961166,8,1,-0.03547
3.243182,8,1,-0.08936
3.454694,8,1,-0.09936
0.067858,8,2,0.896112
0.113097,8,2,1.000004
0.158335,8,2,0.956218
0.203574,8,2,0.911407
0.271432,8,2,0.930175
0.33929,8,2,0.936349
0.452386,8,2,0.858456
0.565483,8,2,0.75441
0.67858,8,2,0.700027
0.791676,8,2,0.506787
0.904773,8,2,0.515484
1.017869,8,2,0.497098
1.130966,8,2,0.343044
1.357159,8,2,0.173365
1.583352,8,2,0.03132
1.809545,8,2,-0.05252
2.035739,8,2,-0.14209
2.261932,8,2,-0.14982
2.488125,8,2,-0.20038
2.940511,8,2,-0.20212
3.392898,8,2,-0.21789
3.845284,8,2,-0.20858
4.29767,8,2,-0.23094
4.750057,8,2,-0.17879
5.202443,8,2,-0.16532
5.541733,8,2,-0.17094
0.028773,8,3,0.150751
0.047954,8,3,0.116802
0.067136,8,3,0.184749
0.086318,8,3,0.209073
0.11509,8,3,0.208761
0.143863,8,3,0.398739
0.191817,8,3,0.335306
0.239771,8,3,0.491562
0.287726,8,3,0.659113
0.33568,8,3,0.629507
0.383634,8,3,0.709885
0.431588,8,3,0.753377
0.479543,8,3,0.756957
0.575451,8,3,1.003099
0.67136,8,3,0.948098
0.767268,8,3,1.004634
0.863177,8,3,0.959499
0.959085,8,3,0.6528
1.054994,8,3,0.614395
1.246811,8,3,0.403005
1.438628,8,3,0.143133
1.630445,8,3,0.047315
1.822262,8,3,0.046886
2.014079,8,3,0.020631
2.205896,8,3,0.003955
2.349759,8,3,0.003951
0.02643,8,4,0.523839
0.044051,8,4,0.485764
0.061671,8,4,0.456591
0.079291,8,4,0.50125
0.105721,8,4,0.507654
0.132152,8,4,0.627669
0.176202,8,4,0.64183
0.220253,8,4,0.685698
0.264303,8,4,0.724045
0.308354,8,4,0.759781
0.352404,8,4,0.862195
0.396455,8,4,0.925057
0.440505,8,4,0.93895
0.528606,8,4,0.989375
0.616707,8,4,1
0.704809,8,4,0.987352
0.79291,8,4,0.939219
0.881011,8,4,0.876874
0.969112,8,4,0.846063
1.145314,8,4,0.604639
1.321516,8,4,0.408126
1.497718,8,4,0.319071
1.67392,8,4,0.288483
1.850122,8,4,0.169357
2.026325,8,4,0.12365
2.158476,8,4,0.103405
0.038365,10,1,0.654319
0.063941,10,1,0.664897
0.089518,10,1,0.643023
0.115094,10,1,0.68038
0.153459,10,1,0.717102
0.191823,10,1,0.739484
0.255764,10,1,0.822935
0.319705,10,1,0.888188
0.383646,10,1,0.959396
0.447588,10,1,0.951045
0.511529,10,1,0.982802
0.57547,10,1,1
0.639411,10,1,0.984512
0.767293,10,1,0.992154
0.895175,10,1,0.850161
1.023057,10,1,0.733634
1.150939,10,1,0.606169
1.278821,10,1,0.419251
1.406704,10,1,0.324897
1.662468,10,1,0.151109
