z/z2,Horizontal Distance ( Multiple of D),Run,RMS_wdefect
1.836911,4,1,0.111638
2.119512,4,1,0.071619
2.402114,4,1,0.040791
2.684715,4,1,0.021911
2.967317,4,1,-0.01637
3.249919,4,1,-0.01232
3.46187,4,1,-0.02082
0.0468,4,2,0.512511
0.078001,4,2,0.599063
0.109201,4,2,0.682589
0.140401,4,2,0.686807
0.187202,4,2,0.798919
0.234002,4,2,0.799995
0.312003,4,2,0.803862
0.390003,4,2,0.804279
0.468004,4,2,0.839789
0.546005,4,2,0.999912
0.624005,4,2,0.897369
0.702006,4,2,0.941371
0.780007,4,2,0.84268
0.936008,4,2,0.69085
1.09201,4,2,0.521161
1.248011,4,2,0.401112
1.404012,4,2,0.30482
1.560014,4,2,0.177784
1.716015,4,2,0.096434
2.028018,4,2,0.045959
2.340021,4,2,0.05257
2.652023,4,2,0.054505
2.964026,4,2,-0.00632
3.276029,4,2,0.011986
3.588032,4,2,0.011538
3.822034,4,2,0.001362
0.027435,4,3,0.463514
0.045724,4,3,0.483059
0.064014,4,3,0.467021
0.082304,4,3,0.497464
0.109738,4,3,0.542432
0.137173,4,3,0.626161
0.182897,4,3,0.744582
0.228622,4,3,0.771948
0.274346,4,3,0.77614
0.32007,4,3,0.821532
0.365795,4,3,0.930015
0.411519,4,3,0.936823
0.457243,4,3,0.990052
0.548692,4,3,0.953134
0.64014,4,3,0.974331
0.731589,4,3,0.999999
0.823038,4,3,0.953626
0.914486,4,3,0.910878
1.005935,4,3,0.709254
1.188832,4,3,0.535803
1.37173,4,3,0.379375
1.554627,4,3,0.224975
1.737524,4,3,0.181436
1.920421,4,3,0.118516
2.103319,4,3,0.064833
2.240492,4,3,0.040873
0.028123,4,4,0.410741
0.046871,4,4,0.440613
0.065619,4,4,0.471744
0.084368,4,4,0.489212
0.11249,4,4,0.558186
0.140613,4,4,0.542032
0.187484,4,4,0.594322
0.234354,4,4,0.620142
0.281225,4,4,0.714635
0.328096,4,4,0.732648
0.374967,4,4,0.736413
0.421838,4,4,0.768086
0.468709,4,4,0.763623
0.562451,4,4,0.772148
0.656193,4,4,1.000001
0.749934,4,4,0.945372
0.843676,4,4,0.891393
0.937418,4,4,0.806694
1.03116,4,4,0.640127
1.218643,4,4,0.407821
1.406127,4,4,0.254872
1.593611,4,4,0.17524
1.781094,4,4,0.150988
1.968578,4,4,0.091086
2.156061,4,4,0.075269
2.296674,4,4,0.048905
0.047294,6,1,0.646996
0.078823,6,1,0.692011
0.110353,6,1,0.717989
0.141882,6,1,0.760835
0.189176,6,1,0.802334
0.23647,6,1,0.842483
0.315293,6,1,0.917405
0.394117,6,1,0.978383
0.47294,6,1,1
0.551763,6,1,0.979386
0.630587,6,1,0.942113
0.70941,6,1,0.885881
0.788233,6,1,0.841885
0.94588,6,1,0.751027
1.103527,6,1,0.621515
1.261173,6,1,0.441112
1.41882,6,1,0.31561
1.576467,6,1,0.245058
1.734113,6,1,0.182791
2.049406,6,1,0.114699
2.3647,6,1,0.092473
2.679993,6,1,0.072552
2.995286,6,1,0.053564
3.31058,6,1,0.007263
3.625873,6,1,-0.00357
3.862343,6,1,-0.00929
0.05,6,2,0.683807
0.083333,6,2,0.779154
0.116667,6,2,0.781318
0.15,6,2,0.830213
0.2,6,2,0.868752
0.25,6,2,0.941514
0.333333,6,2,1.000119
0.416667,6,2,0.862985
0.5,6,2,0.865263
0.583333,6,2,0.81308
0.666667,6,2,0.97648
0.75,6,2,0.890114
0.833333,6,2,0.835016
1,6,2,0.641606
1.166667,6,2,0.5084
1.333333,6,2,0.437336
1.5,6,2,0.257697
1.666667,6,2,0.210238
1.833333,6,2,0.136014
2.166667,6,2,0.07258
2.5,6,2,0.077491
2.833333,6,2,0.05752
3.166667,6,2,0.023396
3.5,6,2,0.046691
3.833333,6,2,0.016853
4.083333,6,2,-0.00206
0.025295,6,3,0.526454
0.042158,6,3,0.551838
0.059022,6,3,0.583117
0.075885,6,3,0.606248
0.10118,6,3,0.668278
0.126475,6,3,0.714905
0.168634,6,3,0.795811
0.210792,6,3,0.841268
0.252951,6,3,0.919707
0.295109,6,3,0.990195
0.337267,6,3,1.019901
0.379426,6,3,1.064448
0.421584,6,3,1.103474
0.505901,6,3,1.152244
0.590218,6,3,1.117418
0.674535,6,3,1.084084
0.758852,6,3,1.09051
0.843169,6,3,1.052531
0.927485,6,3,0.947684
1.096119,6,3,0.605075
1.264753,6,3,0.524509
1.433386,6,3,0.307229
1.60202,6,3,0.227038
1.770654,6,3,0.150142
1.939288,6,3,0.070941
2.065763,6,3,0.043551
0.026416,6,4,0.312717
0.044026,6,4,0.390305
0.061637,6,4,0.466734
0.079247,6,4,0.515319
0.105663,6,4,0.547621
0.132078,6,4,0.618693
0.176104,6,4,0.696509
0.22013,6,4,0.75599
0.264157,6,4,0.805329
0.308183,6,4,0.851101
0.352209,6,4,0.913776
0.396235,6,4,0.945512
0.440261,6,4,0.996585
0.528313,6,4,1
0.616365,6,4,0.986793
0.704418,6,4,0.983168
0.79247,6,4,0.939021
0.880522,6,4,0.858563
0.968574,6,4,0.799255
1.144679,6,4,0.584592
1.320783,6,4,0.424699
1.496887,6,4,0.309488
1.672992,6,4,0.250357
1.849096,6,4,0.195644
2.025201,6,4,0.145127
2.157279,6,4,0.104721
0.042302,8,1,0.70015
0.070504,8,1,0.75114
0.098706,8,1,0.778463
0.126907,8,1,0.813002
0.16921,8,1,0.854419
0.211512,8,1,0.898973
0.282016,8,1,0.950229
0.35252,8,1,0.99409
0.423024,8,1,1
0.493528,8,1,0.999069
0.564032,8,1,0.956713
0.634536,8,1,0.926124
0.70504,8,1,0.853288
0.846048,8,1,0.715802
0.987055,8,1,0.593335
1.128063,8,1,0.499409
1.269071,8,1,0.369686
1.410079,8,1,0.27134
1.551087,8,1,0.20843
1.833103,8,1,0.143925
2.115119,8,1,0.111721
2.397135,8,1,0.088521
2.679151,8,1,0.072232
2.961166,8,1,0.021318
3.243182,8,1,0.012379
3.454694,8,1,-0.00463
0.056092,8,2,0.72873
0.093486,8,2,0.854011
0.13088,8,2,0.864887
0.168275,8,2,0.905788
0.224366,8,2,0.985986
0.280458,8,2,1.000142
0.373944,8,2,0.986652
0.46743,8,2,0.915556
0.560915,8,2,0.934834
0.654401,8,2,0.91878
0.747887,8,2,0.979933
0.841373,8,2,0.905265
0.934859,8,2,0.838505
1.121831,8,2,0.649169
1.308803,8,2,0.574284
1.495774,8,2,0.52135
1.682746,8,2,0.338046
1.869718,8,2,0.20974
2.05669,8,2,0.177911
2.430633,8,2,0.104702
2.804577,8,2,0.109193
3.178521,8,2,0.089179
3.552464,8,2,0.027387
3.926408,8,2,0.046585
4.300352,8,2,0.036505
4.580809,8,2,0.018508
0.028773,8,3,0.506181
0.047954,8,3,0.54224
0.067136,8,3,0.574376
0.086318,8,3,0.631825
0.11509,8,3,0.72457
0.143863,8,3,0.732173
0.191817,8,3,0.75337
0.239771,8,3,0.846848
0.287726,8,3,0.914891
0.33568,8,3,0.932758
0.383634,8,3,0.910023
0.431588,8,3,0.886588
0.479543,8,3,0.921547
0.575451,8,3,0.99723
0.67136,8,3,0.979452
0.767268,8,3,1.000001
0.863177,8,3,0.944013
0.959085,8,3,0.814636
1.054994,8,3,0.750497
1.246811,8,3,0.607577
1.438628,8,3,0.436216
1.630445,8,3,0.299194
1.822262,8,3,0.242355
2.014079,8,3,0.162906
2.205896,8,3,0.096686
